,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1818,1,2.078,7.160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.25,0.41
1,1818,2,2.030,5.543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.25,0.41
2,1818,3,1.357,7.742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.25,0.41
3,1818,4,1.977,7.323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.25,0.41
4,1818,5,1.944,6.748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.25,0.41
5,1818,6,1.390,6.190,0.683,2.130,NaN,NaN,NaN,NaN,NaN,NaN,9.25,0.41
6,1818,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.25,0.41
7,1818,8,-1.722,4.729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.25,0.41
8,1818,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.25,0.41
9,1818,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.25,0.41
10,1818,11,0.190,4.771,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.25,0.41
11,1818,12,-0.458,3.327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.25,0.41
12,1819,1,NaN,NaN,0.847,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.25,0.41
13,1819,2,1.301,6.834,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.25,0.41
14,1819,3,0.784,5.720,1.086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.25,0.41
15,1819,4,0.849,9.088,1.201,4.645,NaN,NaN,NaN,NaN,NaN,NaN,9.25,0.41
16,1819,5,2.263,5.846,1.144,4.888,NaN,NaN,NaN,NaN,NaN,NaN,9.25,0.41
17,1819,6,3.645,7.559,1.142,5.062,NaN,NaN,NaN,NaN,NaN,NaN,9.25,0.41
18,1819,7,2.112,5.585,0.939,4.996,NaN,NaN,NaN,NaN,NaN,NaN,9.25,0.41
