,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1840,1,-0.252,2.309,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.67,0.44
1,1840,2,-1.076,2.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.67,0.44
2,1840,3,-1.538,2.250,-1.032,0.763,NaN,NaN,NaN,NaN,NaN,NaN,22.67,0.44
3,1840,4,-0.829,1.821,-1.075,0.749,NaN,NaN,NaN,NaN,NaN,NaN,22.67,0.44
4,1840,5,-0.668,1.897,-1.032,0.739,NaN,NaN,NaN,NaN,NaN,NaN,22.67,0.44
5,1840,6,-0.130,1.881,-0.961,0.746,NaN,NaN,NaN,NaN,NaN,NaN,22.67,0.44
6,1840,7,-0.020,1.906,-1.058,0.719,NaN,NaN,NaN,NaN,NaN,NaN,22.67,0.44
7,1840,8,-0.756,1.863,-1.046,0.680,NaN,NaN,NaN,NaN,NaN,NaN,22.67,0.44
8,1840,9,-1.024,1.814,-1.082,0.683,NaN,NaN,NaN,NaN,NaN,NaN,22.67,0.44
9,1840,10,-1.621,1.920,-1.121,0.662,NaN,NaN,NaN,NaN,NaN,NaN,22.67,0.44
10,1840,11,-1.863,2.058,-1.146,0.642,NaN,NaN,NaN,NaN,NaN,NaN,22.67,0.44
11,1840,12,-1.757,2.212,-1.193,0.634,NaN,NaN,NaN,NaN,NaN,NaN,22.67,0.44
12,1841,1,-1.420,2.144,-1.200,0.618,NaN,NaN,NaN,NaN,NaN,NaN,22.67,0.44
13,1841,2,-0.929,1.900,-1.143,0.611,NaN,NaN,NaN,NaN,NaN,NaN,22.67,0.44
14,1841,3,-1.970,1.851,-1.156,0.609,-0.921,0.466,NaN,NaN,NaN,NaN,22.67,0.44
15,1841,4,-1.290,1.811,-1.041,0.604,-0.924,0.459,NaN,NaN,NaN,NaN,22.67,0.44
16,1841,5,-0.973,1.661,-0.961,0.610,-0.923,0.466,NaN,NaN,NaN,NaN,22.67,0.44
17,1841,6,-0.697,1.719,-0.889,0.612,-0.907,0.475,NaN,NaN,NaN,NaN,22.67,0.44
18,1841,7,-0.107,1.729,-0.831,0.603,-0.915,0.480,NaN,NaN,NaN,NaN,22.67,0.44
19,1841,8,-0.068,1.722,-0.791,0.638,-0.929,0.483,NaN,NaN,NaN,NaN,22.67,0.44
20,1841,9,-1.174,1.713,-0.640,0.646,-0.885,0.476,NaN,NaN,NaN,NaN,22.67,0.44
21,1841,10,-0.246,1.681,-0.570,0.651,-0.890,0.477,NaN,NaN,NaN,NaN,22.67,0.44
22,1841,11,-0.903,1.865,-0.591,0.657,-0.890,0.473,NaN,NaN,NaN,NaN,22.67,0.44
23,1841,12,-0.893,2.128,-0.590,0.665,-0.886,0.464,NaN,NaN,NaN,NaN,22.67,0.44
24,1842,1,-0.729,2.168,-0.695,0.664,-0.898,0.459,NaN,NaN,NaN,NaN,22.67,0.44
25,1842,2,-0.444,1.942,-0.746,0.675,-0.912,0.458,NaN,NaN,NaN,NaN,22.67,0.44
26,1842,3,-0.158,1.957,-0.742,0.680,-0.914,0.455,NaN,NaN,NaN,NaN,22.67,0.44
27,1842,4,-0.455,1.778,-0.824,0.683,-0.907,0.452,NaN,NaN,NaN,NaN,22.67,0.44
28,1842,5,-1.222,1.729,-0.857,0.681,-0.896,0.455,NaN,NaN,NaN,NaN,22.67,0.44
29,1842,6,-0.681,1.731,-0.789,0.726,-0.880,0.455,-0.963,0.490,NaN,NaN,22.67,0.44
30,1842,7,-1.373,1.721,-0.719,0.734,-0.887,0.456,-0.956,0.492,NaN,NaN,22.67,0.44
31,1842,8,-0.671,1.753,-0.645,0.747,-0.884,0.451,-0.954,0.497,NaN,NaN,22.67,0.44
32,1842,9,-1.137,1.737,-0.748,0.688,-0.874,0.459,-0.947,0.502,NaN,NaN,22.67,0.44
33,1842,10,-1.230,1.665,-0.767,0.666,-0.879,0.458,-0.943,0.501,NaN,NaN,22.67,0.44
34,1842,11,-1.287,1.793,-0.794,0.649,-0.887,0.461,-0.929,0.494,NaN,NaN,22.67,0.44
35,1842,12,-0.083,1.987,-0.771,0.632,-0.889,0.461,-0.928,0.487,NaN,NaN,22.67,0.44
36,1843,1,0.116,1.997,-0.728,0.632,-0.900,0.460,-0.918,0.484,NaN,NaN,22.67,0.44
37,1843,2,0.435,1.873,-0.712,0.625,-0.899,0.464,-0.904,0.483,NaN,NaN,22.67,0.44
38,1843,3,-1.391,2.323,-0.693,0.627,-0.901,0.470,-0.896,0.479,NaN,NaN,22.67,0.44
39,1843,4,-0.681,1.676,-0.663,0.619,-0.902,0.471,-0.896,0.477,NaN,NaN,22.67,0.44
40,1843,5,-1.543,1.677,-0.638,0.623,-0.895,0.471,-0.888,0.479,NaN,NaN,22.67,0.44
41,1843,6,-0.411,1.662,-0.655,0.648,-0.906,0.459,-0.888,0.478,NaN,NaN,22.67,0.44
42,1843,7,-0.848,1.735,-0.761,0.683,-0.882,0.478,-0.891,0.478,NaN,NaN,22.67,0.44
43,1843,8,-0.479,1.685,-0.874,0.677,-0.868,0.482,-0.898,0.479,NaN,NaN,22.67,0.44
44,1843,9,-0.915,1.746,-0.799,0.705,-0.837,0.493,-0.898,0.476,NaN,NaN,22.67,0.44
45,1843,10,-0.862,1.686,-0.832,0.734,-0.831,0.495,-0.900,0.476,NaN,NaN,22.67,0.44
46,1843,11,-0.990,1.960,-0.833,0.752,-0.836,0.498,-0.907,0.474,NaN,NaN,22.67,0.44
47,1843,12,-0.284,2.438,-0.852,0.747,-0.825,0.508,-0.910,0.472,NaN,NaN,22.67,0.44
48,1844,1,-1.165,2.159,-0.868,0.734,-0.825,0.515,-0.913,0.466,NaN,NaN,22.67,0.44
49,1844,2,-0.916,1.959,-0.897,0.745,-0.823,0.520,-0.914,0.470,NaN,NaN,22.67,0.44
50,1844,3,-0.498,2.013,-0.946,0.749,-0.812,0.527,-0.892,0.470,NaN,NaN,22.67,0.44
51,1844,4,-1.073,1.824,-0.931,0.789,-0.823,0.537,-0.900,0.470,NaN,NaN,22.67,0.44
52,1844,5,-1.557,1.743,-0.990,0.788,-0.834,0.543,-0.900,0.467,NaN,NaN,22.67,0.44
53,1844,6,-0.633,1.638,-1.109,0.730,-0.821,0.539,-0.900,0.468,NaN,NaN,22.67,0.44
54,1844,7,-1.041,1.728,-1.065,0.709,-0.817,0.538,-0.903,0.470,NaN,NaN,22.67,0.44
55,1844,8,-0.831,1.732,-1.061,0.697,-0.818,0.537,-0.907,0.468,NaN,NaN,22.67,0.44
56,1844,9,-1.500,1.659,-1.101,0.687,-0.831,0.518,-0.903,0.468,NaN,NaN,22.67,0.44
57,1844,10,-0.685,1.865,-1.104,0.690,-0.834,0.516,-0.898,0.467,NaN,NaN,22.67,0.44
58,1844,11,-1.701,1.928,-1.068,0.711,-0.839,0.519,-0.887,0.465,NaN,NaN,22.67,0.44
59,1844,12,-1.703,1.874,-1.041,0.734,-0.843,0.524,-0.878,0.459,-0.883,0.474,22.67,0.44
60,1845,1,-0.646,2.047,-1.008,0.751,-0.824,0.528,-0.887,0.456,-0.887,0.472,22.67,0.44
61,1845,2,-0.867,1.811,-1.000,0.750,-0.827,0.534,-0.882,0.455,-0.884,0.465,22.67,0.44
62,1845,3,-0.977,1.580,-0.969,0.776,-0.817,0.546,-0.874,0.463,-0.881,0.462,22.67,0.44
63,1845,4,-1.112,1.833,-1.050,0.755,-0.815,0.554,-0.877,0.465,-0.878,0.462,22.67,0.44
64,1845,5,-1.127,1.643,-1.031,0.760,-0.801,0.548,-0.882,0.462,-0.872,0.464,22.67,0.44
65,1845,6,-0.308,1.610,-1.087,0.744,-0.824,0.538,-0.883,0.460,-0.871,0.463,22.67,0.44
66,1845,7,-0.646,1.719,-1.033,0.863,-0.857,0.538,-0.887,0.458,-0.868,0.462,22.67,0.44
67,1845,8,-0.728,1.622,-0.968,0.844,-0.869,0.537,-0.879,0.458,-0.863,0.460,22.67,0.44
68,1845,9,-1.135,1.792,-0.894,0.909,-0.863,0.539,-0.876,0.459,-0.859,0.460,22.67,0.44
69,1845,10,-1.658,1.645,-0.880,0.845,-0.871,0.546,-0.867,0.458,-0.862,0.457,22.67,0.44
70,1845,11,-1.471,2.014,-0.895,0.841,-0.859,0.555,-0.860,0.452,-0.860,0.457,22.67,0.44
71,1845,12,-2.376,1.966,-0.873,0.872,-0.863,0.567,-0.854,0.442,-0.852,0.450,22.67,0.44
72,1846,1,0.007,3.785,-0.826,0.887,-0.860,0.569,-0.842,0.441,-0.855,0.444,22.67,0.44
73,1846,2,-0.080,2.183,-0.762,0.874,-0.871,0.574,-0.838,0.444,-0.857,0.444,22.67,0.44
74,1846,3,-0.093,1.931,-0.707,0.861,-0.876,0.580,-0.833,0.447,-0.860,0.438,22.67,0.44
75,1846,4,-0.940,2.282,-0.645,0.921,-0.877,0.592,-0.835,0.453,-0.860,0.437,22.67,0.44
76,1846,5,-1.314,1.589,-0.652,0.928,-0.891,0.587,-0.834,0.459,-0.860,0.437,22.67,0.44
77,1846,6,-0.040,1.812,-0.465,0.927,-0.913,0.566,-0.831,0.462,-0.859,0.439,22.67,0.44
78,1846,7,-0.086,1.690,-0.505,0.761,-0.911,0.550,-0.832,0.464,-0.861,0.434,22.67,0.44
79,1846,8,0.047,1.628,-0.544,0.812,-0.898,0.558,-0.832,0.467,-0.860,0.433,22.67,0.44
80,1846,9,-0.477,1.645,-0.613,0.718,-0.899,0.570,-0.829,0.472,-0.856,0.432,22.67,0.44
81,1846,10,-0.917,1.627,-0.587,0.763,-0.909,0.574,-0.832,0.480,-0.861,0.427,22.67,0.44
82,1846,11,-1.557,1.857,-0.605,0.767,-0.910,0.576,-0.829,0.487,-0.862,0.420,22.67,0.44
83,1846,12,-0.123,1.858,-0.677,0.774,-0.913,0.589,-0.824,0.488,-0.865,0.410,22.67,0.44
84,1847,1,-0.476,1.760,-0.690,0.760,-0.907,0.596,-0.818,0.497,-0.865,0.408,22.67,0.44
85,1847,2,-0.549,2.093,-0.765,0.784,-0.901,0.598,-0.820,0.506,-0.859,0.407,22.67,0.44
86,1847,3,-0.926,2.443,-0.769,0.773,-0.893,0.602,-0.834,0.513,-0.852,0.407,22.67,0.44
87,1847,4,-0.631,1.611,-0.785,0.790,-0.890,0.597,-0.840,0.517,-0.847,0.406,22.67,0.44
88,1847,5,-1.518,1.629,-0.691,0.739,-0.878,0.598,-0.833,0.522,-0.845,0.407,22.67,0.44
89,1847,6,-0.911,1.753,-0.803,0.675,-0.875,0.593,-0.826,0.523,-0.844,0.406,22.67,0.44
90,1847,7,-0.244,1.844,-0.921,0.692,-0.887,0.584,-0.812,0.521,-0.841,0.404,22.67,0.44
91,1847,8,-0.850,1.812,-0.897,0.700,-0.881,0.592,-0.811,0.517,-0.845,0.402,22.67,0.44
92,1847,9,-0.523,1.776,-0.905,0.755,-0.874,0.597,-0.810,0.521,-0.845,0.401,22.67,0.44
93,1847,10,-1.114,1.663,-0.950,0.800,-0.875,0.597,-0.802,0.520,-0.844,0.400,22.67,0.44
94,1847,11,-0.430,1.867,-0.895,0.813,-0.878,0.595,-0.800,0.519,-0.840,0.398,22.67,0.44
95,1847,12,-1.466,1.764,-0.874,0.809,-0.877,0.599,-0.807,0.517,-0.834,0.393,22.67,0.44
96,1848,1,-1.891,1.974,-0.906,0.805,-0.873,0.595,-0.819,0.521,-0.823,0.389,22.67,0.44
97,1848,2,-0.260,2.164,-0.931,0.793,-0.858,0.586,-0.837,0.519,-0.822,0.388,22.67,0.44
98,1848,3,-1.021,1.682,-0.987,0.791,-0.851,0.583,-0.819,0.519,-0.820,0.384,22.67,0.44
99,1848,4,-1.169,2.006,-0.972,0.834,-0.832,0.593,-0.806,0.529,-0.821,0.381,22.67,0.44
100,1848,5,-0.855,1.981,-1.091,0.929,-0.825,0.581,-0.791,0.535,-0.821,0.381,22.67,0.44
101,1848,6,-0.668,2.156,-1.103,0.932,-0.802,0.563,-0.784,0.540,-0.820,0.379,22.67,0.44
102,1848,7,-0.624,2.343,-1.031,0.891,-0.801,0.513,-0.775,0.538,-0.823,0.377,22.67,0.44
103,1848,8,-1.156,2.007,-1.020,0.860,-0.808,0.521,-0.769,0.538,-0.826,0.374,22.67,0.44
104,1848,9,-1.185,1.778,-0.981,0.902,-0.830,0.513,-0.761,0.539,-0.825,0.370,22.67,0.44
105,1848,10,-0.933,1.859,-1.026,0.868,-0.839,0.519,-0.756,0.545,-0.822,0.369,22.67,0.44
106,1848,11,-1.864,1.783,-1.086,0.823,-0.831,0.528,-0.742,0.546,-0.821,0.366,22.67,0.44
107,1848,12,-1.607,1.929,-1.102,0.836,-0.837,0.529,-0.749,0.535,-0.814,0.368,22.67,0.44
108,1849,1,-1.029,2.187,-1.106,0.799,-0.839,0.524,-0.736,0.531,-0.816,0.364,22.67,0.44
109,1849,2,-0.130,1.878,-1.047,0.766,-0.841,0.530,-0.732,0.535,-0.818,0.366,22.67,0.44
110,1849,3,-0.554,1.899,-1.031,0.770,-0.846,0.532,-0.727,0.544,-0.817,0.363,22.67,0.44
111,1849,4,-1.703,2.007,-0.995,0.742,-0.841,0.544,-0.729,0.544,-0.816,0.361,22.67,0.44
112,1849,5,-1.583,1.822,-0.922,0.746,-0.825,0.551,-0.712,0.546,-0.809,0.358,22.67,0.44
113,1849,6,-0.852,2.221,-0.917,0.719,-0.827,0.563,-0.703,0.548,-0.802,0.357,22.67,0.44
114,1849,7,-0.677,1.923,-0.944,0.760,-0.820,0.579,-0.684,0.550,-0.803,0.354,22.67,0.44
115,1849,8,-0.450,1.717,-0.977,0.763,-0.822,0.593,-0.674,0.546,-0.804,0.349,22.67,0.44
116,1849,9,-0.993,1.816,-0.977,0.768,-0.837,0.623,-0.671,0.541,-0.802,0.347,22.67,0.44
117,1849,10,-0.501,1.693,-0.931,0.800,-0.845,0.632,-0.676,0.535,-0.796,0.346,22.67,0.44
118,1849,11,-0.980,1.970,-0.908,0.782,-0.826,0.636,-0.671,0.538,-0.791,0.344,22.67,0.44
119,1849,12,-1.551,1.780,-0.858,0.754,-0.809,0.627,-0.660,0.532,-0.786,0.341,22.67,0.44
120,1850,1,-1.357,1.824,-0.837,0.715,-0.801,0.614,-0.664,0.534,-0.787,0.338,22.67,0.44
121,1850,2,-0.527,1.964,-0.787,0.702,-0.795,0.600,-0.657,0.522,-0.781,0.335,22.67,0.44
122,1850,3,-0.545,1.798,-0.762,0.692,-0.803,0.594,-0.655,0.517,-0.776,0.339,22.67,0.44
123,1850,4,-1.159,1.923,-0.765,0.700,-0.788,0.589,-0.647,0.510,-0.779,0.338,22.67,0.44
124,1850,5,-1.301,1.876,-0.770,0.705,-0.800,0.608,-0.640,0.513,-0.784,0.335,22.67,0.44
125,1850,6,-0.255,1.746,-0.722,0.720,-0.790,0.609,-0.647,0.513,-0.785,0.333,22.67,0.44
126,1850,7,-0.429,1.733,-0.605,0.701,-0.782,0.612,-0.648,0.510,-0.788,0.331,22.67,0.44
127,1850,8,0.159,1.797,-0.602,0.708,-0.806,0.622,-0.646,0.506,-0.785,0.333,22.67,0.44
128,1850,9,-0.693,1.655,-0.675,0.747,-0.776,0.628,-0.649,0.499,-0.785,0.333,22.67,0.44
129,1850,10,-0.539,1.872,-0.699,0.751,-0.742,0.638,-0.653,0.500,-0.778,0.334,22.67,0.44
130,1850,11,-1.049,2.050,-0.662,0.728,-0.722,0.634,-0.653,0.496,-0.775,0.332,22.67,0.44
131,1850,12,-0.975,2.124,-0.672,0.704,-0.704,0.628,-0.640,0.482,-0.766,0.330,22.67,0.44
132,1851,1,0.055,1.770,-0.653,0.713,-0.691,0.613,-0.656,0.454,-0.760,0.334,22.67,0.44
133,1851,2,-0.493,1.788,-0.673,0.716,-0.666,0.606,-0.667,0.473,-0.765,0.337,22.67,0.44
134,1851,3,-1.421,1.807,-0.681,0.723,-0.646,0.597,-0.677,0.463,-0.765,0.338,22.67,0.44
135,1851,4,-1.449,2.212,-0.686,0.743,-0.636,0.595,-0.681,0.454,-0.766,0.338,22.67,0.44
136,1851,5,-0.862,2.053,-0.648,0.837,-0.593,0.594,-0.681,0.456,-0.770,0.337,22.67,0.44
137,1851,6,-0.373,1.873,-0.588,0.938,-0.585,0.597,-0.686,0.457,-0.769,0.336,22.67,0.44
138,1851,7,-0.202,1.695,-0.600,1.046,-0.562,0.615,-0.698,0.448,-0.773,0.334,22.67,0.44
139,1851,8,-0.071,1.751,-0.614,1.136,-0.566,0.614,-0.708,0.451,-0.772,0.334,22.67,0.44
140,1851,9,-0.795,1.712,-0.649,1.206,-0.556,0.619,-0.708,0.449,-0.771,0.333,22.67,0.44
141,1851,10,-0.595,2.538,-0.620,1.175,-0.548,0.606,-0.714,0.440,-0.771,0.333,22.67,0.44
142,1851,11,-0.601,2.533,-0.580,1.166,-0.515,0.604,-0.723,0.428,-0.767,0.331,22.67,0.44
143,1851,12,-0.253,2.129,-0.538,1.164,-0.492,0.597,-0.736,0.415,-0.767,0.330,22.67,0.44
144,1852,1,-0.081,2.198,-0.500,1.171,-0.461,0.591,-0.740,0.417,-0.774,0.333,22.67,0.44
145,1852,2,-0.664,2.082,-0.537,1.143,-0.447,0.583,-0.731,0.419,-0.781,0.332,22.67,0.44
146,1852,3,-1.845,2.220,-0.552,1.127,-0.450,0.570,-0.725,0.421,-0.791,0.332,22.67,0.44
147,1852,4,-1.103,2.052,-0.523,1.040,-0.463,0.565,-0.726,0.417,-0.794,0.333,22.67,0.44
148,1852,5,-0.381,1.932,-0.567,0.964,-0.465,0.569,-0.725,0.414,-0.793,0.331,22.67,0.44
149,1852,6,0.136,1.829,-0.620,0.855,-0.444,0.561,-0.726,0.409,-0.793,0.329,22.67,0.44
150,1852,7,0.254,1.705,-0.729,0.823,-0.440,0.569,-0.727,0.402,-0.789,0.326,22.67,0.44
151,1852,8,-0.510,1.661,-0.816,0.854,-0.432,0.541,-0.735,0.395,-0.792,0.323,22.67,0.44
152,1852,9,-0.981,1.734,-0.600,0.759,-0.436,0.524,-0.743,0.387,-0.791,0.322,22.67,0.44
153,1852,10,-0.251,1.622,-0.435,0.793,-0.419,0.502,-0.746,0.384,-0.791,0.323,22.67,0.44
154,1852,11,-1.126,1.886,-0.373,0.761,-0.402,0.505,-0.751,0.391,-0.794,0.320,22.67,0.44
155,1852,12,-0.882,2.024,-0.349,0.756,-0.416,0.492,-0.740,0.388,-0.804,0.319,22.67,0.44
156,1853,1,-1.400,1.599,-0.359,0.722,-0.423,0.493,-0.729,0.380,-0.805,0.318,22.67,0.44
157,1853,2,-1.706,3.367,-0.287,0.717,-0.434,0.487,-0.739,0.377,-0.806,0.314,22.67,0.44
158,1853,3,0.751,1.293,-0.204,0.662,-0.446,0.478,-0.744,0.373,-0.806,0.313,22.67,0.44
159,1853,4,0.877,1.815,-0.210,0.658,-0.473,0.466,-0.746,0.366,-0.809,0.315,22.67,0.44
160,1853,5,0.356,1.128,-0.056,0.609,-0.480,0.465,-0.754,0.359,-0.809,0.317,22.67,0.44
161,1853,6,0.429,1.063,-0.079,0.599,-0.478,0.458,-0.751,0.352,-0.810,0.318,22.67,0.44
162,1853,7,0.136,0.837,0.070,0.592,-0.510,0.456,-0.754,0.343,-0.807,0.316,22.67,0.44
163,1853,8,0.347,0.771,0.178,0.705,-0.527,0.489,-0.754,0.337,-0.809,0.316,22.67,0.44
164,1853,9,0.016,0.871,0.121,0.693,-0.525,0.471,-0.751,0.330,-0.810,0.316,22.67,0.44
165,1853,10,-0.324,1.568,-0.054,0.681,-0.524,0.447,-0.744,0.325,-0.813,0.317,22.67,0.44
166,1853,11,0.731,1.928,-0.051,0.679,-0.531,0.438,-0.735,0.322,-0.818,0.316,22.67,0.44
167,1853,12,-1.164,0.965,-0.043,0.699,-0.534,0.437,-0.718,0.328,-0.824,0.310,22.67,0.44
168,1854,1,0.394,1.217,0.044,0.711,-0.557,0.423,-0.719,0.330,-0.827,0.306,22.67,0.44
169,1854,2,-0.419,1.468,0.047,0.699,-0.576,0.423,-0.722,0.329,-0.831,0.306,22.67,0.44
170,1854,3,0.071,1.171,-0.050,0.656,-0.570,0.416,-0.742,0.325,-0.839,0.307,22.67,0.44
171,1854,4,-1.220,1.035,-0.132,0.420,-0.588,0.391,-0.733,0.318,-0.839,0.307,22.67,0.44
172,1854,5,0.388,0.938,-0.284,0.380,-0.622,0.352,-0.719,0.313,-0.838,0.306,22.67,0.44
173,1854,6,0.526,0.922,-0.212,0.378,-0.646,0.309,-0.705,0.310,-0.836,0.305,22.67,0.44
174,1854,7,1.187,0.960,-0.338,0.418,-0.659,0.296,-0.704,0.300,-0.835,0.303,22.67,0.44
175,1854,8,0.377,0.722,-0.306,0.419,-0.639,0.280,-0.702,0.294,-0.834,0.301,22.67,0.44
176,1854,9,-1.145,1.049,-0.375,0.425,-0.612,0.255,-0.700,0.289,-0.832,0.299,22.67,0.44
177,1854,10,-1.305,2.890,-0.286,0.417,-0.607,0.241,-0.693,0.286,-0.829,0.296,22.67,0.44
178,1854,11,-1.095,1.183,-0.344,0.406,-0.623,0.231,-0.696,0.280,-0.827,0.293,22.67,0.44
179,1854,12,-0.306,1.928,-0.480,0.391,-0.643,0.225,-0.695,0.286,-0.825,0.291,22.67,0.44
180,1855,1,-1.117,1.446,-0.647,0.391,-0.654,0.221,-0.687,0.285,-0.816,0.289,22.67,0.44
181,1855,2,-0.035,2.205,-0.720,0.399,-0.675,0.217,-0.680,0.281,-0.805,0.289,22.67,0.44
182,1855,3,-0.761,1.282,-0.743,0.375,-0.684,0.210,-0.677,0.285,-0.804,0.289,22.67,0.44
183,1855,4,-0.144,1.267,-0.816,0.482,-0.703,0.210,-0.682,0.278,-0.799,0.289,22.67,0.44
184,1855,5,-0.313,1.201,-0.845,0.493,-0.702,0.205,-0.685,0.273,-0.798,0.288,22.67,0.44
185,1855,6,-1.104,1.179,-0.889,0.378,-0.689,0.203,-0.686,0.269,-0.796,0.288,22.67,0.44
186,1855,7,-0.811,0.816,-0.953,0.361,-0.676,0.197,-0.689,0.266,-0.795,0.286,22.67,0.44
187,1855,8,-0.501,0.815,-1.075,0.387,-0.673,0.203,-0.691,0.267,-0.791,0.284,22.67,0.44
188,1855,9,-1.431,0.898,-1.119,0.450,-0.711,0.190,-0.693,0.267,-0.787,0.284,22.67,0.44
189,1855,10,-2.178,1.109,-1.223,0.505,-0.749,0.190,-0.689,0.265,-0.782,0.285,22.67,0.44
190,1855,11,-1.436,0.897,-1.306,0.495,-0.786,0.196,-0.690,0.264,-0.780,0.283,22.67,0.44
191,1855,12,-0.842,1.420,-1.262,0.497,-0.798,0.200,-0.678,0.268,-0.777,0.283,22.67,0.44
192,1856,1,-1.877,1.129,-1.326,0.476,-0.817,0.199,-0.678,0.278,-0.778,0.274,22.67,0.44
193,1856,2,-1.507,2.788,-1.384,0.520,-0.843,0.199,-0.692,0.282,-0.779,0.280,22.67,0.44
194,1856,3,-1.284,1.237,-1.299,0.538,-0.856,0.201,-0.697,0.280,-0.786,0.279,22.67,0.44
195,1856,4,-1.397,0.997,-1.261,0.493,-0.852,0.199,-0.697,0.269,-0.790,0.277,22.67,0.44
196,1856,5,-1.305,1.013,-1.359,0.478,-0.878,0.191,-0.706,0.261,-0.783,0.276,22.67,0.44
197,1856,6,-0.571,1.254,-1.429,0.434,-0.851,0.194,-0.707,0.259,-0.789,0.272,22.67,0.44
198,1856,7,-1.583,0.945,-1.347,0.346,-0.876,0.199,-0.714,0.253,-0.788,0.269,22.67,0.44
199,1856,8,-1.203,1.072,-1.176,0.307,-0.877,0.199,-0.713,0.248,-0.783,0.268,22.67,0.44
200,1856,9,-0.402,0.756,-1.085,0.315,-0.928,0.210,-0.713,0.242,-0.783,0.267,22.67,0.44
201,1856,10,-1.721,0.967,-1.040,0.301,-0.918,0.211,-0.711,0.235,-0.782,0.266,22.67,0.44
202,1856,11,-2.617,1.123,-1.040,0.290,-0.923,0.218,-0.705,0.222,-0.780,0.262,22.67,0.44
203,1856,12,-1.679,1.812,-1.080,0.262,-0.918,0.219,-0.710,0.218,-0.784,0.259,22.67,0.44
204,1857,1,-0.894,1.011,-0.981,0.237,-0.947,0.223,-0.730,0.221,-0.788,0.260,22.67,0.44
205,1857,2,0.544,1.241,-1.031,0.254,-0.957,0.224,-0.741,0.212,-0.785,0.264,22.67,0.44
206,1857,3,-0.191,0.953,-1.121,0.272,-0.950,0.221,-0.747,0.209,-0.781,0.271,22.67,0.44
207,1857,4,-0.852,0.805,-1.097,0.270,-0.924,0.255,-0.749,0.211,-0.777,0.272,22.67,0.44
208,1857,5,-1.311,0.906,-0.965,0.312,-0.926,0.276,-0.754,0.210,-0.776,0.270,22.67,0.44
209,1857,6,-1.048,1.106,-0.838,0.365,-0.945,0.253,-0.759,0.209,-0.768,0.267,22.67,0.44
