,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1853,1,-0.264,2.872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.51,0.51
1,1853,2,-0.427,1.465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.51,0.51
2,1853,3,1.404,4.285,0.376,1.261,NaN,NaN,NaN,NaN,NaN,NaN,25.51,0.51
3,1853,4,1.115,3.552,0.384,1.154,NaN,NaN,NaN,NaN,NaN,NaN,25.51,0.51
4,1853,5,0.707,3.717,0.386,1.097,NaN,NaN,NaN,NaN,NaN,NaN,25.51,0.51
5,1853,6,0.274,1.532,0.151,1.008,NaN,NaN,NaN,NaN,NaN,NaN,25.51,0.51
6,1853,7,-0.789,3.561,0.288,1.209,NaN,NaN,NaN,NaN,NaN,NaN,25.51,0.51
7,1853,8,0.080,2.037,0.337,1.361,NaN,NaN,NaN,NaN,NaN,NaN,25.51,0.51
8,1853,9,0.617,1.623,0.231,1.426,NaN,NaN,NaN,NaN,NaN,NaN,25.51,0.51
9,1853,10,0.108,1.140,0.046,1.324,NaN,NaN,NaN,NaN,NaN,NaN,25.51,0.51
10,1853,11,0.249,1.703,0.024,1.262,NaN,NaN,NaN,NaN,NaN,NaN,25.51,0.51
11,1853,12,-1.257,2.242,0.022,1.228,NaN,NaN,NaN,NaN,NaN,NaN,25.51,0.51
12,1854,1,1.380,2.855,0.160,1.110,NaN,NaN,NaN,NaN,NaN,NaN,25.51,0.51
13,1854,2,0.159,3.165,0.186,1.119,NaN,NaN,NaN,NaN,NaN,NaN,25.51,0.51
14,1854,3,0.130,2.819,0.088,1.064,NaN,NaN,NaN,NaN,NaN,NaN,25.51,0.51
15,1854,4,-1.110,2.487,0.118,1.080,-0.647,0.518,NaN,NaN,NaN,NaN,25.51,0.51
16,1854,5,0.447,3.115,0.094,1.083,-0.624,0.479,NaN,NaN,NaN,NaN,25.51,0.51
17,1854,6,0.244,2.919,0.212,1.151,-0.602,0.449,NaN,NaN,NaN,NaN,25.51,0.51
18,1854,7,0.877,4.438,0.036,0.945,-0.616,1.223,NaN,NaN,NaN,NaN,25.51,0.51
19,1854,8,0.382,3.384,0.065,1.040,-0.591,1.160,NaN,NaN,NaN,NaN,25.51,0.51
20,1854,9,-0.550,2.799,-0.022,0.930,-0.553,1.152,NaN,NaN,NaN,NaN,25.51,0.51
21,1854,10,NaN,NaN,0.036,0.990,-0.517,0.992,NaN,NaN,NaN,NaN,25.51,0.51
22,1854,11,-0.036,1.734,-0.060,0.950,-0.513,0.980,NaN,NaN,NaN,NaN,25.51,0.51
23,1854,12,0.165,2.502,-0.213,0.788,-0.517,0.990,NaN,NaN,NaN,NaN,25.51,0.51
24,1855,1,-0.738,1.657,-0.425,0.836,-0.494,0.974,NaN,NaN,NaN,NaN,25.51,0.51
25,1855,2,0.508,5.050,-0.527,0.867,-0.483,0.966,NaN,NaN,NaN,NaN,25.51,0.51
26,1855,3,-0.907,2.022,-0.570,0.952,-0.468,0.944,NaN,NaN,NaN,NaN,25.51,0.51
27,1855,4,-0.418,1.327,-0.761,0.979,-0.477,0.939,NaN,NaN,NaN,NaN,25.51,0.51
28,1855,5,-0.707,1.812,-0.867,0.917,-0.502,0.909,NaN,NaN,NaN,NaN,25.51,0.51
29,1855,6,-1.595,1.632,-0.933,0.814,-0.523,0.891,NaN,NaN,NaN,NaN,25.51,0.51
30,1855,7,-1.664,2.302,-0.989,1.000,-0.512,0.858,NaN,NaN,NaN,NaN,25.51,0.51
31,1855,8,-0.839,1.254,-1.130,1.006,-0.510,0.898,NaN,NaN,NaN,NaN,25.51,0.51
32,1855,9,-1.063,1.237,-1.134,1.042,-0.556,0.936,NaN,NaN,NaN,NaN,25.51,0.51
33,1855,10,-1.843,3.340,-1.216,1.201,-0.591,0.916,-0.680,0.382,NaN,NaN,25.51,0.51
34,1855,11,-1.298,1.954,-1.287,1.425,-0.627,0.907,-0.682,0.368,NaN,NaN,25.51,0.51
35,1855,12,-0.630,1.356,-1.227,1.398,-0.628,0.927,-0.661,0.381,NaN,NaN,25.51,0.51
36,1856,1,-1.411,3.159,-1.295,1.350,-0.634,0.952,-0.662,0.390,NaN,NaN,25.51,0.51
37,1856,2,-1.184,2.852,-1.345,1.439,-0.646,0.975,-0.680,0.377,NaN,NaN,25.51,0.51
38,1856,3,-0.959,3.118,-1.254,1.490,-0.652,0.983,-0.696,0.379,NaN,NaN,25.51,0.51
39,1856,4,-1.401,3.034,-1.218,1.451,-0.646,0.994,-0.708,0.381,NaN,NaN,25.51,0.51
40,1856,5,-1.560,3.180,-1.315,1.488,-0.661,1.000,-0.707,0.381,NaN,NaN,25.51,0.51
41,1856,6,-0.873,1.354,-1.399,1.748,-0.634,1.008,-0.697,0.384,NaN,NaN,25.51,0.51
42,1856,7,-2.475,2.748,-1.341,1.786,-0.663,1.006,-0.684,0.383,NaN,NaN,25.51,0.51
43,1856,8,-1.446,1.840,-1.163,1.469,-0.679,0.982,-0.666,0.400,NaN,NaN,25.51,0.51
44,1856,9,0.036,2.201,-1.096,1.374,-0.722,0.968,-0.657,0.403,NaN,NaN,25.51,0.51
45,1856,10,-1.412,2.849,-1.064,1.339,-0.708,0.971,-0.650,0.407,NaN,NaN,25.51,0.51
46,1856,11,-2.467,2.365,-1.055,1.280,-0.716,0.950,-0.617,0.407,NaN,NaN,25.51,0.51
47,1856,12,-1.637,3.307,-1.089,1.427,-0.713,1.003,-0.599,0.407,NaN,NaN,25.51,0.51
48,1857,1,-0.716,4.057,-0.971,1.501,-0.748,1.091,-0.617,1.457,NaN,NaN,25.51,0.51
49,1857,2,0.953,2.803,-0.956,1.498,-0.762,1.156,-0.621,1.444,NaN,NaN,25.51,0.51
50,1857,3,-0.154,2.671,-0.981,1.450,-0.765,1.224,-0.621,1.434,NaN,NaN,25.51,0.51
51,1857,4,-1.017,2.083,-0.909,1.475,-0.772,1.247,-0.597,1.236,NaN,NaN,25.51,0.51
