,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1853,1,-1.068,2.631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.13,0.28
1,1853,2,-1.954,2.214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.13,0.28
2,1853,3,-0.549,2.315,-0.553,0.760,NaN,NaN,NaN,NaN,NaN,NaN,20.13,0.28
3,1853,4,-0.248,1.770,-0.551,0.871,NaN,NaN,NaN,NaN,NaN,NaN,20.13,0.28
4,1853,5,-1.007,1.268,-0.502,0.776,NaN,NaN,NaN,NaN,NaN,NaN,20.13,0.28
5,1853,6,-0.469,1.563,-0.718,0.814,NaN,NaN,NaN,NaN,NaN,NaN,20.13,0.28
6,1853,7,-0.826,2.461,-0.622,0.949,NaN,NaN,NaN,NaN,NaN,NaN,20.13,0.28
7,1853,8,-0.357,1.264,-0.488,1.244,NaN,NaN,NaN,NaN,NaN,NaN,20.13,0.28
8,1853,9,-0.399,1.732,-0.472,1.208,NaN,NaN,NaN,NaN,NaN,NaN,20.13,0.28
9,1853,10,-0.684,3.821,-0.622,1.237,NaN,NaN,NaN,NaN,NaN,NaN,20.13,0.28
10,1853,11,0.592,2.476,-0.589,1.382,NaN,NaN,NaN,NaN,NaN,NaN,20.13,0.28
11,1853,12,-1.643,1.855,-0.574,1.514,NaN,NaN,NaN,NaN,NaN,NaN,20.13,0.28
12,1854,1,0.078,1.383,-0.509,1.383,NaN,NaN,NaN,NaN,NaN,NaN,20.13,0.28
13,1854,2,-0.349,3.296,-0.533,1.400,NaN,NaN,NaN,NaN,NaN,NaN,20.13,0.28
14,1854,3,-0.354,2.265,-0.612,1.409,NaN,NaN,NaN,NaN,NaN,NaN,20.13,0.28
15,1854,4,-2.040,1.991,-0.603,1.169,-1.017,0.723,NaN,NaN,NaN,NaN,20.13,0.28
16,1854,5,-0.613,2.864,-0.890,1.048,-1.033,0.678,NaN,NaN,NaN,NaN,20.13,0.28
17,1854,6,-0.290,1.710,-0.878,1.118,-1.037,0.653,NaN,NaN,NaN,NaN,20.13,0.28
18,1854,7,-0.048,1.365,-0.929,0.997,-1.057,0.696,NaN,NaN,NaN,NaN,20.13,0.28
19,1854,8,-0.650,1.749,-0.964,1.136,-1.040,0.630,NaN,NaN,NaN,NaN,20.13,0.28
20,1854,9,-1.347,2.363,-1.009,1.191,-1.008,0.618,NaN,NaN,NaN,NaN,20.13,0.28
21,1854,10,NaN,NaN,-0.904,1.151,-0.994,0.620,NaN,NaN,NaN,NaN,20.13,0.28
22,1854,11,-2.859,1.506,-0.912,0.980,-1.004,0.607,NaN,NaN,NaN,NaN,20.13,0.28
23,1854,12,-1.490,2.603,-1.018,0.878,-1.020,0.599,NaN,NaN,NaN,NaN,20.13,0.28
24,1855,1,-0.544,1.712,-1.121,0.773,-1.021,0.569,NaN,NaN,NaN,NaN,20.13,0.28
25,1855,2,-0.760,5.239,-1.153,0.804,-1.041,0.562,NaN,NaN,NaN,NaN,20.13,0.28
26,1855,3,-0.900,1.793,-1.152,0.660,-1.067,0.541,NaN,NaN,NaN,NaN,20.13,0.28
27,1855,4,-0.781,1.340,-1.263,0.782,-1.082,0.541,NaN,NaN,NaN,NaN,20.13,0.28
28,1855,5,-0.703,1.387,-1.173,0.784,-1.104,0.548,NaN,NaN,NaN,NaN,20.13,0.28
29,1855,6,-1.561,1.334,-1.165,0.597,-1.120,0.571,NaN,NaN,NaN,NaN,20.13,0.28
30,1855,7,-1.289,1.682,-1.253,0.847,-1.112,0.544,NaN,NaN,NaN,NaN,20.13,0.28
31,1855,8,-1.032,2.069,-1.277,0.773,-1.112,0.556,NaN,NaN,NaN,NaN,20.13,0.28
32,1855,9,-1.333,1.166,-1.344,0.816,-1.130,0.549,-1.029,0.441,NaN,NaN,20.13,0.28
33,1855,10,-1.901,2.760,-1.411,0.805,-1.163,0.552,-1.017,0.431,NaN,NaN,20.13,0.28
34,1855,11,-1.779,1.850,-1.487,0.835,-1.191,0.560,-1.021,0.428,NaN,NaN,20.13,0.28
35,1855,12,-1.402,1.687,-1.459,0.803,-1.213,0.574,-1.009,0.422,NaN,NaN,20.13,0.28
36,1856,1,-1.592,3.348,-1.528,0.858,-1.208,0.552,-1.009,0.427,NaN,NaN,20.13,0.28
37,1856,2,-1.047,3.063,-1.582,0.876,-1.231,0.548,-1.030,0.439,NaN,NaN,20.13,0.28
38,1856,3,-1.709,1.807,-1.536,0.912,-1.232,0.531,-1.041,0.439,NaN,NaN,20.13,0.28
39,1856,4,-1.588,2.141,-1.515,0.821,-1.221,0.473,-1.053,0.438,NaN,NaN,20.13,0.28
40,1856,5,-1.613,1.667,-1.628,0.743,-1.260,0.518,-1.057,0.434,NaN,NaN,20.13,0.28
41,1856,6,-1.223,1.514,-1.682,0.838,-1.232,0.524,-1.053,0.435,NaN,NaN,20.13,0.28
42,1856,7,-2.118,1.383,-1.639,0.857,-1.247,0.523,-1.055,0.434,NaN,NaN,20.13,0.28
43,1856,8,-1.676,1.855,-1.456,0.518,-1.232,0.482,-1.045,0.429,NaN,NaN,20.13,0.28
44,1856,9,-0.784,2.123,-1.346,0.520,-1.270,0.490,-1.044,0.424,NaN,NaN,20.13,0.28
45,1856,10,-1.650,1.687,-1.323,0.515,-1.261,0.477,-1.048,0.424,NaN,NaN,20.13,0.28
46,1856,11,-3.135,2.918,-1.349,0.454,-1.258,0.462,-1.031,0.427,NaN,NaN,20.13,0.28
47,1856,12,-2.044,1.362,-1.409,0.493,-1.252,0.462,-1.023,0.427,NaN,NaN,20.13,0.28
48,1857,1,-1.075,5.160,-1.334,0.514,-1.267,0.474,-1.038,0.416,NaN,NaN,20.13,0.28
49,1857,2,1.144,4.353,-1.358,0.463,-1.264,0.464,-1.057,0.411,NaN,NaN,20.13,0.28
50,1857,3,-0.393,1.332,-1.481,0.411,-1.251,0.429,-1.055,0.411,NaN,NaN,20.13,0.28
51,1857,4,-1.305,1.384,-1.477,0.440,-1.233,0.401,-1.042,0.411,NaN,NaN,20.13,0.28
52,1857,5,-1.923,1.183,-1.328,0.501,-1.206,0.399,-1.034,0.408,NaN,NaN,20.13,0.28
53,1857,6,-1.949,1.144,-1.156,0.573,-1.213,0.418,-1.034,0.406,NaN,NaN,20.13,0.28
54,1857,7,-1.221,2.199,-1.116,0.734,-1.201,0.442,-1.022,0.403,NaN,NaN,20.13,0.28
55,1857,8,-1.966,1.799,-1.377,0.699,-1.182,0.425,-1.018,0.400,NaN,NaN,20.13,0.28
56,1857,9,-2.259,2.028,-1.476,0.765,-1.165,0.412,-1.015,0.391,NaN,NaN,20.13,0.28
57,1857,10,-1.601,2.173,-1.554,0.865,-1.183,0.438,-1.012,0.390,NaN,NaN,20.13,0.28
58,1857,11,NaN,NaN,-1.619,0.999,-1.202,0.462,-1.017,0.384,NaN,NaN,20.13,0.28
59,1857,12,NaN,NaN,-1.607,1.117,-1.194,0.464,-1.024,0.381,NaN,NaN,20.13,0.28
60,1858,1,-0.601,2.672,-1.547,1.085,-1.198,0.468,-1.005,0.363,NaN,NaN,20.13,0.28
61,1858,2,-1.986,1.838,-1.531,1.067,-1.195,0.470,-0.984,0.362,NaN,NaN,20.13,0.28
62,1858,3,-1.581,1.173,-1.381,0.906,-1.191,0.468,-0.984,0.368,NaN,NaN,20.13,0.28
63,1858,4,-2.242,2.158,-1.248,0.772,-1.161,0.449,-0.990,0.368,NaN,NaN,20.13,0.28
64,1858,5,-2.694,1.939,-1.284,0.786,-1.157,0.456,-0.983,0.366,NaN,NaN,20.13,0.28
65,1858,6,-1.806,2.174,-1.279,0.643,-1.134,0.453,-0.978,0.367,NaN,NaN,20.13,0.28
66,1858,7,-0.498,1.500,-1.299,0.717,-1.101,0.454,-0.975,0.370,NaN,NaN,20.13,0.28
67,1858,8,-1.779,1.741,-1.085,0.641,-1.109,0.488,-0.975,0.373,NaN,NaN,20.13,0.28
68,1858,9,-0.458,1.367,-1.173,0.908,-1.111,0.495,-0.980,0.372,NaN,NaN,20.13,0.28
69,1858,10,-0.006,1.480,-1.113,0.959,-1.116,0.490,-0.977,0.377,NaN,NaN,20.13,0.28
70,1858,11,-1.770,2.839,-0.924,1.078,-1.125,0.484,-0.988,0.387,NaN,NaN,20.13,0.28
71,1858,12,0.073,1.959,-0.769,1.003,-1.121,0.495,-0.984,0.398,-0.863,0.341,20.13,0.28
72,1859,1,-0.835,1.695,-0.807,1.064,-1.111,0.507,-0.991,0.399,-0.859,0.341,20.13,0.28
73,1859,2,0.579,2.860,-0.697,1.055,-1.091,0.507,-0.996,0.399,-0.858,0.341,20.13,0.28
74,1859,3,-2.645,4.954,-0.707,1.065,-1.094,0.536,-1.001,0.401,-0.861,0.339,20.13,0.28
75,1859,4,-1.522,3.326,-0.660,0.889,-1.080,0.549,-0.992,0.406,-0.861,0.336,20.13,0.28
76,1859,5,-0.416,3.222,-0.617,1.023,-1.028,0.530,-0.996,0.415,-0.858,0.336,20.13,0.28
77,1859,6,0.047,1.528,-0.785,0.924,-1.010,0.556,-0.993,0.424,-0.854,0.335,20.13,0.28
78,1859,7,-0.954,1.134,-0.698,0.985,-1.019,0.598,-1.003,0.429,-0.845,0.336,20.13,0.28
79,1859,8,-0.458,1.139,-0.717,0.822,-1.074,0.601,-1.005,0.430,-0.840,0.337,20.13,0.28
80,1859,9,-0.576,1.180,-0.483,0.797,-1.102,0.627,-1.000,0.421,-0.837,0.334,20.13,0.28
81,1859,10,0.556,2.228,-0.512,0.607,-1.090,0.632,-0.998,0.423,-0.838,0.335,20.13,0.28
82,1859,11,-1.247,1.244,-0.631,0.483,-1.063,0.644,-0.978,0.423,-0.851,0.329,20.13,0.28
83,1859,12,-1.949,2.996,-0.728,0.499,-1.049,0.647,-0.973,0.440,-0.850,0.330,20.13,0.28
84,1860,1,0.210,2.464,-0.772,0.505,-1.024,0.640,-0.971,0.442,-0.852,0.325,20.13,0.28
85,1860,2,0.354,1.845,-0.808,0.506,-0.995,0.635,-0.952,0.477,-0.859,0.324,20.13,0.28
86,1860,3,0.157,2.173,-0.850,0.548,-0.964,0.629,-0.950,0.489,-0.852,0.324,20.13,0.28
87,1860,4,-1.867,1.989,-0.907,0.633,-0.943,0.621,-0.951,0.490,-0.842,0.325,20.13,0.28
88,1860,5,-1.845,2.205,-0.928,0.605,-0.929,0.625,-0.957,0.491,-0.835,0.325,20.13,0.28
89,1860,6,-1.113,1.540,-0.769,0.604,-0.929,0.615,-0.944,0.489,-0.830,0.323,20.13,0.28
90,1860,7,-1.489,1.287,-0.751,0.633,-0.899,0.596,-0.925,0.482,-0.825,0.323,20.13,0.28
91,1860,8,-0.883,1.044,-0.911,0.693,-0.856,0.605,-0.920,0.489,-0.824,0.321,20.13,0.28
92,1860,9,-1.080,1.099,-1.074,0.667,-0.838,0.607,-0.914,0.482,-0.822,0.323,20.13,0.28
93,1860,10,-0.127,1.655,-1.075,0.616,-0.817,0.611,-0.895,0.488,-0.816,0.326,20.13,0.28
