,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1846,1,0.679,1.861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.41,0.53
1,1846,2,-1.141,3.326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.41,0.53
2,1846,3,0.059,0.944,-0.440,0.530,NaN,NaN,NaN,NaN,NaN,NaN,24.41,0.53
3,1846,4,0.024,0.951,-0.377,0.526,NaN,NaN,NaN,NaN,NaN,NaN,24.41,0.53
4,1846,5,0.169,1.407,-0.371,0.538,NaN,NaN,NaN,NaN,NaN,NaN,24.41,0.53
5,1846,6,0.125,0.871,-0.235,0.551,NaN,NaN,NaN,NaN,NaN,NaN,24.41,0.53
6,1846,7,-0.339,1.202,-0.302,0.520,NaN,NaN,NaN,NaN,NaN,NaN,24.41,0.53
7,1846,8,-0.281,1.067,-0.268,0.792,NaN,NaN,NaN,NaN,NaN,NaN,24.41,0.53
8,1846,9,0.347,1.880,-0.419,0.764,NaN,NaN,NaN,NaN,NaN,NaN,24.41,0.53
9,1846,10,-1.107,2.144,-0.534,0.680,NaN,NaN,NaN,NaN,NaN,NaN,24.41,0.53
10,1846,11,-0.282,4.737,-0.573,0.570,NaN,NaN,NaN,NaN,NaN,NaN,24.41,0.53
11,1846,12,-1.073,1.985,-0.723,0.573,NaN,NaN,NaN,NaN,NaN,NaN,24.41,0.53
12,1847,1,-0.127,1.596,-0.755,0.634,NaN,NaN,NaN,NaN,NaN,NaN,24.41,0.53
13,1847,2,-0.733,1.211,-0.844,0.566,NaN,NaN,NaN,NaN,NaN,NaN,24.41,0.53
14,1847,3,-1.751,0.973,-0.985,0.469,NaN,NaN,NaN,NaN,NaN,NaN,24.41,0.53
15,1847,4,-1.359,1.448,-1.036,0.546,-0.897,NaN,NaN,NaN,NaN,NaN,24.41,0.53
16,1847,5,-0.302,1.278,-1.065,0.468,-0.888,NaN,NaN,NaN,NaN,NaN,24.41,0.53
17,1847,6,-1.671,0.895,-0.991,0.482,-0.874,NaN,NaN,NaN,NaN,NaN,24.41,0.53
18,1847,7,-0.724,0.808,-1.008,0.700,-0.913,0.564,NaN,NaN,NaN,NaN,24.41,0.53
19,1847,8,-1.342,1.775,-0.904,0.861,-0.890,0.594,NaN,NaN,NaN,NaN,24.41,0.53
20,1847,9,-1.344,1.138,-0.826,0.878,-0.889,0.615,NaN,NaN,NaN,NaN,24.41,0.53
21,1847,10,-1.727,1.240,-0.788,0.878,-0.899,0.614,NaN,NaN,NaN,NaN,24.41,0.53
22,1847,11,-0.622,2.520,-0.837,0.918,-0.880,0.619,NaN,NaN,NaN,NaN,24.41,0.53
23,1847,12,-0.184,1.778,-0.756,0.882,-0.869,0.623,NaN,NaN,NaN,NaN,24.41,0.53
24,1848,1,-0.339,6.179,-0.795,0.782,-0.849,0.636,NaN,NaN,NaN,NaN,24.41,0.53
25,1848,2,0.520,3.042,-0.761,0.885,-0.836,0.652,NaN,NaN,NaN,NaN,24.41,0.53
26,1848,3,-0.811,1.415,-0.811,0.815,-0.811,0.658,NaN,NaN,NaN,NaN,24.41,0.53
