,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1850,1,-1.225,2.581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.35,0.42
1,1850,2,0.343,3.220,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.35,0.42
2,1850,3,-0.546,2.855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.35,0.42
3,1850,4,1.014,2.784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.35,0.42
4,1850,5,-0.768,2.071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.35,0.42
5,1850,6,-0.222,2.268,-0.736,0.858,NaN,NaN,NaN,NaN,NaN,NaN,25.35,0.42
6,1850,7,-1.675,1.972,-0.642,0.771,NaN,NaN,NaN,NaN,NaN,NaN,25.35,0.42
7,1850,8,-1.324,1.945,-0.698,0.719,NaN,NaN,NaN,NaN,NaN,NaN,25.35,0.42
8,1850,9,-1.894,2.203,-0.712,0.689,NaN,NaN,NaN,NaN,NaN,NaN,25.35,0.42
9,1850,10,-1.036,1.995,-0.716,0.754,NaN,NaN,NaN,NaN,NaN,NaN,25.35,0.42
10,1850,11,-1.113,2.364,-0.732,0.816,NaN,NaN,NaN,NaN,NaN,NaN,25.35,0.42
11,1850,12,-0.384,4.645,-0.748,1.072,NaN,NaN,NaN,NaN,NaN,NaN,25.35,0.42
12,1851,1,-0.100,2.378,-0.756,1.309,NaN,NaN,NaN,NaN,NaN,NaN,25.35,0.42
13,1851,2,-0.326,1.903,-0.791,1.284,NaN,NaN,NaN,NaN,NaN,NaN,25.35,0.42
14,1851,3,-0.718,2.409,-0.674,1.321,NaN,NaN,NaN,NaN,NaN,NaN,25.35,0.42
15,1851,4,0.973,2.584,-0.545,1.288,NaN,NaN,NaN,NaN,NaN,NaN,25.35,0.42
16,1851,5,-0.962,3.749,-0.570,1.440,NaN,NaN,NaN,NaN,NaN,NaN,25.35,0.42
17,1851,6,-0.416,3.896,-0.478,1.300,NaN,NaN,NaN,NaN,NaN,NaN,25.35,0.42
18,1851,7,-1.768,4.103,-0.456,1.444,NaN,NaN,NaN,NaN,NaN,NaN,25.35,0.42
19,1851,8,-1.741,2.427,-0.497,1.548,NaN,NaN,NaN,NaN,NaN,NaN,25.35,0.42
20,1851,9,-0.494,2.389,-0.422,1.746,NaN,NaN,NaN,NaN,NaN,NaN,25.35,0.42
21,1851,10,0.515,2.251,-0.540,1.654,NaN,NaN,NaN,NaN,NaN,NaN,25.35,0.42
22,1851,11,-1.416,2.257,-0.533,1.525,NaN,NaN,NaN,NaN,NaN,NaN,25.35,0.42
23,1851,12,0.722,2.548,-0.610,1.477,NaN,NaN,NaN,NaN,NaN,NaN,25.35,0.42
24,1852,1,0.156,2.181,-0.698,1.369,NaN,NaN,NaN,NaN,NaN,NaN,25.35,0.42
25,1852,2,-0.809,3.357,-0.794,1.511,-0.652,0.865,NaN,NaN,NaN,NaN,25.35,0.42
26,1852,3,0.171,3.488,-0.892,1.464,-0.653,0.843,NaN,NaN,NaN,NaN,25.35,0.42
27,1852,4,-0.439,2.353,-0.961,1.586,-0.640,0.817,NaN,NaN,NaN,NaN,25.35,0.42
28,1852,5,-0.878,3.145,-0.794,1.371,-0.669,0.829,NaN,NaN,NaN,NaN,25.35,0.42
29,1852,6,-1.334,3.906,-0.722,1.180,-0.661,0.832,NaN,NaN,NaN,NaN,25.35,0.42
30,1852,7,-2.831,2.622,-0.623,1.228,-0.642,0.834,NaN,NaN,NaN,NaN,25.35,0.42
