,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1850,1,-1.286,1.460,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.60,0.23
1,1850,2,-0.423,1.518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.60,0.23
2,1850,3,-0.258,2.024,-0.346,1.248,NaN,NaN,NaN,NaN,NaN,NaN,12.60,0.23
3,1850,4,0.365,2.344,-0.425,1.301,NaN,NaN,NaN,NaN,NaN,NaN,12.60,0.23
4,1850,5,-0.803,2.218,-0.605,1.436,NaN,NaN,NaN,NaN,NaN,NaN,12.60,0.23
5,1850,6,0.080,1.660,-0.656,1.631,NaN,NaN,NaN,NaN,NaN,NaN,12.60,0.23
6,1850,7,-0.744,1.632,-0.599,1.694,NaN,NaN,NaN,NaN,NaN,NaN,12.60,0.23
7,1850,8,-0.773,2.143,-0.641,1.714,NaN,NaN,NaN,NaN,NaN,NaN,12.60,0.23
8,1850,9,-1.018,2.982,-0.683,1.708,NaN,NaN,NaN,NaN,NaN,NaN,12.60,0.23
9,1850,10,-0.862,2.458,-0.671,1.677,NaN,NaN,NaN,NaN,NaN,NaN,12.60,0.23
10,1850,11,-1.243,2.081,-0.677,1.607,NaN,NaN,NaN,NaN,NaN,NaN,12.60,0.23
11,1850,12,-0.911,4.495,-0.700,1.663,NaN,NaN,NaN,NaN,NaN,NaN,12.60,0.23
12,1851,1,-0.598,1.995,-0.718,1.757,NaN,NaN,NaN,NaN,NaN,NaN,12.60,0.23
13,1851,2,-0.923,2.285,-0.695,1.728,NaN,NaN,NaN,NaN,NaN,NaN,12.60,0.23
14,1851,3,-0.767,1.547,-0.590,1.636,NaN,NaN,NaN,NaN,NaN,NaN,12.60,0.23
15,1851,4,0.506,1.736,-0.511,1.572,-0.510,1.318,NaN,NaN,NaN,NaN,12.60,0.23
16,1851,5,-0.870,1.442,-0.545,1.562,-0.505,1.332,NaN,NaN,NaN,NaN,12.60,0.23
17,1851,6,-0.196,2.322,-0.391,1.407,-0.527,1.295,NaN,NaN,NaN,NaN,12.60,0.23
18,1851,7,-0.963,2.403,-0.351,1.399,-0.531,1.285,NaN,NaN,NaN,NaN,12.60,0.23
19,1851,8,-0.488,2.266,-0.339,1.522,-0.547,1.304,NaN,NaN,NaN,NaN,12.60,0.23
20,1851,9,0.242,3.326,-0.277,1.564,-0.552,1.326,NaN,NaN,NaN,NaN,12.60,0.23
21,1851,10,0.083,1.722,-0.376,1.583,-0.538,1.307,NaN,NaN,NaN,NaN,12.60,0.23
22,1851,11,-1.657,2.074,-0.357,1.627,-0.544,1.312,NaN,NaN,NaN,NaN,12.60,0.23
23,1851,12,0.936,3.106,-0.392,1.569,-0.570,1.320,NaN,NaN,NaN,NaN,12.60,0.23
24,1852,1,-0.115,2.219,-0.404,1.537,-0.573,1.312,NaN,NaN,NaN,NaN,12.60,0.23
25,1852,2,-0.781,2.923,-0.482,1.507,-0.564,1.330,NaN,NaN,NaN,NaN,12.60,0.23
26,1852,3,-0.015,1.732,-0.557,1.515,-0.551,1.342,NaN,NaN,NaN,NaN,12.60,0.23
27,1852,4,-0.684,2.687,-0.560,1.559,-0.556,1.331,NaN,NaN,NaN,NaN,12.60,0.23
28,1852,5,-0.648,1.898,-0.410,1.580,-0.601,1.351,NaN,NaN,NaN,NaN,12.60,0.23
29,1852,6,-0.607,1.804,-0.427,1.514,-0.632,1.354,NaN,NaN,NaN,NaN,12.60,0.23
30,1852,7,-1.113,2.049,-0.368,1.562,-0.626,1.348,NaN,NaN,NaN,NaN,12.60,0.23
31,1852,8,-1.426,1.890,-0.451,1.571,-0.631,1.363,NaN,NaN,NaN,NaN,12.60,0.23
32,1852,9,-0.653,2.255,-0.598,1.551,-0.644,1.350,NaN,NaN,NaN,NaN,12.60,0.23
33,1852,10,0.039,2.860,-0.531,1.493,-0.662,1.340,NaN,NaN,NaN,NaN,12.60,0.23
34,1852,11,0.148,2.944,-0.616,1.452,-0.674,1.328,NaN,NaN,NaN,NaN,12.60,0.23
35,1852,12,0.727,3.235,-0.637,1.398,-0.702,1.325,-0.605,1.312,NaN,NaN,12.60,0.23
36,1853,1,0.599,2.581,-0.664,1.363,-0.704,1.323,-0.599,1.314,NaN,NaN,12.60,0.23
37,1853,2,-1.774,2.096,-0.605,1.315,-0.698,1.335,-0.612,1.313,NaN,NaN,12.60,0.23
38,1853,3,-1.785,1.521,-0.540,1.283,-0.697,1.312,-0.622,1.309,NaN,NaN,12.60,0.23
39,1853,4,0.117,1.970,-0.636,1.405,-0.707,1.311,-0.631,1.304,NaN,NaN,12.60,0.23
40,1853,5,-1.666,1.788,-0.696,1.331,-0.707,1.314,-0.643,1.303,NaN,NaN,12.60,0.23
41,1853,6,-0.856,1.689,-0.789,1.361,-0.703,1.267,-0.643,1.299,NaN,NaN,12.60,0.23
42,1853,7,-1.433,1.836,-0.940,1.356,-0.692,1.272,-0.642,1.294,NaN,NaN,12.60,0.23
43,1853,8,-0.717,1.773,-0.918,1.496,-0.693,1.298,-0.638,1.293,NaN,NaN,12.60,0.23
44,1853,9,0.127,2.430,-0.833,1.592,-0.689,1.316,-0.625,1.276,NaN,NaN,12.60,0.23
45,1853,10,-1.121,3.330,-0.877,1.535,-0.707,1.318,-0.620,1.272,NaN,NaN,12.60,0.23
46,1853,11,-0.564,2.071,-0.808,1.602,-0.704,1.331,-0.603,1.269,NaN,NaN,12.60,0.23
47,1853,12,-0.396,2.036,-0.832,1.655,-0.712,1.331,-0.617,1.247,NaN,NaN,12.60,0.23
48,1854,1,-1.216,1.880,-0.803,1.575,-0.710,1.318,-0.617,1.234,NaN,NaN,12.60,0.23
49,1854,2,-1.504,2.826,-0.747,1.638,-0.720,1.329,-0.614,1.239,NaN,NaN,12.60,0.23
50,1854,3,-0.769,2.534,-0.722,1.641,-0.745,1.346,-0.613,1.237,NaN,NaN,12.60,0.23
51,1854,4,-0.404,1.601,-0.649,1.455,-0.765,1.354,-0.590,1.226,NaN,NaN,12.60,0.23
52,1854,5,-0.848,2.493,-0.749,1.391,-0.774,1.343,-0.587,1.213,NaN,NaN,12.60,0.23
53,1854,6,-1.141,1.999,-0.893,1.404,-0.806,1.328,-0.597,1.218,NaN,NaN,12.60,0.23
54,1854,7,-1.079,1.485,-0.870,1.305,-0.849,1.345,-0.594,1.218,NaN,NaN,12.60,0.23
