,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1750,1,0.035,2.602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
1,1750,2,-0.297,2.844,-0.391,1.120,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
2,1750,3,NaN,NaN,-0.411,1.126,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
3,1750,4,0.151,2.524,-0.433,1.120,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
4,1750,5,-1.470,2.535,-0.758,1.117,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
5,1750,6,-0.022,2.555,-0.793,1.115,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
6,1750,7,0.678,2.613,-0.930,1.120,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
7,1750,8,0.743,2.560,-1.186,1.096,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
8,1750,9,NaN,NaN,-1.217,1.071,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
9,1750,10,-1.927,2.518,-1.359,1.063,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
10,1750,11,-5.090,2.570,-1.306,1.046,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
11,1750,12,-3.557,2.643,-1.373,1.046,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
12,1751,1,-1.610,2.633,-1.319,1.025,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
13,1751,2,-3.363,2.671,-1.326,1.023,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
14,1751,3,1.408,2.577,-1.312,1.012,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
15,1751,4,-1.551,2.500,-1.321,1.011,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
16,1751,5,-0.838,2.519,-1.192,1.013,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
17,1751,6,-0.827,2.561,-1.090,1.020,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
18,1751,7,1.325,2.584,-1.136,1.025,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
19,1751,8,0.665,2.512,-0.722,1.010,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
20,1751,9,-0.376,2.498,-0.748,1.006,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
21,1751,10,-2.043,2.385,-0.719,0.984,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
22,1751,11,-3.542,2.417,-0.686,0.966,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
23,1751,12,-2.331,2.622,-0.551,0.952,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
24,1752,1,-2.160,2.579,-0.551,0.950,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
25,1752,2,1.604,2.488,-0.664,0.956,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
26,1752,3,1.095,2.365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
27,1752,4,-1.195,2.401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
28,1752,5,-0.442,2.352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
29,1752,6,0.786,2.327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
30,1752,7,1.333,2.394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
31,1752,8,-0.702,2.494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
33,1752,10,-0.680,2.372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
34,1752,11,-0.389,2.398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
35,1752,12,-1.284,2.517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
36,1753,1,-0.743,2.469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
37,1753,2,-1.325,2.542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
38,1753,3,1.668,2.455,-0.350,1.012,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
39,1753,4,-0.196,2.545,-0.311,1.013,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
40,1753,5,0.175,2.326,-0.412,1.009,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
41,1753,6,0.039,2.477,-0.683,1.015,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
42,1753,7,0.020,2.508,-0.672,1.017,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
43,1753,8,-0.841,2.412,-0.780,1.012,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
44,1753,9,-0.644,2.365,-1.043,0.998,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
45,1753,10,-0.210,2.370,-0.871,1.013,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
46,1753,11,-1.602,2.365,-0.820,1.031,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
47,1753,12,-4.541,2.684,-0.756,1.019,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
48,1754,1,-0.609,2.467,-0.759,1.017,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
49,1754,2,-2.619,2.537,-0.775,1.024,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
50,1754,3,-1.484,2.373,-0.822,1.028,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
51,1754,4,1.861,2.423,-0.770,1.031,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
52,1754,5,0.784,2.380,-0.682,1.064,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
53,1754,6,0.810,2.416,-0.349,1.039,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
54,1754,7,-0.011,2.566,-0.450,1.050,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
55,1754,8,-1.038,2.467,-0.530,1.090,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
56,1754,9,-1.209,2.365,-0.470,1.081,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
57,1754,10,0.420,2.471,-0.544,1.092,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
58,1754,11,-0.553,2.830,-0.558,1.057,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
59,1754,12,-0.540,2.457,-0.482,1.055,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
60,1755,1,-1.824,2.564,-0.406,1.067,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
61,1755,2,-3.575,2.837,-0.447,1.046,NaN,NaN,NaN,NaN,NaN,NaN,9.30,0.18
62,1755,3,-0.771,2.496,-0.448,1.041,-0.229,0.530,NaN,NaN,NaN,NaN,9.30,0.18
63,1755,4,0.978,2.580,-0.395,1.015,-0.290,0.523,NaN,NaN,NaN,NaN,9.30,0.18
64,1755,5,0.617,2.380,-0.482,1.032,-0.313,0.527,NaN,NaN,NaN,NaN,9.30,0.18
65,1755,6,1.719,2.557,-0.572,1.010,-0.347,0.525,NaN,NaN,NaN,NaN,9.30,0.18
66,1755,7,0.908,2.809,-0.320,1.028,-0.413,0.525,NaN,NaN,NaN,NaN,9.30,0.18
67,1755,8,-1.537,2.465,0.208,1.013,-0.440,0.531,NaN,NaN,NaN,NaN,9.30,0.18
68,1755,9,-1.223,2.345,0.322,0.999,-0.480,0.534,NaN,NaN,NaN,NaN,9.30,0.18
69,1755,10,1.058,2.326,0.240,0.975,-0.498,0.533,NaN,NaN,NaN,NaN,9.30,0.18
70,1755,11,-1.588,2.671,0.190,0.971,-0.530,0.544,NaN,NaN,NaN,NaN,9.30,0.18
71,1755,12,-1.625,2.539,0.160,0.982,-0.535,0.549,NaN,NaN,NaN,NaN,9.30,0.18
72,1756,1,1.203,2.670,0.105,1.036,-0.552,0.548,NaN,NaN,NaN,NaN,9.30,0.18
73,1756,2,2.753,3.793,0.171,1.026,-0.574,0.556,NaN,NaN,NaN,NaN,9.30,0.18
74,1756,3,0.606,3.094,0.242,1.055,-0.601,0.554,NaN,NaN,NaN,NaN,9.30,0.18
75,1756,4,-0.013,2.814,0.104,1.095,-0.652,0.552,NaN,NaN,NaN,NaN,9.30,0.18
76,1756,5,0.016,4.563,0.012,1.126,-0.648,0.552,NaN,NaN,NaN,NaN,9.30,0.18
77,1756,6,1.365,2.554,-0.109,1.097,-0.599,0.552,NaN,NaN,NaN,NaN,9.30,0.18
78,1756,7,0.244,6.116,-0.380,1.072,-0.555,0.555,NaN,NaN,NaN,NaN,9.30,0.18
79,1756,8,-0.744,2.986,-0.479,1.068,-0.485,0.557,NaN,NaN,NaN,NaN,9.30,0.18
80,1756,9,-0.374,2.506,-0.512,1.068,-0.455,0.564,NaN,NaN,NaN,NaN,9.30,0.18
81,1756,10,-0.601,6.690,-0.435,1.050,-0.512,0.571,NaN,NaN,NaN,NaN,9.30,0.18
82,1756,11,-2.685,2.410,-0.385,1.060,-0.559,0.572,NaN,NaN,NaN,NaN,9.30,0.18
83,1756,12,-3.079,2.441,-0.280,1.041,-0.561,0.569,NaN,NaN,NaN,NaN,9.30,0.18
84,1757,1,-2.049,2.502,-0.027,1.035,-0.570,0.578,NaN,NaN,NaN,NaN,9.30,0.18
85,1757,2,1.571,2.981,0.171,1.033,-0.550,0.577,NaN,NaN,NaN,NaN,9.30,0.18
86,1757,3,0.208,3.728,0.232,1.009,-0.541,0.578,NaN,NaN,NaN,NaN,9.30,0.18
87,1757,4,0.905,2.790,-0.078,0.983,-0.574,0.581,NaN,NaN,NaN,NaN,9.30,0.18
88,1757,5,0.614,2.905,-0.004,0.989,-0.628,0.582,NaN,NaN,NaN,NaN,9.30,0.18
89,1757,6,2.624,2.467,-0.023,0.988,-0.701,0.576,NaN,NaN,NaN,NaN,9.30,0.18
90,1757,7,3.283,2.793,-0.245,1.236,-0.733,0.588,NaN,NaN,NaN,NaN,9.30,0.18
91,1757,8,1.632,3.936,-0.618,1.113,-0.687,0.593,NaN,NaN,NaN,NaN,9.30,0.18
92,1757,9,0.357,5.217,-0.697,1.012,-0.712,0.596,-0.660,0.585,NaN,NaN,9.30,0.18
93,1757,10,-4.322,4.174,-0.878,0.975,-0.750,0.600,-0.674,0.580,NaN,NaN,9.30,0.18
94,1757,11,-1.786,6.251,-1.076,0.970,-0.770,0.605,-0.672,0.581,NaN,NaN,9.30,0.18
95,1757,12,-3.312,2.793,-1.314,0.987,-0.804,0.606,-0.690,0.575,NaN,NaN,9.30,0.18
96,1758,1,-4.710,4.395,-1.672,1.081,-0.839,0.611,-0.714,0.566,NaN,NaN,9.30,0.18
97,1758,2,-2.906,2.830,-1.990,1.463,-0.831,0.618,-0.714,0.572,NaN,NaN,9.30,0.18
98,1758,3,-0.745,2.512,-2.210,1.846,-0.828,0.627,-0.754,0.569,NaN,NaN,9.30,0.18
99,1758,4,-1.262,3.456,-2.122,1.614,-0.873,0.639,-0.763,0.568,NaN,NaN,9.30,0.18
100,1758,5,-1.761,4.376,-2.083,1.099,-0.868,0.637,-0.773,0.573,NaN,NaN,9.30,0.18
101,1758,6,-0.243,3.763,-1.943,1.092,-0.882,0.654,-0.786,0.575,NaN,NaN,9.30,0.18
102,1758,7,-1.004,3.748,-1.381,1.097,-0.934,0.648,-0.770,0.575,NaN,NaN,9.30,0.18
103,1758,8,-2.183,4.851,-1.008,1.069,-1.000,0.661,-0.764,0.577,NaN,NaN,9.30,0.18
104,1758,9,-2.283,2.660,-0.920,1.076,-0.983,0.669,-0.770,0.571,NaN,NaN,9.30,0.18
105,1758,10,-3.267,2.404,-0.941,1.109,-0.999,0.684,-0.793,0.563,NaN,NaN,9.30,0.18
106,1758,11,-1.323,2.461,-0.967,1.069,-0.975,0.709,-0.802,0.565,NaN,NaN,9.30,0.18
107,1758,12,-1.632,2.435,-0.888,1.029,-0.954,0.712,-0.769,0.573,NaN,NaN,9.30,0.18
