,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1840,1,-1.397,3.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.97,0.24
1,1840,2,-0.301,3.008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.97,0.24
2,1840,3,-0.871,4.590,-0.615,1.256,NaN,NaN,NaN,NaN,NaN,NaN,13.97,0.24
3,1840,4,-0.453,3.835,-0.913,1.351,NaN,NaN,NaN,NaN,NaN,NaN,13.97,0.24
4,1840,5,-1.799,5.518,-0.964,1.235,NaN,NaN,NaN,NaN,NaN,NaN,13.97,0.24
5,1840,6,-0.564,4.596,-1.325,1.229,NaN,NaN,NaN,NaN,NaN,NaN,13.97,0.24
6,1840,7,-1.527,2.932,-1.327,1.371,NaN,NaN,NaN,NaN,NaN,NaN,13.97,0.24
7,1840,8,-1.316,2.886,-1.522,1.519,NaN,NaN,NaN,NaN,NaN,NaN,13.97,0.24
8,1840,9,-1.001,4.941,-1.433,1.316,NaN,NaN,NaN,NaN,NaN,NaN,13.97,0.24
9,1840,10,-2.399,3.192,-1.420,1.226,NaN,NaN,NaN,NaN,NaN,NaN,13.97,0.24
10,1840,11,-0.170,3.303,-1.080,1.322,NaN,NaN,NaN,NaN,NaN,NaN,13.97,0.24
11,1840,12,-4.104,4.329,-1.035,1.198,NaN,NaN,NaN,NaN,NaN,NaN,13.97,0.24
12,1841,1,-1.415,7.431,-0.962,1.228,NaN,NaN,NaN,NaN,NaN,NaN,13.97,0.24
13,1841,2,-2.646,4.412,-0.913,1.210,NaN,NaN,NaN,NaN,NaN,NaN,13.97,0.24
14,1841,3,0.193,2.963,-0.798,1.347,-0.828,0.663,NaN,NaN,NaN,NaN,13.97,0.24
15,1841,4,-0.291,3.445,-0.613,1.197,-0.817,0.664,NaN,NaN,NaN,NaN,13.97,0.24
16,1841,5,2.274,6.154,-0.716,1.185,-0.782,0.638,NaN,NaN,NaN,NaN,13.97,0.24
17,1841,6,-0.015,4.972,-0.243,1.173,-0.708,0.628,NaN,NaN,NaN,NaN,13.97,0.24
18,1841,7,-0.651,3.509,-0.155,1.191,-0.713,0.602,NaN,NaN,NaN,NaN,13.97,0.24
19,1841,8,-0.728,2.902,-0.016,1.282,-0.728,0.598,NaN,NaN,NaN,NaN,13.97,0.24
20,1841,9,0.379,3.277,0.115,1.278,-0.684,0.582,NaN,NaN,NaN,NaN,13.97,0.24
21,1841,10,-0.184,2.972,0.081,1.242,-0.558,0.563,NaN,NaN,NaN,NaN,13.97,0.24
22,1841,11,-1.399,2.978,-0.107,1.236,-0.535,0.543,NaN,NaN,NaN,NaN,13.97,0.24
23,1841,12,1.573,5.116,-0.202,1.202,-0.590,0.518,NaN,NaN,NaN,NaN,13.97,0.24
