,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1859,11,-0.083,0.790,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
1,1859,12,-0.147,0.995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
2,1860,1,-0.913,0.901,-0.345,0.419,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
3,1860,2,-0.519,0.694,-0.312,0.443,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
4,1860,3,-1.100,1.324,-0.269,0.431,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
5,1860,4,-0.483,0.816,-0.289,0.475,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
6,1860,5,0.163,1.278,-0.351,0.570,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
7,1860,6,0.247,0.695,-0.437,0.722,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
8,1860,7,0.168,1.272,-0.460,0.848,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
9,1860,8,-0.020,1.325,-0.541,0.920,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
10,1860,9,-0.108,0.937,-0.537,0.927,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
11,1860,10,-0.670,1.208,-0.542,0.954,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
12,1860,11,-0.835,1.566,-0.578,1.022,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
13,1860,12,-1.171,1.960,-0.597,1.033,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
14,1861,1,-1.190,2.112,-0.636,0.989,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
15,1861,2,-1.495,1.484,-0.654,0.911,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
16,1861,3,-1.056,1.473,-0.671,0.876,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
17,1861,4,-0.536,1.265,-0.698,0.862,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
18,1861,5,-0.265,1.284,-0.659,0.775,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
19,1861,6,0.017,0.757,-0.604,0.671,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
20,1861,7,-0.306,0.729,-0.692,0.592,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
21,1861,8,-0.231,0.713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
22,1861,9,-0.318,0.858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
23,1861,10,-0.987,1.009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
24,1861,11,-0.374,0.856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
25,1861,12,-0.501,1.284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
26,1862,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
27,1862,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
28,1862,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
29,1862,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
30,1862,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
31,1862,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
32,1862,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
33,1862,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
34,1862,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
35,1862,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
36,1862,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
37,1862,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
38,1863,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
39,1863,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
40,1863,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
41,1863,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
42,1863,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
43,1863,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
44,1863,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
45,1863,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
46,1863,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
47,1863,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
48,1863,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
49,1863,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
50,1864,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
51,1864,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
52,1864,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
53,1864,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.90,0.47
