,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1857,3,-1.312,2.137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.10,0.50
1,1857,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.10,0.50
2,1857,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.10,0.50
3,1857,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.10,0.50
4,1857,7,-0.795,1.734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.10,0.50
5,1857,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.10,0.50
6,1857,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.10,0.50
7,1857,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.10,0.50
8,1857,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.10,0.50
9,1857,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.10,0.50
10,1858,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.10,0.50
11,1858,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.10,0.50
12,1858,3,-0.576,2.517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.10,0.50
13,1858,4,0.800,1.895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.10,0.50
14,1858,5,0.251,1.819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.10,0.50
15,1858,6,0.408,2.013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.10,0.50
