,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1853,1,-0.285,1.526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.21,0.42
1,1853,2,-0.947,1.302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.21,0.42
2,1853,3,-1.090,1.447,-0.676,0.766,NaN,NaN,NaN,NaN,NaN,NaN,18.21,0.42
3,1853,4,-0.873,1.315,-0.724,0.851,NaN,NaN,NaN,NaN,NaN,NaN,18.21,0.42
4,1853,5,-1.133,1.142,-0.769,0.752,NaN,NaN,NaN,NaN,NaN,NaN,18.21,0.42
5,1853,6,-0.666,1.369,-1.020,0.741,NaN,NaN,NaN,NaN,NaN,NaN,18.21,0.42
6,1853,7,-1.467,1.725,-1.052,0.730,NaN,NaN,NaN,NaN,NaN,NaN,18.21,0.42
7,1853,8,-0.797,1.152,-1.081,0.822,NaN,NaN,NaN,NaN,NaN,NaN,18.21,0.42
8,1853,9,-0.606,1.676,-1.054,0.834,NaN,NaN,NaN,NaN,NaN,NaN,18.21,0.42
9,1853,10,-1.655,2.749,-1.151,0.871,NaN,NaN,NaN,NaN,NaN,NaN,18.21,0.42
10,1853,11,-0.582,1.300,-1.163,0.969,NaN,NaN,NaN,NaN,NaN,NaN,18.21,0.42
11,1853,12,-2.138,1.349,-1.192,1.040,NaN,NaN,NaN,NaN,NaN,NaN,18.21,0.42
12,1854,1,-0.675,1.274,-1.120,0.956,NaN,NaN,NaN,NaN,NaN,NaN,18.21,0.42
13,1854,2,-1.292,2.321,-1.125,1.001,NaN,NaN,NaN,NaN,NaN,NaN,18.21,0.42
14,1854,3,-0.763,1.707,-1.154,1.028,NaN,NaN,NaN,NaN,NaN,NaN,18.21,0.42
15,1854,4,-2.036,1.556,-1.091,0.890,-1.145,0.752,NaN,NaN,NaN,NaN,18.21,0.42
16,1854,5,-1.274,2.071,-1.228,0.889,-1.148,0.724,NaN,NaN,NaN,NaN,18.21,0.42
17,1854,6,-1.020,1.330,-1.187,0.966,-1.148,0.701,NaN,NaN,NaN,NaN,18.21,0.42
18,1854,7,-0.598,1.194,-1.171,0.914,-1.188,0.719,NaN,NaN,NaN,NaN,18.21,0.42
19,1854,8,-0.864,1.594,-1.226,0.984,-1.178,0.680,NaN,NaN,NaN,NaN,18.21,0.42
20,1854,9,-0.951,1.952,-1.261,1.027,-1.153,0.667,NaN,NaN,NaN,NaN,18.21,0.42
21,1854,10,NaN,NaN,-1.215,1.000,-1.142,0.670,NaN,NaN,NaN,NaN,18.21,0.42
22,1854,11,-2.226,1.179,-1.198,0.894,-1.155,0.656,NaN,NaN,NaN,NaN,18.21,0.42
23,1854,12,-1.646,2.105,-1.227,0.854,-1.169,0.648,NaN,NaN,NaN,NaN,18.21,0.42
24,1855,1,-0.484,1.228,-1.258,0.798,-1.172,0.626,NaN,NaN,NaN,NaN,18.21,0.42
25,1855,2,-1.960,3.537,-1.289,0.810,-1.181,0.621,NaN,NaN,NaN,NaN,18.21,0.42
26,1855,3,-1.180,1.517,-1.291,0.704,-1.194,0.604,NaN,NaN,NaN,NaN,18.21,0.42
27,1855,4,-1.486,1.113,-1.353,0.791,-1.193,0.607,NaN,NaN,NaN,NaN,18.21,0.42
28,1855,5,-1.071,1.112,-1.276,0.789,-1.213,0.609,NaN,NaN,NaN,NaN,18.21,0.42
29,1855,6,-1.366,1.078,-1.277,0.686,-1.227,0.630,NaN,NaN,NaN,NaN,18.21,0.42
30,1855,7,-0.962,1.390,-1.336,0.823,-1.229,0.614,NaN,NaN,NaN,NaN,18.21,0.42
31,1855,8,-1.243,1.779,-1.271,0.767,-1.228,0.621,NaN,NaN,NaN,NaN,18.21,0.42
32,1855,9,-0.970,1.181,-1.301,0.771,-1.229,0.618,-1.026,0.514,NaN,NaN,18.21,0.42
33,1855,10,-1.644,1.926,-1.295,0.729,-1.234,0.617,-1.018,0.507,NaN,NaN,18.21,0.42
34,1855,11,-1.305,1.308,-1.340,0.731,-1.245,0.621,-1.016,0.502,NaN,NaN,18.21,0.42
35,1855,12,-1.654,1.407,-1.306,0.707,-1.249,0.624,-1.008,0.500,NaN,NaN,18.21,0.42
36,1856,1,-1.193,2.410,-1.360,0.737,-1.243,0.611,-1.007,0.507,NaN,NaN,18.21,0.42
37,1856,2,-1.172,2.516,-1.385,0.728,-1.248,0.605,-1.023,0.517,NaN,NaN,18.21,0.42
38,1856,3,-1.542,1.533,-1.416,0.817,-1.252,0.594,-1.028,0.517,NaN,NaN,18.21,0.42
39,1856,4,-1.421,1.714,-1.442,0.793,-1.236,0.559,-1.037,0.513,NaN,NaN,18.21,0.42
40,1856,5,-1.609,1.513,-1.527,0.744,-1.255,0.582,-1.036,0.509,NaN,NaN,18.21,0.42
41,1856,6,-0.961,1.158,-1.536,0.774,-1.237,0.588,-1.031,0.507,NaN,NaN,18.21,0.42
42,1856,7,-1.606,1.184,-1.637,0.846,-1.234,0.582,-1.029,0.502,NaN,NaN,18.21,0.42
43,1856,8,-1.542,1.588,-1.477,0.655,-1.204,0.541,-1.021,0.499,NaN,NaN,18.21,0.42
44,1856,9,-1.345,1.698,-1.387,0.648,-1.194,0.514,-1.017,0.495,NaN,NaN,18.21,0.42
45,1856,10,-1.957,1.566,-1.394,0.641,-1.180,0.500,-1.019,0.495,NaN,NaN,18.21,0.42
46,1856,11,-2.319,1.959,-1.412,0.593,-1.160,0.481,-1.000,0.497,NaN,NaN,18.21,0.42
47,1856,12,-1.759,1.255,-1.483,0.604,-1.150,0.479,-0.987,0.493,NaN,NaN,18.21,0.42
48,1857,1,-2.416,3.615,-1.445,0.599,-1.149,0.474,-0.998,0.485,NaN,NaN,18.21,0.42
49,1857,2,0.748,2.594,-1.424,0.573,-1.140,0.460,-1.015,0.481,NaN,NaN,18.21,0.42
50,1857,3,-0.453,1.211,-1.431,0.542,-1.142,0.445,-1.008,0.477,NaN,NaN,18.21,0.42
51,1857,4,-1.508,1.215,-1.357,0.527,-1.141,0.442,-0.995,0.478,NaN,NaN,18.21,0.42
52,1857,5,-1.828,1.087,-1.264,0.592,-1.119,0.441,-0.987,0.474,NaN,NaN,18.21,0.42
53,1857,6,-1.815,1.219,-1.114,0.651,-1.123,0.451,-0.988,0.472,NaN,NaN,18.21,0.42
54,1857,7,-1.145,1.794,-0.950,0.649,-1.110,0.467,-0.976,0.467,NaN,NaN,18.21,0.42
55,1857,8,-1.296,1.237,-1.083,0.630,-1.082,0.443,-0.972,0.464,NaN,NaN,18.21,0.42
56,1857,9,-1.422,1.329,-1.143,0.623,-1.066,0.426,-0.969,0.456,NaN,NaN,18.21,0.42
57,1857,10,-1.076,1.320,-1.114,0.612,-1.058,0.422,-0.965,0.455,NaN,NaN,18.21,0.42
58,1857,11,NaN,NaN,-1.112,0.626,-1.056,0.411,-0.969,0.449,NaN,NaN,18.21,0.42
59,1857,12,NaN,NaN,-1.037,0.602,-1.047,0.408,-0.975,0.447,NaN,NaN,18.21,0.42
60,1858,1,-0.449,1.783,-1.031,0.609,-1.050,0.412,-0.964,0.433,NaN,NaN,18.21,0.42
61,1858,2,-0.847,1.994,-1.017,0.565,-1.040,0.409,-0.949,0.435,NaN,NaN,18.21,0.42
62,1858,3,-1.179,1.040,-0.969,0.563,-1.042,0.411,-0.941,0.436,NaN,NaN,18.21,0.42
63,1858,4,-1.155,1.382,-0.936,0.523,-1.032,0.409,-0.942,0.431,NaN,NaN,18.21,0.42
64,1858,5,-1.808,1.182,-0.980,0.532,-1.021,0.410,-0.934,0.423,NaN,NaN,18.21,0.42
65,1858,6,-0.916,0.968,-1.070,0.509,-1.000,0.416,-0.928,0.420,NaN,NaN,18.21,0.42
66,1858,7,-1.076,0.911,-1.078,0.579,-0.974,0.428,-0.918,0.418,NaN,NaN,18.21,0.42
67,1858,8,-1.128,1.002,-0.964,0.557,-0.969,0.432,-0.915,0.415,NaN,NaN,18.21,0.42
68,1858,9,-0.840,1.348,-0.879,0.551,-0.957,0.424,-0.917,0.412,NaN,NaN,18.21,0.42
69,1858,10,-0.681,1.555,-0.880,0.662,-0.958,0.417,-0.908,0.409,NaN,NaN,18.21,0.42
70,1858,11,-1.732,2.325,-0.740,0.828,-0.954,0.403,-0.912,0.406,NaN,NaN,18.21,0.42
71,1858,12,-1.029,1.456,-0.698,0.848,-0.951,0.414,-0.903,0.409,-0.837,0.381,18.21,0.42
72,1859,1,-0.542,1.082,-0.650,0.858,-0.940,0.421,-0.905,0.404,-0.834,0.380,18.21,0.42
73,1859,2,0.512,2.883,-0.587,0.859,-0.924,0.423,-0.906,0.386,-0.834,0.380,18.21,0.42
74,1859,3,-0.159,2.656,-0.604,0.856,-0.911,0.425,-0.908,0.378,-0.836,0.380,18.21,0.42
75,1859,4,-1.166,2.799,-0.614,0.734,-0.893,0.425,-0.898,0.379,-0.833,0.378,18.21,0.42
76,1859,5,-0.119,2.811,-0.549,0.851,-0.853,0.430,-0.896,0.377,-0.831,0.377,18.21,0.42
77,1859,6,-0.419,1.062,-0.617,0.758,-0.826,0.447,-0.888,0.376,-0.829,0.376,18.21,0.42
78,1859,7,-0.492,1.270,-0.548,0.814,-0.808,0.445,-0.891,0.376,-0.823,0.375,18.21,0.42
79,1859,8,-0.371,0.954,-0.614,0.653,-0.852,0.446,-0.891,0.373,-0.819,0.376,18.21,0.42
80,1859,9,-1.053,1.030,-0.621,0.605,-0.864,0.445,-0.891,0.364,-0.817,0.374,18.21,0.42
81,1859,10,-0.796,1.400,-0.608,0.513,-0.848,0.440,-0.888,0.366,-0.820,0.374,18.21,0.42
82,1859,11,-0.951,0.917,-0.676,0.426,-0.818,0.443,-0.877,0.364,-0.827,0.373,18.21,0.42
83,1859,12,-1.844,2.704,-0.710,0.398,-0.806,0.448,-0.867,0.378,-0.827,0.374,18.21,0.42
84,1860,1,0.281,1.971,-0.762,0.418,-0.780,0.443,-0.872,0.374,-0.829,0.371,18.21,0.42
85,1860,2,-0.276,1.230,-0.788,0.453,-0.762,0.450,-0.856,0.388,-0.834,0.370,18.21,0.42
86,1860,3,-0.243,1.461,-0.790,0.482,-0.744,0.456,-0.843,0.398,-0.831,0.370,18.21,0.42
87,1860,4,-1.016,0.940,-0.810,0.505,-0.737,0.460,-0.833,0.400,-0.827,0.367,18.21,0.42
88,1860,5,-0.933,1.674,-0.787,0.486,-0.724,0.462,-0.831,0.397,-0.821,0.366,18.21,0.42
89,1860,6,-0.831,1.277,-0.664,0.499,-0.723,0.444,-0.818,0.400,-0.817,0.364,18.21,0.42
90,1860,7,-1.114,1.174,-0.656,0.572,-0.698,0.440,-0.812,0.391,-0.813,0.363,18.21,0.42
91,1860,8,-0.683,1.126,-0.708,0.558,-0.671,0.454,-0.805,0.396,-0.811,0.362,18.21,0.42
92,1860,9,-1.076,1.274,-0.753,0.515,-0.652,0.459,-0.802,0.393,-0.807,0.362,18.21,0.42
93,1860,10,-1.028,1.223,-0.792,0.482,-0.651,0.469,-0.789,0.402,-0.803,0.363,18.21,0.42
94,1860,11,-0.685,0.877,-0.832,0.514,-0.622,0.477,-0.776,0.409,-0.802,0.362,18.21,0.42
95,1860,12,-0.363,1.595,-0.827,0.577,-0.607,0.492,-0.764,0.412,-0.802,0.361,18.21,0.42
96,1861,1,0.381,3.124,-0.811,0.609,-0.593,0.502,-0.753,0.423,-0.805,0.360,18.21,0.42
97,1861,2,-0.906,1.311,-0.805,0.610,-0.581,0.504,-0.737,0.438,-0.812,0.358,18.21,0.42
98,1861,3,-0.787,2.013,-0.761,0.626,-0.583,0.508,-0.730,0.442,-0.816,0.355,18.21,0.42
99,1861,4,-1.482,1.200,-0.750,0.611,-0.581,0.505,-0.722,0.433,-0.817,0.352,18.21,0.42
100,1861,5,-1.413,1.416,-0.682,0.687,-0.568,0.533,-0.715,0.429,-0.815,0.351,18.21,0.42
101,1861,6,-0.771,1.556,-0.666,0.719,-0.570,0.544,-0.709,0.426,-0.810,0.354,18.21,0.42
102,1861,7,-0.916,1.600,-0.811,0.655,-0.575,0.554,-0.700,0.421,-0.809,0.354,18.21,0.42
103,1861,8,-0.617,1.118,-0.892,0.736,-0.608,0.509,-0.695,0.424,-0.804,0.355,18.21,0.42
104,1861,9,-0.549,1.045,-0.921,0.703,-0.621,0.486,-0.689,0.432,-0.805,0.354,18.21,0.42
105,1861,10,-0.889,1.055,-0.844,0.694,-0.617,0.467,-0.679,0.438,-0.806,0.355,18.21,0.42
106,1861,11,0.127,1.585,-0.728,0.696,-0.632,0.449,-0.667,0.430,-0.802,0.355,18.21,0.42
107,1861,12,-0.176,1.575,-0.758,0.733,-0.626,0.449,-0.669,0.439,-0.803,0.357,18.21,0.42
108,1862,1,-1.349,1.181,NaN,NaN,-0.634,0.443,-0.659,0.462,-0.806,0.361,18.21,0.42
109,1862,2,-1.885,2.333,NaN,NaN,-0.642,0.451,-0.664,0.451,-0.813,0.360,18.21,0.42
110,1862,3,-1.134,1.216,NaN,NaN,-0.639,0.440,-0.665,0.459,-0.813,0.361,18.21,0.42
111,1862,4,NaN,NaN,NaN,NaN,-0.635,0.477,-0.660,0.456,-0.809,0.361,18.21,0.42
112,1862,5,NaN,NaN,NaN,NaN,-0.634,0.494,-0.651,0.459,-0.806,0.361,18.21,0.42
113,1862,6,NaN,NaN,NaN,NaN,-0.612,0.543,-0.635,0.458,-0.803,0.361,18.21,0.42
114,1862,7,NaN,NaN,NaN,NaN,-0.635,0.565,-0.629,0.455,-0.801,0.362,18.21,0.42
115,1862,8,NaN,NaN,NaN,NaN,-0.630,0.591,-0.625,0.458,-0.800,0.362,18.21,0.42
116,1862,9,NaN,NaN,NaN,NaN,-0.619,0.603,-0.619,0.464,-0.800,0.363,18.21,0.42
117,1862,10,NaN,NaN,NaN,NaN,-0.607,0.607,-0.609,0.473,-0.798,0.366,18.21,0.42
118,1862,11,NaN,NaN,NaN,NaN,-0.605,0.582,-0.614,0.484,-0.801,0.367,18.21,0.42
119,1862,12,NaN,NaN,NaN,NaN,-0.589,0.570,-0.631,0.477,-0.811,0.367,18.21,0.42
120,1863,1,1.065,3.607,NaN,NaN,-0.573,0.560,-0.630,0.471,-0.814,0.371,18.21,0.42
121,1863,2,0.783,1.213,NaN,NaN,-0.570,0.566,-0.626,0.482,-0.816,0.372,18.21,0.42
122,1863,3,-0.070,1.589,-0.162,1.104,-0.562,0.570,-0.618,0.483,-0.817,0.373,18.21,0.42
123,1863,4,-1.041,1.327,-0.156,1.075,-0.546,0.575,-0.620,0.487,-0.823,0.374,18.21,0.42
124,1863,5,-0.111,1.870,-0.198,1.116,-0.530,0.592,-0.612,0.490,-0.825,0.377,18.21,0.42
125,1863,6,0.023,1.799,-0.305,1.131,-0.529,0.616,-0.607,0.493,-0.826,0.376,18.21,0.42
