,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1814,1,-1.298,2.316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
1,1814,2,-5.845,2.202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
2,1814,3,-2.735,2.031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
3,1814,4,1.125,2.138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
4,1814,5,-3.008,2.090,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
5,1814,6,-1.965,2.762,-1.785,1.018,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
6,1814,7,-0.448,2.007,-1.835,0.994,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
7,1814,8,-1.472,2.123,-1.248,0.971,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
8,1814,9,-4.277,2.092,-0.866,0.961,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
9,1814,10,-2.417,1.944,-0.918,0.950,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
10,1814,11,-0.165,2.111,-0.591,0.959,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
11,1814,12,1.091,1.967,-0.510,0.889,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
12,1815,1,-1.905,2.092,-0.686,0.916,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
13,1815,2,1.199,2.032,-0.853,0.873,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
14,1815,3,1.853,2.003,-0.662,0.918,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
15,1815,4,0.503,2.057,-0.483,0.949,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
16,1815,5,0.915,2.144,-0.681,0.927,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
17,1815,6,-1.002,2.060,-1.040,0.917,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
18,1815,7,-2.559,2.194,-0.826,0.921,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
19,1815,8,-3.469,1.940,-1.131,0.936,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
20,1815,9,-1.982,1.971,-1.436,0.924,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
21,1815,10,-0.272,2.112,-1.500,0.945,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
22,1815,11,-2.544,1.985,-1.683,0.977,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
23,1815,12,-3.212,1.977,-1.749,1.053,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
24,1816,1,0.662,2.158,-1.653,1.111,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
25,1816,2,-2.461,2.114,-1.628,1.151,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
26,1816,3,-1.805,1.961,-1.564,1.243,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
27,1816,4,-0.273,2.220,-1.593,1.310,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
28,1816,5,-1.280,2.424,-1.488,1.415,NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.60
29,1816,6,-1.795,2.720,-1.410,1.417,-0.956,1.150,NaN,NaN,NaN,NaN,16.13,0.60
30,1816,7,-1.399,2.742,-1.309,1.425,-0.950,1.128,NaN,NaN,NaN,NaN,16.13,0.60
31,1816,8,-3.169,2.107,-0.901,1.426,-0.860,1.097,NaN,NaN,NaN,NaN,16.13,0.60
32,1816,9,-1.219,2.487,-0.742,1.498,-0.796,1.110,NaN,NaN,NaN,NaN,16.13,0.60
33,1816,10,-0.617,2.676,-1.129,1.480,-0.811,1.062,NaN,NaN,NaN,NaN,16.13,0.60
34,1816,11,-1.284,2.757,-1.063,1.511,-0.741,NaN,NaN,NaN,NaN,NaN,16.13,0.60
35,1816,12,-2.277,1.994,-0.802,1.509,-0.671,NaN,NaN,NaN,NaN,NaN,16.13,0.60
36,1817,1,1.872,2.205,-0.690,1.529,-0.656,NaN,NaN,NaN,NaN,NaN,16.13,0.60
37,1817,2,2.438,2.122,-0.450,1.646,-0.640,NaN,NaN,NaN,NaN,NaN,16.13,0.60
38,1817,3,0.095,2.366,-0.307,1.600,-0.578,NaN,NaN,NaN,NaN,NaN,16.13,0.60
