,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1814,1,-0.362,2.413,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.60,0.84
1,1814,2,-4.795,2.670,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.60,0.84
2,1814,3,-0.578,2.236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.60,0.84
3,1814,4,2.535,1.766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.60,0.84
4,1814,5,-0.830,1.652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.60,0.84
5,1814,6,0.532,1.750,0.187,1.118,NaN,NaN,NaN,NaN,NaN,NaN,5.60,0.84
6,1814,7,1.826,1.717,0.165,1.083,NaN,NaN,NaN,NaN,NaN,NaN,5.60,0.84
7,1814,8,1.038,1.637,0.840,0.985,NaN,NaN,NaN,NaN,NaN,NaN,5.60,0.84
8,1814,9,-1.687,1.677,1.107,0.895,NaN,NaN,NaN,NaN,NaN,NaN,5.60,0.84
9,1814,10,-0.485,1.665,1.007,0.883,NaN,NaN,NaN,NaN,NaN,NaN,5.60,0.84
10,1814,11,2.165,2.372,1.319,0.905,NaN,NaN,NaN,NaN,NaN,NaN,5.60,0.84
11,1814,12,2.892,1.613,1.432,0.884,NaN,NaN,NaN,NaN,NaN,NaN,5.60,0.84
12,1815,1,-0.629,2.039,1.283,0.855,NaN,NaN,NaN,NaN,NaN,NaN,5.60,0.84
13,1815,2,3.300,1.750,1.230,0.863,NaN,NaN,NaN,NaN,NaN,NaN,5.60,0.84
14,1815,3,2.622,1.583,1.427,0.900,NaN,NaN,NaN,NaN,NaN,NaN,5.60,0.84
15,1815,4,1.340,1.684,1.656,0.955,NaN,NaN,NaN,NaN,NaN,NaN,5.60,0.84
16,1815,5,2.910,1.801,1.402,0.861,NaN,NaN,NaN,NaN,NaN,NaN,5.60,0.84
17,1815,6,1.899,1.606,0.962,0.868,NaN,NaN,NaN,NaN,NaN,NaN,5.60,0.84
18,1815,7,0.038,1.593,1.231,0.854,NaN,NaN,NaN,NaN,NaN,NaN,5.60,0.84
19,1815,8,0.393,1.690,0.810,0.824,NaN,NaN,NaN,NaN,NaN,NaN,5.60,0.84
20,1815,9,0.679,1.886,0.624,0.804,NaN,NaN,NaN,NaN,NaN,NaN,5.60,0.84
21,1815,10,2.266,2.115,0.551,0.803,NaN,NaN,NaN,NaN,NaN,NaN,5.60,0.84
