,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1887,1,-2.562,2.510,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.46,0.32
1,1887,2,1.548,3.506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.46,0.32
2,1887,3,1.112,2.913,-0.164,0.910,NaN,NaN,NaN,NaN,NaN,NaN,6.46,0.32
3,1887,4,0.715,2.158,-0.034,0.964,NaN,NaN,NaN,NaN,NaN,NaN,6.46,0.32
4,1887,5,0.321,2.010,0.140,1.069,NaN,NaN,NaN,NaN,NaN,NaN,6.46,0.32
5,1887,6,-2.079,2.679,0.274,1.208,NaN,NaN,NaN,NaN,NaN,NaN,6.46,0.32
6,1887,7,1.584,2.678,0.436,1.399,NaN,NaN,NaN,NaN,NaN,NaN,6.46,0.32
7,1887,8,-0.733,2.086,0.165,1.092,NaN,NaN,NaN,NaN,NaN,NaN,6.46,0.32
8,1887,9,-0.444,2.094,0.092,1.023,NaN,NaN,NaN,NaN,NaN,NaN,6.46,0.32
9,1887,10,1.094,3.498,-0.129,0.840,NaN,NaN,NaN,NaN,NaN,NaN,6.46,0.32
10,1887,11,1.663,3.477,-0.286,0.813,NaN,NaN,NaN,NaN,NaN,NaN,6.46,0.32
11,1887,12,1.067,3.503,-0.089,0.945,NaN,NaN,NaN,NaN,NaN,NaN,6.46,0.32
12,1888,1,-0.618,2.580,-0.202,0.853,NaN,NaN,NaN,NaN,NaN,NaN,6.46,0.32
13,1888,2,-1.699,2.656,-0.038,0.944,NaN,NaN,NaN,NaN,NaN,NaN,6.46,0.32
14,1888,3,0.235,2.200,0.017,0.949,-0.326,0.469,NaN,NaN,NaN,NaN,6.46,0.32
15,1888,4,-1.942,3.878,-0.170,0.818,-0.308,0.464,NaN,NaN,NaN,NaN,6.46,0.32
16,1888,5,-1.565,2.737,-0.301,0.785,-0.295,0.457,NaN,NaN,NaN,NaN,6.46,0.32
17,1888,6,0.283,2.610,-0.269,0.783,-0.291,0.449,NaN,NaN,NaN,NaN,6.46,0.32
18,1888,7,0.238,2.010,-0.495,0.937,-0.268,0.440,NaN,NaN,NaN,NaN,6.46,0.32
19,1888,8,1.229,2.484,-0.266,0.832,-0.240,0.430,NaN,NaN,NaN,NaN,6.46,0.32
20,1888,9,0.222,1.936,-0.321,0.926,-0.238,0.424,NaN,NaN,NaN,NaN,6.46,0.32
21,1888,10,-1.155,2.271,-0.197,0.836,-0.251,0.419,NaN,NaN,NaN,NaN,6.46,0.32
22,1888,11,0.091,1.976,-0.155,0.808,-0.268,0.416,NaN,NaN,NaN,NaN,6.46,0.32
