,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1884,1,-0.604,3.040,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
1,1884,2,-0.616,2.198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
2,1884,3,-2.291,2.488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
3,1884,4,-2.798,2.550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
4,1884,5,-0.230,2.289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
5,1884,6,-1.603,2.225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
6,1884,7,-0.566,2.125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
7,1884,8,-1.029,2.076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
8,1884,9,-0.623,2.128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
9,1884,10,-0.863,2.337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
10,1884,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
11,1884,12,-0.362,2.289,-1.088,0.805,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
12,1885,1,-2.598,2.108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
13,1885,2,-0.401,2.415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
14,1885,3,-1.256,2.249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
15,1885,4,-1.072,2.283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
16,1885,5,-1.554,2.293,-1.359,0.861,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
17,1885,6,-1.002,2.166,-1.210,0.801,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
18,1885,7,-1.207,2.140,-1.039,0.782,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
19,1885,8,-1.612,2.522,-1.122,0.826,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
20,1885,9,-0.766,2.177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
21,1885,10,-1.846,2.366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
22,1885,11,-2.627,2.923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
23,1885,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
24,1886,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
25,1886,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
26,1886,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
27,1886,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.37,0.32
28,1886,5,NaN,NaN,NaN,NaN,-1.111,0.427,NaN,NaN,NaN,NaN,-7.37,0.32
29,1886,6,NaN,NaN,NaN,NaN,-1.096,0.418,NaN,NaN,NaN,NaN,-7.37,0.32
30,1886,7,NaN,NaN,NaN,NaN,-1.170,0.433,NaN,NaN,NaN,NaN,-7.37,0.32
31,1886,8,NaN,NaN,NaN,NaN,-1.174,0.457,NaN,NaN,NaN,NaN,-7.37,0.32
32,1886,9,NaN,NaN,NaN,NaN,-1.163,0.479,NaN,NaN,NaN,NaN,-7.37,0.32
33,1886,10,NaN,NaN,NaN,NaN,-1.139,0.491,NaN,NaN,NaN,NaN,-7.37,0.32
34,1886,11,NaN,NaN,NaN,NaN,-1.151,0.492,NaN,NaN,NaN,NaN,-7.37,0.32
35,1886,12,NaN,NaN,NaN,NaN,-1.131,0.489,NaN,NaN,NaN,NaN,-7.37,0.32
36,1887,1,-5.129,3.462,NaN,NaN,-1.119,0.485,NaN,NaN,NaN,NaN,-7.37,0.32
37,1887,2,0.430,1.611,NaN,NaN,-1.113,0.479,NaN,NaN,NaN,NaN,-7.37,0.32
