,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1889,1,-0.278,1.025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.56,0.24
1,1889,2,0.513,1.269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.56,0.24
2,1889,3,-0.155,0.821,0.022,0.405,NaN,NaN,NaN,NaN,NaN,NaN,23.56,0.24
3,1889,4,0.396,0.796,-0.063,0.385,NaN,NaN,NaN,NaN,NaN,NaN,23.56,0.24
4,1889,5,0.524,0.959,-0.096,0.396,NaN,NaN,NaN,NaN,NaN,NaN,23.56,0.24
5,1889,6,0.181,0.777,-0.074,0.386,NaN,NaN,NaN,NaN,NaN,NaN,23.56,0.24
6,1889,7,0.138,0.776,-0.084,0.373,NaN,NaN,NaN,NaN,NaN,NaN,23.56,0.24
7,1889,8,-0.535,0.820,-0.164,0.361,NaN,NaN,NaN,NaN,NaN,NaN,23.56,0.24
8,1889,9,-0.184,0.792,-0.224,0.366,NaN,NaN,NaN,NaN,NaN,NaN,23.56,0.24
9,1889,10,-0.983,0.943,-0.343,0.365,NaN,NaN,NaN,NaN,NaN,NaN,23.56,0.24
10,1889,11,-0.478,0.880,-0.477,0.393,NaN,NaN,NaN,NaN,NaN,NaN,23.56,0.24
11,1889,12,-0.022,0.812,-0.523,0.387,NaN,NaN,NaN,NaN,NaN,NaN,23.56,0.24
12,1890,1,-0.405,0.985,-0.572,0.399,NaN,NaN,NaN,NaN,NaN,NaN,23.56,0.24
13,1890,2,-0.447,1.122,-0.561,0.422,NaN,NaN,NaN,NaN,NaN,NaN,23.56,0.24
14,1890,3,-0.879,0.788,-0.564,0.434,NaN,NaN,NaN,NaN,NaN,NaN,23.56,0.24
15,1890,4,-1.023,0.800,-0.596,0.473,NaN,NaN,NaN,NaN,NaN,NaN,23.56,0.24
16,1890,5,NaN,NaN,-0.659,0.542,-0.466,0.222,NaN,NaN,NaN,NaN,23.56,0.24
17,1890,6,NaN,NaN,-0.778,0.612,-0.459,0.229,NaN,NaN,NaN,NaN,23.56,0.24
18,1890,7,-0.455,1.083,-0.859,0.646,-0.455,0.241,NaN,NaN,NaN,NaN,23.56,0.24
19,1890,8,-0.403,0.975,-0.912,0.615,-0.455,0.251,NaN,NaN,NaN,NaN,23.56,0.24
20,1890,9,-0.222,1.050,-0.942,0.629,-0.451,0.247,NaN,NaN,NaN,NaN,23.56,0.24
21,1890,10,-1.368,1.412,-0.888,0.612,-0.452,0.248,NaN,NaN,NaN,NaN,23.56,0.24
22,1890,11,-1.228,1.304,-0.841,0.597,-0.461,0.248,NaN,NaN,NaN,NaN,23.56,0.24
23,1890,12,-1.455,1.453,-0.822,0.573,-0.467,0.251,NaN,NaN,NaN,NaN,23.56,0.24
24,1891,1,-1.375,0.873,-0.793,0.534,-0.474,0.253,NaN,NaN,NaN,NaN,23.56,0.24
25,1891,2,-1.075,0.797,-0.831,0.533,-0.473,0.276,NaN,NaN,NaN,NaN,23.56,0.24
26,1891,3,-1.246,0.956,-0.852,0.498,-0.466,0.289,NaN,NaN,NaN,NaN,23.56,0.24
27,1891,4,-0.374,0.772,-0.817,0.438,-0.483,0.288,NaN,NaN,NaN,NaN,23.56,0.24
28,1891,5,-0.520,0.774,-0.790,0.414,-0.487,0.293,NaN,NaN,NaN,NaN,23.56,0.24
29,1891,6,-0.141,0.963,-0.722,0.375,-0.492,0.287,NaN,NaN,NaN,NaN,23.56,0.24
30,1891,7,-0.103,0.937,-0.654,0.367,-0.507,0.287,NaN,NaN,NaN,NaN,23.56,0.24
31,1891,8,-0.863,0.893,-0.649,0.359,-0.527,0.292,-0.479,0.194,NaN,NaN,23.56,0.24
32,1891,9,-0.478,0.766,-0.558,0.359,-0.526,0.288,-0.475,0.191,NaN,NaN,23.56,0.24
33,1891,10,-0.952,0.777,-0.557,0.372,-0.555,0.287,-0.471,0.191,NaN,NaN,23.56,0.24
34,1891,11,-0.897,0.791,-0.523,0.419,-0.571,0.293,-0.470,0.187,NaN,NaN,23.56,0.24
35,1891,12,-0.641,1.085,-0.487,0.483,-0.577,0.299,-0.467,0.186,NaN,NaN,23.56,0.24
36,1892,1,-0.554,1.547,-0.477,0.527,-0.578,0.305,-0.465,0.188,NaN,NaN,23.56,0.24
37,1892,2,-1.023,0.580,-0.455,0.476,-0.571,0.298,-0.463,0.191,NaN,NaN,23.56,0.24
38,1892,3,-0.148,1.110,-0.395,0.595,-0.576,0.298,-0.455,0.190,NaN,NaN,23.56,0.24
39,1892,4,-0.366,0.803,-0.328,0.646,-0.560,0.294,-0.454,0.189,NaN,NaN,23.56,0.24
40,1892,5,-0.105,1.057,-0.263,0.726,-0.553,0.295,-0.451,0.187,NaN,NaN,23.56,0.24
41,1892,6,0.285,1.207,-0.251,0.777,-0.575,0.286,-0.446,0.183,NaN,NaN,23.56,0.24
42,1892,7,0.017,1.081,-0.280,0.796,-0.589,0.292,-0.436,0.179,NaN,NaN,23.56,0.24
43,1892,8,-0.598,0.778,-0.285,0.847,-0.599,0.298,-0.428,0.179,NaN,NaN,23.56,0.24
44,1892,9,0.245,1.947,-0.328,0.780,-0.589,0.303,-0.421,0.174,NaN,NaN,23.56,0.24
45,1892,10,-0.153,1.075,-0.344,0.750,-0.573,0.302,-0.410,0.172,NaN,NaN,23.56,0.24
46,1892,11,-0.112,1.167,-0.435,0.689,-0.561,0.309,-0.396,0.172,NaN,NaN,23.56,0.24
47,1892,12,-0.497,1.196,-0.509,0.639,-0.563,0.307,-0.399,0.173,NaN,NaN,23.56,0.24
48,1893,1,-0.900,1.341,-0.555,0.581,-0.544,0.311,-0.388,0.176,NaN,NaN,23.56,0.24
49,1893,2,-1.083,0.877,-0.498,0.717,-0.534,0.317,-0.390,0.177,NaN,NaN,23.56,0.24
50,1893,3,-0.671,0.748,-0.543,0.676,-0.538,0.319,-0.384,0.180,NaN,NaN,23.56,0.24
51,1893,4,-0.557,0.716,-0.609,0.612,-0.519,0.324,-0.385,0.180,NaN,NaN,23.56,0.24
52,1893,5,-1.197,0.579,-0.627,0.563,-0.497,0.330,-0.381,0.180,NaN,NaN,23.56,0.24
53,1893,6,-0.602,0.889,-0.637,0.503,-0.479,0.337,-0.385,0.181,NaN,NaN,23.56,0.24
54,1893,7,-0.528,0.770,-0.658,0.468,-0.466,0.333,-0.392,0.179,NaN,NaN,23.56,0.24
55,1893,8,0.082,1.752,-0.624,0.437,-0.456,0.332,-0.408,0.179,NaN,NaN,23.56,0.24
56,1893,9,-0.296,1.217,-0.578,0.444,-0.428,0.334,-0.408,0.177,NaN,NaN,23.56,0.24
57,1893,10,-0.940,0.557,-0.645,0.434,-0.424,0.331,-0.411,0.178,NaN,NaN,23.56,0.24
58,1893,11,-0.328,0.615,-0.578,0.439,-0.422,0.326,-0.404,0.178,NaN,NaN,23.56,0.24
59,1893,12,-0.621,0.727,-0.545,0.443,-0.408,0.325,-0.403,0.175,NaN,NaN,23.56,0.24
60,1894,1,-1.151,0.628,-0.494,0.457,-0.403,0.318,-0.399,0.173,NaN,NaN,23.56,0.24
61,1894,2,-0.676,0.776,-0.511,0.389,-0.381,0.315,-0.410,0.173,-0.447,0.156,23.56,0.24
62,1894,3,-0.119,0.704,-0.528,0.381,-0.369,0.309,-0.413,0.171,-0.448,0.156,23.56,0.24
63,1894,4,-1.358,0.634,-0.451,0.388,-0.354,0.301,-0.421,0.168,-0.445,0.156,23.56,0.24
64,1894,5,-0.404,0.640,-0.425,0.420,-0.358,0.300,-0.441,0.168,-0.444,0.157,23.56,0.24
65,1894,6,-0.203,0.747,-0.487,0.424,-0.350,0.299,-0.454,0.168,-0.444,0.157,23.56,0.24
66,1894,7,0.082,0.666,-0.492,0.428,-0.361,0.294,-0.456,0.167,-0.443,0.155,23.56,0.24
67,1894,8,-0.123,0.717,-0.528,0.393,-0.360,0.298,-0.453,0.166,-0.443,0.155,23.56,0.24
68,1894,9,-0.493,0.713,-0.538,0.378,-0.359,0.293,-0.451,0.167,-0.447,0.155,23.56,0.24
69,1894,10,-0.018,0.639,-0.431,0.330,-0.364,0.286,-0.445,0.165,-0.447,0.155,23.56,0.24
70,1894,11,-0.013,0.702,-0.428,0.279,-0.372,0.274,-0.450,0.169,-0.445,0.155,23.56,0.24
71,1894,12,-1.371,1.284,-0.451,0.262,-0.380,0.257,-0.454,0.171,-0.451,0.156,23.56,0.24
72,1895,1,-1.213,0.800,-0.400,0.271,-0.367,0.243,-0.446,0.170,-0.446,0.157,23.56,0.24
73,1895,2,-1.098,0.636,-0.374,0.267,-0.354,0.238,-0.439,0.170,-0.446,0.157,23.56,0.24
74,1895,3,-0.244,0.705,-0.374,0.253,-0.355,0.216,-0.429,0.170,-0.447,0.154,23.56,0.24
75,1895,4,-0.073,0.556,-0.389,0.261,-0.341,0.208,-0.419,0.171,-0.444,0.151,23.56,0.24
76,1895,5,-0.364,0.663,-0.382,0.268,-0.326,0.201,-0.410,0.177,-0.443,0.150,23.56,0.24
77,1895,6,-0.478,0.569,-0.298,0.336,-0.339,0.198,-0.407,0.175,-0.438,0.145,23.56,0.24
78,1895,7,0.683,0.703,-0.246,0.327,-0.321,0.191,-0.402,0.176,-0.440,0.145,23.56,0.24
79,1895,8,0.199,0.651,-0.195,0.314,-0.324,0.185,-0.396,0.176,-0.439,0.143,23.56,0.24
80,1895,9,-0.499,0.668,-0.138,0.320,-0.316,0.186,-0.395,0.178,-0.434,0.141,23.56,0.24
81,1895,10,-0.199,0.788,-0.141,0.331,-0.319,0.177,-0.377,0.184,-0.430,0.141,23.56,0.24
82,1895,11,0.068,0.641,-0.148,0.334,-0.301,0.175,-0.367,0.194,-0.431,0.142,23.56,0.24
83,1895,12,-0.358,0.704,-0.047,0.328,-0.304,0.171,-0.356,0.203,-0.433,0.141,23.56,0.24
84,1896,1,-0.588,0.845,-0.088,0.301,-0.310,0.168,-0.343,0.205,-0.426,0.142,23.56,0.24
85,1896,2,-0.488,0.559,-0.067,0.282,-0.343,0.166,-0.338,0.204,-0.427,0.142,23.56,0.24
86,1896,3,0.442,0.885,-0.005,0.263,-0.350,0.164,-0.329,0.202,-0.426,0.141,23.56,0.24
87,1896,4,-0.114,0.833,0.009,0.256,-0.339,0.163,-0.328,0.203,-0.426,0.140,23.56,0.24
88,1896,5,-0.445,0.792,-0.093,0.253,-0.321,0.168,-0.329,0.205,-0.425,0.137,23.56,0.24
89,1896,6,0.740,0.611,-0.080,0.244,-0.313,0.167,-0.337,0.204,-0.425,0.136,23.56,0.24
90,1896,7,0.185,0.537,-0.131,0.230,-0.291,0.163,-0.339,0.201,-0.425,0.135,23.56,0.24
91,1896,8,0.451,0.635,-0.167,0.229,-0.293,0.158,-0.337,0.200,-0.425,0.135,23.56,0.24
92,1896,9,0.252,0.609,-0.211,0.227,-0.301,0.162,-0.342,0.199,-0.427,0.135,23.56,0.24
93,1896,10,-0.036,0.643,-0.259,0.218,-0.287,0.161,-0.347,0.200,-0.430,0.135,23.56,0.24
94,1896,11,-1.158,0.612,-0.269,0.219,-0.311,0.155,-0.341,0.200,-0.431,0.135,23.56,0.24
95,1896,12,-0.195,0.710,-0.348,0.217,-0.332,0.158,-0.339,0.199,-0.432,0.133,23.56,0.24
96,1897,1,-1.206,1.072,-0.296,0.228,-0.334,0.160,-0.336,0.200,-0.426,0.132,23.56,0.24
97,1897,2,-0.923,0.574,-0.321,0.230,-0.334,0.154,-0.332,0.201,-0.426,0.133,23.56,0.24
98,1897,3,-0.085,0.542,-0.323,0.215,-0.326,0.148,-0.338,0.199,-0.425,0.133,23.56,0.24
99,1897,4,-0.683,0.385,-0.264,0.211,-0.330,0.149,-0.333,0.198,-0.426,0.131,23.56,0.24
100,1897,5,-0.574,0.406,-0.102,0.199,-0.347,0.153,-0.337,0.196,-0.427,0.130,23.56,0.24
101,1897,6,-0.209,0.432,-0.193,0.208,-0.334,0.147,-0.339,0.194,-0.428,0.129,23.56,0.24
102,1897,7,0.816,0.700,-0.077,0.169,-0.304,0.142,-0.335,0.194,-0.433,0.131,23.56,0.24
103,1897,8,0.145,0.582,-0.105,0.181,-0.279,0.148,-0.323,0.192,-0.436,0.133,23.56,0.24
104,1897,9,0.229,0.583,-0.117,0.205,-0.268,0.154,-0.320,0.194,-0.438,0.132,23.56,0.24
105,1897,10,0.676,0.713,-0.118,0.236,-0.265,0.160,-0.331,0.193,-0.440,0.132,23.56,0.24
106,1897,11,0.780,0.650,-0.084,0.225,-0.259,0.173,-0.331,0.191,-0.440,0.133,23.56,0.24
107,1897,12,-1.284,0.752,-0.127,0.224,-0.251,0.182,-0.328,0.189,-0.438,0.133,23.56,0.24
108,1898,1,0.185,0.697,-0.270,0.214,-0.260,0.187,-0.323,0.188,-0.435,0.133,23.56,0.24
109,1898,2,-1.258,0.564,-0.442,0.228,-0.258,0.193,-0.316,0.186,-0.433,0.134,23.56,0.24
110,1898,3,-0.221,0.589,-0.518,0.274,-0.252,0.196,-0.312,0.183,-0.430,0.134,23.56,0.24
111,1898,4,-0.700,0.713,-0.598,0.271,-0.236,0.207,-0.307,0.178,-0.430,0.134,23.56,0.24
112,1898,5,-0.160,0.889,-0.603,0.255,-0.236,0.211,-0.291,0.178,-0.431,0.135,23.56,0.24
113,1898,6,-0.728,0.476,-0.508,0.250,-0.234,0.217,-0.283,0.179,-0.427,0.134,23.56,0.24
114,1898,7,-0.907,0.543,-0.506,0.279,-0.221,0.208,-0.280,0.178,-0.428,0.135,23.56,0.24
115,1898,8,-1.915,0.481,-0.469,0.271,-0.219,0.202,-0.278,0.181,-0.427,0.135,23.56,0.24
