,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1857,3,-1.942,2.668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
1,1857,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
2,1857,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
3,1857,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
4,1857,7,-0.068,2.666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
5,1857,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
6,1857,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
7,1857,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
8,1857,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
9,1857,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
10,1858,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
11,1858,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
12,1858,3,-1.205,3.170,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
13,1858,4,1.301,1.851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
14,1858,5,0.374,1.794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
15,1858,6,0.764,2.590,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
16,1858,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
17,1858,8,0.373,2.413,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
18,1858,9,1.088,1.739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
19,1858,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
20,1858,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
21,1858,12,-1.165,3.274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
22,1859,1,-1.554,3.076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
23,1859,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
24,1859,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
25,1859,4,2.200,2.355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
26,1859,5,2.284,2.408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
27,1859,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
28,1859,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
29,1859,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
30,1859,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
31,1859,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
32,1859,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
33,1859,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
34,1860,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
35,1860,2,-2.611,3.289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
36,1860,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
37,1860,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
38,1860,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
39,1860,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
40,1860,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
41,1860,8,-1.232,2.186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
42,1860,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.63,0.21
