,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1850,1,-0.686,1.646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
1,1850,2,0.200,1.499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
2,1850,3,-0.097,1.740,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
3,1850,4,0.051,2.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
4,1850,5,-0.604,2.032,-0.450,1.206,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
5,1850,6,-0.191,1.382,-0.465,1.368,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
6,1850,7,-0.819,1.299,-0.425,1.421,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
7,1850,8,-0.966,1.722,-0.443,1.407,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
8,1850,9,-0.993,2.756,-0.451,1.353,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
9,1850,10,-0.637,2.262,-0.407,1.280,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
10,1850,11,-0.763,1.796,-0.402,1.202,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
11,1850,12,-0.073,3.774,-0.437,1.278,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
12,1851,1,-0.213,1.402,-0.451,1.384,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
13,1851,2,-0.008,1.418,-0.456,1.402,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
14,1851,3,-0.194,1.338,-0.368,1.298,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
15,1851,4,0.583,1.512,-0.322,1.233,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
16,1851,5,-0.547,1.349,-0.321,1.231,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
17,1851,6,-0.609,2.081,-0.234,1.168,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
18,1851,7,-0.997,2.042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
19,1851,8,-1.023,1.848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
20,1851,9,0.067,3.253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
21,1851,10,-0.093,1.633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
22,1851,11,-0.752,1.791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
23,1851,12,0.979,2.727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
24,1852,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
25,1852,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
26,1852,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
27,1852,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
28,1852,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
29,1852,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
30,1852,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
31,1852,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
32,1852,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
33,1852,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
34,1852,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
35,1852,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
36,1853,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
37,1853,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
38,1853,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
39,1853,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
40,1853,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
41,1853,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
42,1853,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
43,1853,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
44,1853,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
45,1853,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
46,1853,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
47,1853,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
48,1854,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
49,1854,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
50,1854,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
51,1854,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
52,1854,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
53,1854,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
54,1854,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
55,1854,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
56,1854,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
57,1854,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
58,1854,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
59,1854,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
60,1855,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
61,1855,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
62,1855,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
63,1855,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
64,1855,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
65,1855,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
66,1855,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
67,1855,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
68,1855,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
69,1855,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
70,1855,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
71,1855,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
72,1856,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
73,1856,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
74,1856,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
75,1856,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
76,1856,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
77,1856,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
78,1856,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
79,1856,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
80,1856,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
81,1856,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
82,1856,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
83,1856,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
84,1857,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
85,1857,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
86,1857,3,1.311,3.052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
87,1857,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
88,1857,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
89,1857,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
90,1857,7,-0.456,1.652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
91,1857,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
92,1857,9,1.017,2.987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
93,1857,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
94,1857,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
95,1857,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
96,1858,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
97,1858,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
98,1858,3,-0.840,1.731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
99,1858,4,-2.186,3.094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
100,1858,5,-1.818,2.019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
101,1858,6,-0.261,1.327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
102,1858,7,-0.385,1.461,-0.580,1.013,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
103,1858,8,0.821,3.058,-0.406,1.124,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
104,1858,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
105,1858,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
106,1858,11,-0.194,1.409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
107,1858,12,-1.278,2.809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
108,1859,1,-0.569,1.602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
109,1859,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
110,1859,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
111,1859,4,2.434,4.269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
112,1859,5,1.539,2.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
113,1859,6,0.301,1.648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
114,1859,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
115,1859,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
116,1859,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
117,1859,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
118,1859,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
119,1859,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
120,1860,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
121,1860,2,-2.013,1.422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
122,1860,3,0.101,1.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
123,1860,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
124,1860,5,-1.761,2.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
125,1860,6,-0.375,1.246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
126,1860,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
127,1860,8,-1.493,1.752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
128,1860,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
129,1860,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
130,1860,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
131,1860,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
132,1861,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
133,1861,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.73,0.18
