,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1846,1,0.699,1.928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.59,0.72
1,1846,2,-1.063,3.419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.59,0.72
2,1846,3,0.041,0.934,-0.447,0.505,NaN,NaN,NaN,NaN,NaN,NaN,23.59,0.72
3,1846,4,0.038,0.935,-0.385,0.499,NaN,NaN,NaN,NaN,NaN,NaN,23.59,0.72
4,1846,5,0.168,1.459,-0.385,0.504,NaN,NaN,NaN,NaN,NaN,NaN,23.59,0.72
5,1846,6,0.113,0.879,-0.244,0.546,NaN,NaN,NaN,NaN,NaN,NaN,23.59,0.72
6,1846,7,-0.365,1.231,-0.310,0.513,NaN,NaN,NaN,NaN,NaN,NaN,23.59,0.72
7,1846,8,-0.338,1.055,-0.284,0.806,NaN,NaN,NaN,NaN,NaN,NaN,23.59,0.72
8,1846,9,0.279,1.956,-0.425,0.783,NaN,NaN,NaN,NaN,NaN,NaN,23.59,0.72
9,1846,10,-1.123,2.221,-0.534,0.694,NaN,NaN,NaN,NaN,NaN,NaN,23.59,0.72
10,1846,11,-0.375,4.926,-0.577,0.569,NaN,NaN,NaN,NaN,NaN,NaN,23.59,0.72
11,1846,12,-1.001,2.068,-0.720,0.576,NaN,NaN,NaN,NaN,NaN,NaN,23.59,0.72
12,1847,1,-0.098,1.656,-0.749,0.645,NaN,NaN,NaN,NaN,NaN,NaN,23.59,0.72
13,1847,2,-0.747,1.249,-0.833,0.572,NaN,NaN,NaN,NaN,NaN,NaN,23.59,0.72
14,1847,3,-1.652,0.933,-0.965,0.464,NaN,NaN,NaN,NaN,NaN,NaN,23.59,0.72
15,1847,4,-1.271,1.488,-1.014,0.551,-0.894,NaN,NaN,NaN,NaN,NaN,23.59,0.72
16,1847,5,-0.348,1.298,-1.040,0.460,-0.886,NaN,NaN,NaN,NaN,NaN,23.59,0.72
17,1847,6,-1.601,0.892,-0.975,0.473,-0.872,NaN,NaN,NaN,NaN,NaN,23.59,0.72
18,1847,7,-0.719,0.820,-0.993,0.717,-0.911,0.560,NaN,NaN,NaN,NaN,23.59,0.72
19,1847,8,-1.336,1.815,-0.896,0.884,-0.889,0.590,NaN,NaN,NaN,NaN,23.59,0.72
20,1847,9,-1.314,1.130,-0.827,0.896,-0.886,0.611,NaN,NaN,NaN,NaN,23.59,0.72
21,1847,10,-1.708,1.250,-0.796,0.891,-0.897,0.611,NaN,NaN,NaN,NaN,23.59,0.72
