,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1846,1,0.961,1.145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
1,1846,2,0.335,2.580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
2,1846,3,0.480,1.710,-0.111,0.441,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
3,1846,4,0.160,0.773,-0.162,0.430,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
4,1846,5,-0.019,1.242,-0.228,0.420,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
5,1846,6,-0.429,0.995,-0.180,0.411,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
6,1846,7,-0.186,1.605,-0.318,0.423,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
7,1846,8,-0.623,1.424,-0.451,0.460,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
8,1846,9,-0.255,2.143,-0.661,0.446,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
9,1846,10,-1.009,3.331,-0.847,0.451,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
10,1846,11,-0.611,2.731,-0.906,0.518,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
11,1846,12,-0.965,1.194,-1.075,0.613,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
12,1847,1,-0.701,1.994,-1.177,0.590,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
13,1847,2,-1.258,0.898,-1.257,0.672,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
14,1847,3,-2.036,1.794,-1.401,0.857,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
15,1847,4,-2.075,2.112,-1.473,0.745,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
16,1847,5,-0.730,1.918,-1.515,0.832,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
17,1847,6,-2.456,2.393,-1.484,0.904,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
18,1847,7,-1.401,2.194,-1.499,0.665,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
19,1847,8,-1.586,2.340,-1.382,0.747,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
20,1847,9,-1.989,2.026,-1.322,0.727,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
21,1847,10,-1.869,1.467,-1.179,0.856,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
22,1847,11,-1.115,2.678,-1.217,0.879,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
23,1847,12,-0.597,1.057,-1.092,0.856,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
24,1848,1,-0.877,5.740,-1.104,0.871,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
25,1848,2,0.147,2.153,-1.033,0.720,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
26,1848,3,-1.314,2.221,-1.017,0.721,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
27,1848,4,-0.357,1.918,-0.963,0.746,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
28,1848,5,-1.186,2.208,-0.989,0.768,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
29,1848,6,-0.962,1.232,-0.959,0.760,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
30,1848,7,-1.539,2.409,-0.946,1.269,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
31,1848,8,-0.733,0.777,-1.010,1.601,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
32,1848,9,-1.797,2.333,-0.963,1.340,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
33,1848,10,-1.220,2.345,-1.108,1.327,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
34,1848,11,-1.429,2.566,-1.183,1.697,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
35,1848,12,-0.240,1.646,-1.201,1.682,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
36,1849,1,-0.715,2.122,-1.202,1.446,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
37,1849,2,-0.632,4.870,-1.286,1.633,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
38,1849,3,-0.742,1.455,-1.293,1.437,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
39,1849,4,-2.093,1.920,-1.326,1.392,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
40,1849,5,-2.090,3.959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
41,1849,6,-1.184,1.293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
42,1849,7,-1.553,1.237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
43,1849,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
44,1849,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
45,1849,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
46,1849,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
47,1849,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.56,0.59
