,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1787,1,0.267,6.489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.53,0.46
1,1787,2,-0.128,3.579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.53,0.46
2,1787,3,-1.556,3.494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.53,0.46
3,1787,4,-1.539,2.886,-1.058,0.657,NaN,NaN,NaN,NaN,NaN,NaN,23.53,0.46
4,1787,5,-0.775,2.244,-0.781,0.753,NaN,NaN,NaN,NaN,NaN,NaN,23.53,0.46
5,1787,6,NaN,NaN,-0.482,0.885,NaN,NaN,NaN,NaN,NaN,NaN,23.53,0.46
6,1787,7,-1.043,3.490,-0.719,1.377,NaN,NaN,NaN,NaN,NaN,NaN,23.53,0.46
7,1787,8,-0.435,1.153,-0.698,1.401,NaN,NaN,NaN,NaN,NaN,NaN,23.53,0.46
8,1787,9,-1.081,2.825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.53,0.46
9,1787,10,-0.708,1.946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.53,0.46
10,1787,11,0.674,4.742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.53,0.46
11,1787,12,-0.148,3.466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.53,0.46
12,1788,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.53,0.46
13,1788,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.53,0.46
14,1788,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.53,0.46
15,1788,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.53,0.46
16,1788,5,-1.799,2.017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.53,0.46
17,1788,6,-0.200,1.272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.53,0.46
18,1788,7,0.908,3.675,-0.533,0.937,NaN,NaN,NaN,NaN,NaN,NaN,23.53,0.46
19,1788,8,-0.424,2.487,-0.605,0.880,-0.501,0.304,NaN,NaN,NaN,NaN,23.53,0.46
20,1788,9,-0.471,2.819,-0.492,0.652,-0.526,0.334,NaN,NaN,NaN,NaN,23.53,0.46
21,1788,10,-1.494,3.818,-0.456,0.592,-0.537,0.344,NaN,NaN,NaN,NaN,23.53,0.46
22,1788,11,0.465,2.307,-0.283,0.752,-0.540,0.329,NaN,NaN,NaN,NaN,23.53,0.46
23,1788,12,-1.790,5.908,-0.336,0.752,-0.535,0.325,NaN,NaN,NaN,NaN,23.53,0.46
24,1789,1,-0.715,3.340,-0.397,0.669,-0.552,0.313,NaN,NaN,NaN,NaN,23.53,0.46
25,1789,2,-0.739,1.474,-0.430,0.652,-0.564,0.307,NaN,NaN,NaN,NaN,23.53,0.46
26,1789,3,0.478,5.439,-0.451,0.640,-0.564,0.296,NaN,NaN,NaN,NaN,23.53,0.46
27,1789,4,0.310,3.627,-0.361,0.819,-0.555,0.302,NaN,NaN,NaN,NaN,23.53,0.46
28,1789,5,0.272,4.553,-0.463,0.709,-0.513,0.279,NaN,NaN,NaN,NaN,23.53,0.46
29,1789,6,-0.832,1.346,-0.402,0.717,-0.464,0.265,NaN,NaN,NaN,NaN,23.53,0.46
30,1789,7,0.171,2.464,-0.319,0.846,-0.480,0.264,NaN,NaN,NaN,NaN,23.53,0.46
31,1789,8,-0.811,1.809,-0.234,0.704,-0.471,0.235,NaN,NaN,NaN,NaN,23.53,0.46
32,1789,9,-0.726,1.897,-0.343,0.699,-0.453,0.266,NaN,NaN,NaN,NaN,23.53,0.46
33,1789,10,-0.410,2.150,-0.434,0.805,-0.444,0.249,NaN,NaN,NaN,NaN,23.53,0.46
34,1789,11,-0.759,3.586,-0.496,0.644,-0.440,0.227,NaN,NaN,NaN,NaN,23.53,0.46
35,1789,12,-1.065,3.553,-0.424,0.497,-0.422,0.219,NaN,NaN,NaN,NaN,23.53,0.46
36,1790,1,0.278,1.895,-0.445,0.410,-0.383,0.237,NaN,NaN,NaN,NaN,23.53,0.46
37,1790,2,0.282,3.049,-0.519,0.402,-0.381,0.269,NaN,NaN,NaN,NaN,23.53,0.46
38,1790,3,-0.824,2.941,-0.520,0.445,-0.362,0.236,NaN,NaN,NaN,NaN,23.53,0.46
39,1790,4,-0.790,2.068,-0.595,0.424,-0.372,0.225,NaN,NaN,NaN,NaN,23.53,0.46
40,1790,5,-0.470,4.611,-0.667,0.308,-0.401,0.195,NaN,NaN,NaN,NaN,23.53,0.46
41,1790,6,0.030,1.175,-0.618,0.720,-0.403,0.201,NaN,NaN,NaN,NaN,23.53,0.46
42,1790,7,-0.071,2.213,-0.600,1.040,-0.379,0.211,NaN,NaN,NaN,NaN,23.53,0.46
43,1790,8,-1.707,2.174,-0.635,0.678,-0.355,0.219,NaN,NaN,NaN,NaN,23.53,0.46
44,1790,9,-0.730,1.680,-0.656,0.825,-0.340,0.220,NaN,NaN,NaN,NaN,23.53,0.46
45,1790,10,-1.315,1.673,-0.638,1.061,-0.330,0.228,NaN,NaN,NaN,NaN,23.53,0.46
46,1790,11,-1.626,1.352,-0.616,1.243,-0.304,0.239,NaN,NaN,NaN,NaN,23.53,0.46
47,1790,12,-0.478,5.460,-0.596,1.216,-0.303,0.256,NaN,NaN,NaN,NaN,23.53,0.46
48,1791,1,0.500,4.565,-0.595,1.291,-0.319,0.278,NaN,NaN,NaN,NaN,23.53,0.46
49,1791,2,-0.146,3.687,-0.439,1.278,-0.322,0.313,NaN,NaN,NaN,NaN,23.53,0.46
50,1791,3,-1.067,3.757,-0.331,1.262,-0.326,0.307,NaN,NaN,NaN,NaN,23.53,0.46
51,1791,4,-0.581,2.350,-0.227,1.358,-0.316,0.336,NaN,NaN,NaN,NaN,23.53,0.46
52,1791,5,-0.202,1.741,-0.102,1.546,-0.335,0.366,NaN,NaN,NaN,NaN,23.53,0.46
53,1791,6,0.271,2.404,-0.130,1.219,-0.334,0.443,NaN,NaN,NaN,NaN,23.53,0.46
54,1791,7,-0.062,2.208,-0.227,1.298,NaN,NaN,NaN,NaN,NaN,NaN,23.53,0.46
