,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1853,2,-0.233,1.222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
1,1853,3,-1.003,2.212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
2,1853,4,-1.325,2.994,-0.772,1.177,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
3,1853,5,-1.150,3.712,-0.673,1.190,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
4,1853,6,-1.012,1.469,-0.690,1.169,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
5,1853,7,-1.299,1.975,-0.726,1.153,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
6,1853,8,-0.686,1.219,-0.762,1.177,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
7,1853,9,-0.266,1.482,-0.749,1.190,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
8,1853,10,-0.682,1.350,-0.724,0.996,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
9,1853,11,-0.590,1.589,-0.668,0.849,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
10,1853,12,-0.519,0.761,-0.629,0.816,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
11,1854,1,0.050,1.917,-0.590,0.867,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
12,1854,2,-0.667,1.819,-0.577,0.842,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
13,1854,3,-0.837,1.701,-0.600,0.854,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
14,1854,4,-1.029,1.448,-0.548,0.928,-0.799,0.735,NaN,NaN,NaN,NaN,26.63,0.34
15,1854,5,-0.481,1.950,-0.526,0.930,-0.796,0.720,NaN,NaN,NaN,NaN,26.63,0.34
16,1854,6,-0.549,1.037,-0.550,0.924,-0.808,0.712,NaN,NaN,NaN,NaN,26.63,0.34
17,1854,7,-0.825,3.654,-0.548,0.870,-0.810,0.717,NaN,NaN,NaN,NaN,26.63,0.34
18,1854,8,-0.535,1.941,-0.555,0.812,-0.818,0.718,NaN,NaN,NaN,NaN,26.63,0.34
19,1854,9,-0.534,2.668,-0.539,0.724,-0.825,0.706,NaN,NaN,NaN,NaN,26.63,0.34
20,1854,10,-0.063,1.451,-0.519,0.739,-0.781,0.707,NaN,NaN,NaN,NaN,26.63,0.34
21,1854,11,-0.329,1.764,-0.570,0.709,-0.790,0.715,NaN,NaN,NaN,NaN,26.63,0.34
22,1854,12,-0.808,2.603,-0.630,0.640,-0.791,0.714,NaN,NaN,NaN,NaN,26.63,0.34
23,1855,1,0.079,1.407,-0.643,0.614,-0.780,0.722,NaN,NaN,NaN,NaN,26.63,0.34
24,1855,2,-0.751,3.974,-0.660,0.706,-0.773,0.723,NaN,NaN,NaN,NaN,26.63,0.34
25,1855,3,-0.646,1.342,-0.739,0.847,-0.766,0.722,NaN,NaN,NaN,NaN,26.63,0.34
26,1855,4,-0.781,1.429,-0.842,1.004,-0.755,0.722,NaN,NaN,NaN,NaN,26.63,0.34
27,1855,5,-1.100,2.237,-0.893,1.057,-0.741,0.738,NaN,NaN,NaN,NaN,26.63,0.34
28,1855,6,-1.273,1.397,-0.887,0.839,-0.745,0.749,NaN,NaN,NaN,NaN,26.63,0.34
29,1855,7,-0.970,1.799,-0.890,0.902,-0.761,0.770,NaN,NaN,NaN,NaN,26.63,0.34
30,1855,8,-0.744,1.695,-0.859,0.854,-0.767,0.772,NaN,NaN,NaN,NaN,26.63,0.34
31,1855,9,-1.481,1.583,-0.853,0.809,-0.764,0.775,-0.659,0.841,NaN,NaN,26.63,0.34
32,1855,10,-1.295,1.994,-0.805,0.906,-0.753,0.766,-0.650,0.846,NaN,NaN,26.63,0.34
33,1855,11,-0.942,1.153,-0.781,0.972,-0.744,0.739,-0.636,0.854,NaN,NaN,26.63,0.34
34,1855,12,-0.736,1.828,-0.752,0.984,-0.738,0.757,-0.640,0.841,NaN,NaN,26.63,0.34
35,1856,1,0.044,2.242,-0.762,0.986,-0.713,0.782,-0.630,0.859,NaN,NaN,26.63,0.34
36,1856,2,-0.388,1.807,-0.786,1.016,-0.694,0.793,-0.638,0.852,NaN,NaN,26.63,0.34
37,1856,3,-0.574,2.214,-0.706,1.122,-0.684,0.790,-0.637,0.856,NaN,NaN,26.63,0.34
38,1856,4,-0.201,1.676,-0.669,1.131,-0.669,0.809,-0.641,0.850,NaN,NaN,26.63,0.34
39,1856,5,-0.814,1.455,-0.686,1.273,-0.668,0.797,-0.629,0.846,NaN,NaN,26.63,0.34
40,1856,6,-0.917,1.489,-0.768,1.254,-0.672,0.804,-0.618,0.833,NaN,NaN,26.63,0.34
41,1856,7,-1.097,1.563,-0.859,1.243,-0.677,0.816,-0.606,0.821,NaN,NaN,26.63,0.34
42,1856,8,-1.027,1.412,-0.874,1.160,-0.658,0.843,-0.594,0.830,NaN,NaN,26.63,0.34
43,1856,9,-0.520,1.706,-0.897,1.091,-0.649,0.851,-0.596,0.829,NaN,NaN,26.63,0.34
44,1856,10,-0.856,1.344,-0.909,1.128,-0.630,0.881,-0.596,0.825,NaN,NaN,26.63,0.34
45,1856,11,-1.149,1.882,-0.951,1.178,-0.620,0.892,-0.589,0.822,NaN,NaN,26.63,0.34
46,1856,12,-1.719,1.805,-0.939,1.246,-0.626,0.919,-0.582,0.807,NaN,NaN,26.63,0.34
47,1857,1,-1.047,1.731,-0.949,1.156,-0.624,0.965,-0.589,0.806,NaN,NaN,26.63,0.34
48,1857,2,-0.567,3.664,-0.975,1.070,-0.621,0.986,-0.602,0.801,NaN,NaN,26.63,0.34
49,1857,3,-0.850,1.515,-1.008,0.991,-0.613,1.026,-0.603,0.794,NaN,NaN,26.63,0.34
50,1857,4,-0.345,2.327,-0.943,1.039,-0.611,1.056,-0.584,0.789,NaN,NaN,26.63,0.34
51,1857,5,-1.315,2.186,-0.925,1.203,-0.601,1.070,-0.576,0.787,NaN,NaN,26.63,0.34
52,1857,6,-0.772,3.586,-0.832,1.282,-0.602,1.067,-0.577,0.784,NaN,NaN,26.63,0.34
53,1857,7,-1.222,3.064,-0.781,1.415,-0.605,1.097,-0.560,0.789,NaN,NaN,26.63,0.34
54,1857,8,-1.341,2.393,-0.782,1.339,-0.597,1.054,-0.553,0.789,NaN,NaN,26.63,0.34
55,1857,9,-0.915,1.220,-0.780,1.390,-0.592,1.030,-0.546,0.787,NaN,NaN,26.63,0.34
56,1857,10,-0.075,1.745,-0.808,1.419,-0.585,1.061,-0.535,0.780,NaN,NaN,26.63,0.34
57,1857,11,-0.930,3.115,-0.751,1.444,-0.564,1.064,-0.524,0.780,NaN,NaN,26.63,0.34
58,1857,12,-0.607,3.752,-0.738,1.541,-0.550,1.045,-0.525,0.777,NaN,NaN,26.63,0.34
59,1858,1,-0.434,4.168,-0.621,1.654,-0.537,1.059,-0.526,0.770,NaN,NaN,26.63,0.34
60,1858,2,-0.577,1.613,-0.472,1.614,-0.521,1.061,-0.525,0.764,NaN,NaN,26.63,0.34
61,1858,3,-0.829,1.728,-0.368,1.624,-0.492,1.097,-0.522,0.762,NaN,NaN,26.63,0.34
62,1858,4,-0.682,2.456,-0.341,1.644,-0.473,1.104,-0.511,0.756,NaN,NaN,26.63,0.34
63,1858,5,-0.624,1.790,-0.310,1.515,-0.450,1.123,-0.506,0.742,NaN,NaN,26.63,0.34
64,1858,6,-0.620,1.979,-0.324,1.345,-0.455,1.123,-0.504,0.749,NaN,NaN,26.63,0.34
65,1858,7,0.179,2.973,-0.305,1.279,-0.428,1.139,-0.507,0.753,NaN,NaN,26.63,0.34
66,1858,8,0.451,1.947,-0.222,1.321,-0.432,1.102,-0.509,0.762,NaN,NaN,26.63,0.34
67,1858,9,0.333,1.369,-0.175,1.331,-0.435,1.070,-0.518,0.760,NaN,NaN,26.63,0.34
68,1858,10,0.247,2.038,-0.107,1.338,-0.437,1.064,-0.517,0.761,NaN,NaN,26.63,0.34
69,1858,11,-0.553,2.582,-0.049,1.255,-0.426,1.082,-0.515,0.754,NaN,NaN,26.63,0.34
70,1858,12,-0.779,1.718,-0.074,1.251,-0.415,1.063,-0.517,0.743,NaN,NaN,26.63,0.34
71,1859,1,-0.205,1.659,-0.146,1.147,-0.409,1.054,-0.527,0.741,NaN,NaN,26.63,0.34
72,1859,2,0.422,2.701,-0.212,1.136,-0.407,1.047,-0.525,0.733,NaN,NaN,26.63,0.34
73,1859,3,-0.263,1.859,-0.243,1.245,-0.408,1.035,-0.522,0.727,NaN,NaN,26.63,0.34
74,1859,4,0.133,2.271,-0.262,1.228,-0.394,1.020,NaN,NaN,NaN,NaN,26.63,0.34
75,1859,5,0.066,1.842,-0.192,1.287,-0.382,1.020,NaN,NaN,NaN,NaN,26.63,0.34
76,1859,6,NaN,NaN,-0.197,1.359,-0.356,1.004,NaN,NaN,NaN,NaN,26.63,0.34
77,1859,7,-0.687,2.226,-0.188,1.362,-0.367,0.990,NaN,NaN,NaN,NaN,26.63,0.34
78,1859,8,-0.349,2.314,-0.248,1.224,-0.386,0.990,NaN,NaN,NaN,NaN,26.63,0.34
79,1859,9,-0.030,2.882,-0.253,1.189,-0.380,0.989,NaN,NaN,NaN,NaN,26.63,0.34
80,1859,10,0.017,1.532,-0.298,1.147,-0.387,0.970,NaN,NaN,NaN,NaN,26.63,0.34
81,1859,11,0.287,1.898,-0.286,1.168,-0.363,0.955,NaN,NaN,NaN,NaN,26.63,0.34
82,1859,12,NaN,NaN,-0.247,1.077,-0.362,0.931,NaN,NaN,NaN,NaN,26.63,0.34
83,1860,1,-0.102,1.983,-0.206,1.150,-0.341,0.928,NaN,NaN,NaN,NaN,26.63,0.34
84,1860,2,-0.291,2.270,-0.161,1.181,-0.333,0.933,NaN,NaN,NaN,NaN,26.63,0.34
85,1860,3,-0.331,1.893,-0.134,1.167,-0.326,0.934,NaN,NaN,NaN,NaN,26.63,0.34
86,1860,4,-0.405,1.639,-0.152,1.246,-0.315,0.917,NaN,NaN,NaN,NaN,26.63,0.34
87,1860,5,0.216,1.792,-0.137,1.177,-0.306,0.898,NaN,NaN,NaN,NaN,26.63,0.34
88,1860,6,-0.451,1.405,-0.153,1.135,-0.304,0.886,NaN,NaN,NaN,NaN,26.63,0.34
89,1860,7,-0.190,2.961,-0.006,1.547,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
90,1860,8,0.194,2.222,-0.034,1.332,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
91,1860,9,0.291,3.165,-0.072,1.322,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
92,1860,10,-0.198,2.635,-0.063,1.361,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
93,1860,11,0.470,1.698,-0.091,1.525,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
94,1860,12,NaN,NaN,-0.076,1.486,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
95,1861,1,1.665,5.162,-0.123,1.255,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
96,1861,2,-0.632,2.983,-0.214,1.131,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
97,1861,3,-0.778,1.308,-0.287,0.990,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
98,1861,4,-0.307,1.867,-0.273,0.811,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
99,1861,5,-0.119,3.822,-0.344,0.796,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
100,1861,6,-0.271,1.461,-0.275,0.701,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
101,1861,7,-0.754,1.132,-0.556,0.777,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
102,1861,8,-0.900,2.642,-0.642,0.921,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
103,1861,9,-0.581,2.291,-0.622,0.973,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
104,1861,10,-0.030,2.499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
105,1861,11,-0.388,1.460,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
106,1861,12,-0.208,1.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
107,1862,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
108,1862,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
109,1862,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
110,1862,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
111,1862,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
112,1862,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
113,1862,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
114,1862,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
115,1862,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
116,1862,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
117,1862,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
118,1862,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
119,1863,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
120,1863,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
121,1863,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
122,1863,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
123,1863,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
124,1863,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
125,1863,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
126,1863,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
127,1863,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
128,1863,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
129,1863,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
130,1863,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
131,1864,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
132,1864,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
133,1864,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
134,1864,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
135,1864,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
136,1864,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
137,1864,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
138,1864,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
139,1864,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
140,1864,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
141,1864,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.63,0.34
