,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1853,2,0.135,1.604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.55,0.71
1,1853,3,-0.483,1.667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.55,0.71
2,1853,4,-0.619,1.684,-0.285,1.187,NaN,NaN,NaN,NaN,NaN,NaN,20.55,0.71
3,1853,5,-0.291,1.469,-0.205,1.145,NaN,NaN,NaN,NaN,NaN,NaN,20.55,0.71
4,1853,6,0.058,1.602,-0.246,1.248,NaN,NaN,NaN,NaN,NaN,NaN,20.55,0.71
5,1853,7,-0.231,1.497,-0.313,1.316,NaN,NaN,NaN,NaN,NaN,NaN,20.55,0.71
6,1853,8,-0.362,1.178,-0.355,1.537,NaN,NaN,NaN,NaN,NaN,NaN,20.55,0.71
7,1853,9,-0.161,1.553,-0.396,1.558,NaN,NaN,NaN,NaN,NaN,NaN,20.55,0.71
8,1853,10,-0.715,3.078,-0.424,1.493,NaN,NaN,NaN,NaN,NaN,NaN,20.55,0.71
9,1853,11,-0.338,2.080,-0.458,1.556,NaN,NaN,NaN,NaN,NaN,NaN,20.55,0.71
10,1853,12,-0.496,1.851,-0.500,1.608,NaN,NaN,NaN,NaN,NaN,NaN,20.55,0.71
11,1854,1,-0.253,1.829,-0.571,1.481,NaN,NaN,NaN,NaN,NaN,NaN,20.55,0.71
12,1854,2,-0.371,3.044,-0.602,1.535,NaN,NaN,NaN,NaN,NaN,NaN,20.55,0.71
13,1854,3,-0.970,2.507,-0.643,1.534,NaN,NaN,NaN,NaN,NaN,NaN,20.55,0.71
14,1854,4,-0.955,1.295,-0.627,1.324,-0.765,1.092,NaN,NaN,NaN,NaN,20.55,0.71
15,1854,5,-0.700,2.361,-0.658,1.212,-0.793,1.082,NaN,NaN,NaN,NaN,20.55,0.71
16,1854,6,-0.452,1.563,-0.706,1.222,-0.829,1.072,NaN,NaN,NaN,NaN,20.55,0.71
17,1854,7,-1.082,1.754,-0.688,1.141,-0.853,1.099,NaN,NaN,NaN,NaN,20.55,0.71
18,1854,8,-0.729,2.312,-0.728,1.098,-0.866,1.084,NaN,NaN,NaN,NaN,20.55,0.71
19,1854,9,-0.657,1.340,-0.706,0.954,-0.873,1.098,NaN,NaN,NaN,NaN,20.55,0.71
20,1854,10,-0.522,1.159,-0.696,0.997,-0.841,1.103,NaN,NaN,NaN,NaN,20.55,0.71
21,1854,11,-0.703,2.392,-0.747,0.899,-0.845,1.105,NaN,NaN,NaN,NaN,20.55,0.71
