,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1850,1,-0.732,1.109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
1,1850,2,-0.616,1.253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
2,1850,3,-0.877,1.447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
3,1850,4,-0.902,1.867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
4,1850,5,-0.835,1.717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
5,1850,6,0.096,1.134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
6,1850,7,0.004,1.251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
7,1850,8,0.044,1.460,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
8,1850,9,-0.687,2.407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
9,1850,10,-0.698,1.893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
10,1850,11,-0.784,1.371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
11,1850,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
12,1851,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
13,1851,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
14,1851,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
15,1851,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
16,1851,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
17,1851,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
18,1851,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
19,1851,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
20,1851,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
21,1851,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
22,1851,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
23,1851,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
24,1852,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
25,1852,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
26,1852,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
27,1852,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
28,1852,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
29,1852,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
30,1852,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
31,1852,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
32,1852,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
33,1852,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
34,1852,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
35,1852,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
36,1853,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
37,1853,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
38,1853,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
39,1853,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
40,1853,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
41,1853,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
42,1853,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
43,1853,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
44,1853,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.80,0.91
