,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1886,4,-1.279,2.639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.36,0.38
1,1886,5,1.600,2.638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.36,0.38
2,1886,6,2.124,3.596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.36,0.38
3,1886,7,1.727,3.500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.36,0.38
4,1886,8,-0.104,1.191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.36,0.38
5,1886,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.36,0.38
6,1886,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.36,0.38
7,1886,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.36,0.38
8,1886,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.36,0.38
9,1887,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.36,0.38
10,1887,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.36,0.38
11,1887,3,-0.491,1.573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.36,0.38
12,1887,4,0.262,1.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.36,0.38
13,1887,5,1.157,2.598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.36,0.38
14,1887,6,-0.776,1.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.36,0.38
15,1887,7,-2.392,3.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.36,0.38
16,1887,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.36,0.38
17,1887,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.36,0.38
18,1887,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.36,0.38
19,1887,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.36,0.38
20,1887,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.36,0.38
21,1888,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.36,0.38
22,1888,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.36,0.38
