,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1857,12,-0.566,1.271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.82,0.31
1,1858,1,0.084,1.403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.82,0.31
2,1858,2,-1.009,1.282,-0.778,0.633,NaN,NaN,NaN,NaN,NaN,NaN,22.82,0.31
3,1858,3,-0.693,1.221,-0.771,0.639,NaN,NaN,NaN,NaN,NaN,NaN,22.82,0.31
4,1858,4,-0.444,1.435,-0.728,0.652,NaN,NaN,NaN,NaN,NaN,NaN,22.82,0.31
5,1858,5,-0.740,1.275,-0.689,0.670,NaN,NaN,NaN,NaN,NaN,NaN,22.82,0.31
6,1858,6,-0.905,1.218,-0.757,0.648,NaN,NaN,NaN,NaN,NaN,NaN,22.82,0.31
7,1858,7,-0.897,1.239,-0.853,0.686,NaN,NaN,NaN,NaN,NaN,NaN,22.82,0.31
8,1858,8,-0.971,1.189,-0.854,0.709,NaN,NaN,NaN,NaN,NaN,NaN,22.82,0.31
9,1858,9,-0.974,1.166,-0.882,0.766,NaN,NaN,NaN,NaN,NaN,NaN,22.82,0.31
10,1858,10,-0.578,1.192,-0.861,0.742,NaN,NaN,NaN,NaN,NaN,NaN,22.82,0.31
11,1858,11,-0.572,1.314,-0.827,0.720,NaN,NaN,NaN,NaN,NaN,NaN,22.82,0.31
12,1858,12,-1.381,1.212,-0.805,0.742,NaN,NaN,NaN,NaN,NaN,NaN,22.82,0.31
13,1859,1,-1.072,1.589,-0.802,0.743,NaN,NaN,NaN,NaN,NaN,NaN,22.82,0.31
14,1859,2,-1.022,1.660,-0.790,0.705,NaN,NaN,NaN,NaN,NaN,NaN,22.82,0.31
15,1859,3,-1.031,1.778,-0.815,0.675,-0.827,0.335,NaN,NaN,NaN,NaN,22.82,0.31
16,1859,4,-0.187,1.211,-0.822,0.679,-0.811,0.338,NaN,NaN,NaN,NaN,22.82,0.31
17,1859,5,-0.335,1.093,-0.838,0.689,-0.802,0.341,NaN,NaN,NaN,NaN,22.82,0.31
18,1859,6,-0.640,1.168,-0.792,0.692,-0.809,0.348,NaN,NaN,NaN,NaN,22.82,0.31
19,1859,7,-0.860,1.130,-0.789,0.635,-0.828,0.350,NaN,NaN,NaN,NaN,22.82,0.31
20,1859,8,-0.823,1.127,-0.782,0.581,-0.830,0.350,NaN,NaN,NaN,NaN,22.82,0.31
