,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1867,1,0.413,1.648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.56,0.51
1,1867,2,0.162,2.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.56,0.51
2,1867,3,-0.266,2.715,-0.133,0.941,NaN,NaN,NaN,NaN,NaN,NaN,25.56,0.51
3,1867,4,0.110,1.326,0.022,0.927,NaN,NaN,NaN,NaN,NaN,NaN,25.56,0.51
4,1867,5,0.278,2.255,0.041,0.938,NaN,NaN,NaN,NaN,NaN,NaN,25.56,0.51
5,1867,6,-0.400,2.398,0.029,0.957,NaN,NaN,NaN,NaN,NaN,NaN,25.56,0.51
6,1867,7,0.049,1.770,-0.022,0.998,NaN,NaN,NaN,NaN,NaN,NaN,25.56,0.51
7,1867,8,-0.339,1.826,-0.062,0.956,NaN,NaN,NaN,NaN,NaN,NaN,25.56,0.51
8,1867,9,0.103,1.361,-0.043,0.954,NaN,NaN,NaN,NaN,NaN,NaN,25.56,0.51
9,1867,10,1.485,2.212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.56,0.51
10,1867,11,-0.550,2.770,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.56,0.51
11,1867,12,-0.693,1.566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.56,0.51
12,1868,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.56,0.51
13,1868,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.56,0.51
14,1868,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.56,0.51
15,1868,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.56,0.51
16,1868,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.56,0.51
