,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1886,1,-1.035,1.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.68,1.16
1,1886,2,-1.708,1.432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.68,1.16
2,1886,3,-1.903,1.407,-1.086,0.607,NaN,NaN,NaN,NaN,NaN,NaN,19.68,1.16
3,1886,4,-1.107,1.738,-1.023,0.611,NaN,NaN,NaN,NaN,NaN,NaN,19.68,1.16
4,1886,5,-1.061,1.244,-1.002,0.600,NaN,NaN,NaN,NaN,NaN,NaN,19.68,1.16
5,1886,6,-1.049,1.431,-1.092,0.592,NaN,NaN,NaN,NaN,NaN,NaN,19.68,1.16
6,1886,7,-0.474,1.449,-1.196,0.562,NaN,NaN,NaN,NaN,NaN,NaN,19.68,1.16
7,1886,8,-0.601,1.387,-1.170,0.593,NaN,NaN,NaN,NaN,NaN,NaN,19.68,1.16
8,1886,9,-1.015,1.313,-1.098,0.600,NaN,NaN,NaN,NaN,NaN,NaN,19.68,1.16
9,1886,10,-0.886,1.422,-1.121,0.595,NaN,NaN,NaN,NaN,NaN,NaN,19.68,1.16
10,1886,11,-0.928,1.471,-1.104,0.616,NaN,NaN,NaN,NaN,NaN,NaN,19.68,1.16
11,1886,12,-1.337,2.473,-1.148,0.646,NaN,NaN,NaN,NaN,NaN,NaN,19.68,1.16
12,1887,1,-2.280,1.472,-1.165,0.657,NaN,NaN,NaN,NaN,NaN,NaN,19.68,1.16
13,1887,2,-1.399,1.449,-1.215,0.653,NaN,NaN,NaN,NaN,NaN,NaN,19.68,1.16
14,1887,3,-1.043,1.336,-1.163,0.668,-0.967,0.315,NaN,NaN,NaN,NaN,19.68,1.16
15,1887,4,-1.376,1.465,-1.131,0.642,-0.968,0.320,NaN,NaN,NaN,NaN,19.68,1.16
16,1887,5,-0.862,1.590,-1.123,0.649,-0.978,0.317,NaN,NaN,NaN,NaN,19.68,1.16
17,1887,6,-1.577,1.580,-1.066,0.648,-0.985,0.321,NaN,NaN,NaN,NaN,19.68,1.16
18,1887,7,-0.673,1.610,-0.960,0.627,-0.992,0.319,NaN,NaN,NaN,NaN,19.68,1.16
19,1887,8,-1.204,1.683,-0.887,0.634,-0.985,0.321,NaN,NaN,NaN,NaN,19.68,1.16
20,1887,9,-0.389,1.563,-0.871,0.679,-0.984,0.313,NaN,NaN,NaN,NaN,19.68,1.16
21,1887,10,-0.499,1.454,-0.782,0.686,-0.989,0.310,NaN,NaN,NaN,NaN,19.68,1.16
22,1887,11,-0.839,1.735,-0.797,0.669,-1.002,0.303,NaN,NaN,NaN,NaN,19.68,1.16
23,1887,12,-0.648,1.709,-0.761,0.653,-1.002,0.303,NaN,NaN,NaN,NaN,19.68,1.16
24,1888,1,-1.014,1.416,-0.749,0.621,-1.006,0.302,NaN,NaN,NaN,NaN,19.68,1.16
25,1888,2,-0.518,1.614,-0.766,0.575,-1.018,0.299,NaN,NaN,NaN,NaN,19.68,1.16
26,1888,3,-0.855,1.780,-0.796,0.550,-1.031,0.300,NaN,NaN,NaN,NaN,19.68,1.16
27,1888,4,-0.306,1.423,-0.825,0.585,-1.026,0.289,NaN,NaN,NaN,NaN,19.68,1.16
28,1888,5,-1.046,1.353,-0.784,0.576,-1.039,0.276,NaN,NaN,NaN,NaN,19.68,1.16
29,1888,6,-1.143,1.371,-0.856,0.615,-1.059,0.274,-1.113,0.240,NaN,NaN,19.68,1.16
30,1888,7,-0.530,1.169,-0.893,0.609,-1.063,0.263,-1.113,0.236,NaN,NaN,19.68,1.16
31,1888,8,-1.407,1.249,-0.876,0.608,-1.072,0.265,-1.115,0.231,NaN,NaN,19.68,1.16
32,1888,9,-0.753,1.281,-0.872,0.672,-1.065,0.265,-1.115,0.228,NaN,NaN,19.68,1.16
33,1888,10,-0.840,1.383,-0.945,0.696,-1.073,0.272,-1.117,0.228,NaN,NaN,19.68,1.16
34,1888,11,-0.343,1.518,-0.924,0.715,-1.076,0.277,-1.109,0.228,NaN,NaN,19.68,1.16
35,1888,12,-1.518,1.395,-0.883,0.747,-1.072,0.279,-1.110,0.230,NaN,NaN,19.68,1.16
36,1889,1,-1.456,1.560,-0.855,0.771,-1.071,0.283,-1.103,0.235,NaN,NaN,19.68,1.16
37,1889,2,-0.321,1.453,-0.734,0.786,-1.078,0.287,-1.100,0.234,NaN,NaN,19.68,1.16
38,1889,3,-0.802,1.535,-0.693,0.791,-1.070,0.295,-1.090,0.229,NaN,NaN,19.68,1.16
39,1889,4,-1.187,1.674,-0.707,0.787,-1.070,0.289,-1.089,0.230,NaN,NaN,19.68,1.16
40,1889,5,-0.794,1.416,-0.780,0.739,-1.072,0.291,-1.084,0.231,NaN,NaN,19.68,1.16
41,1889,6,-0.651,1.565,-0.735,0.735,-1.070,0.302,-1.082,0.230,NaN,NaN,19.68,1.16
42,1889,7,-0.188,1.344,-0.786,0.715,-1.040,0.295,-1.080,0.229,NaN,NaN,19.68,1.16
43,1889,8,0.047,1.370,-0.858,0.711,-1.020,0.293,-1.085,0.227,NaN,NaN,19.68,1.16
44,1889,9,-0.259,1.305,-0.958,0.696,-1.003,0.295,-1.084,0.223,NaN,NaN,19.68,1.16
45,1889,10,-1.012,1.286,-0.993,0.673,-1.004,0.296,-1.087,0.227,NaN,NaN,19.68,1.16
46,1889,11,-1.216,1.343,-1.063,0.652,-1.017,0.296,-1.085,0.229,NaN,NaN,19.68,1.16
47,1889,12,-0.985,1.448,-1.120,0.615,-1.003,0.286,-1.089,0.231,NaN,NaN,19.68,1.16
48,1890,1,-2.062,1.437,-1.190,0.595,-1.007,0.282,-1.089,0.229,NaN,NaN,19.68,1.16
49,1890,2,-1.194,1.263,-1.297,0.585,-1.004,0.273,-1.079,0.228,NaN,NaN,19.68,1.16
50,1890,3,-1.999,1.308,-1.418,0.566,-1.024,0.264,-1.077,0.226,NaN,NaN,19.68,1.16
51,1890,4,-1.600,1.399,-1.444,0.537,-1.021,0.266,-1.072,0.219,NaN,NaN,19.68,1.16
52,1890,5,-1.634,1.234,-1.507,0.529,-1.025,0.277,-1.074,0.218,NaN,NaN,19.68,1.16
53,1890,6,-1.344,1.451,-1.545,0.518,-1.023,0.280,-1.075,0.219,NaN,NaN,19.68,1.16
54,1890,7,-1.026,1.337,-1.480,0.518,-1.029,0.282,-1.080,0.216,NaN,NaN,19.68,1.16
55,1890,8,-1.240,1.292,-1.569,0.530,-1.057,0.293,-1.089,0.213,NaN,NaN,19.68,1.16
56,1890,9,-1.705,1.282,-1.527,0.542,-1.069,0.306,-1.094,0.212,NaN,NaN,19.68,1.16
57,1890,10,-1.318,1.465,-1.524,0.569,-1.097,0.314,-1.088,0.210,NaN,NaN,19.68,1.16
58,1890,11,-1.981,1.248,-1.490,0.589,-1.092,0.311,-1.080,0.206,NaN,NaN,19.68,1.16
59,1890,12,-1.436,1.528,-1.448,0.588,-1.093,0.312,-1.089,0.204,-0.966,0.206,19.68,1.16
60,1891,1,-1.287,1.727,-1.395,0.579,-1.093,0.312,-1.081,0.202,-0.975,0.206,19.68,1.16
61,1891,2,-2.252,1.271,-1.378,0.622,-1.089,0.306,-1.071,0.206,-0.972,0.204,19.68,1.16
62,1891,3,-1.506,1.304,-1.278,0.623,-1.094,0.297,-1.074,0.202,-0.972,0.203,19.68,1.16
63,1891,4,-1.559,1.277,-1.246,0.584,-1.103,0.299,-1.078,0.196,-0.975,0.203,19.68,1.16
64,1891,5,-1.230,1.399,-1.164,0.568,-1.098,0.293,-1.076,0.193,-0.979,0.205,19.68,1.16
65,1891,6,-0.841,1.457,-1.150,0.562,-1.101,0.290,-1.075,0.190,-0.979,0.205,19.68,1.16
66,1891,7,-0.390,1.439,-1.080,0.584,-1.102,0.289,-1.079,0.187,-0.981,0.205,19.68,1.16
67,1891,8,-1.036,1.417,-0.911,0.613,-1.116,0.287,-1.078,0.186,-0.982,0.205,19.68,1.16
68,1891,9,-0.497,1.275,-0.785,0.612,-1.123,0.272,-1.079,0.187,-0.984,0.206,19.68,1.16
69,1891,10,-0.934,1.239,-0.775,0.627,-1.134,0.269,-1.079,0.185,-0.987,0.206,19.68,1.16
70,1891,11,-1.004,1.249,-0.812,0.616,-1.139,0.265,-1.079,0.188,-0.986,0.206,19.68,1.16
71,1891,12,-1.258,1.397,-0.802,0.582,-1.149,0.264,-1.081,0.187,-0.986,0.206,19.68,1.16
72,1892,1,-0.456,1.425,-0.845,0.570,-1.167,0.261,-1.072,0.190,-0.989,0.209,19.68,1.16
73,1892,2,-0.216,1.314,-0.843,0.571,-1.193,0.259,-1.075,0.192,-0.988,0.207,19.68,1.16
74,1892,3,0.001,1.271,-0.937,0.545,-1.201,0.256,-1.080,0.192,-0.988,0.208,19.68,1.16
75,1892,4,-1.440,1.400,-0.883,0.507,-1.206,0.257,-1.083,0.191,-0.985,0.208,19.68,1.16
76,1892,5,-1.667,1.201,-0.892,0.495,-1.192,0.262,-1.073,0.190,-0.987,0.211,19.68,1.16
77,1892,6,-0.725,1.127,-0.829,0.488,-1.192,0.265,-1.067,0.187,-0.989,0.213,19.68,1.16
