,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1878,1,-0.110,1.318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
1,1878,2,0.000,1.532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
2,1878,3,1.037,1.185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
3,1878,4,0.888,1.263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
4,1878,5,0.302,1.503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
5,1878,6,0.620,1.277,0.512,0.677,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
6,1878,7,0.478,1.328,0.500,0.672,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
7,1878,8,0.995,1.344,0.482,0.645,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
8,1878,9,0.447,1.449,0.344,0.678,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
9,1878,10,0.613,1.310,0.290,0.651,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
10,1878,11,0.825,1.350,0.247,0.629,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
11,1878,12,0.055,1.254,0.195,0.597,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
12,1879,1,-0.263,1.500,0.143,0.564,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
13,1879,2,-0.211,1.311,0.070,0.538,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
14,1879,3,-0.618,1.571,0.057,0.528,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
15,1879,4,0.241,1.162,0.034,0.511,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
16,1879,5,-0.216,1.164,0.012,0.509,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
17,1879,6,-0.003,1.328,-0.037,0.548,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
18,1879,7,-0.151,1.247,-0.057,0.595,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
19,1879,8,0.122,1.184,-0.115,0.607,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
20,1879,9,0.291,1.260,-0.102,0.634,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
21,1879,10,0.332,1.189,-0.107,0.661,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
22,1879,11,0.565,1.462,-0.066,0.702,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
23,1879,12,-0.537,1.536,-0.038,0.692,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
24,1880,1,-0.500,1.387,0.028,0.682,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
25,1880,2,-0.908,1.508,0.062,0.694,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
26,1880,3,-0.461,1.318,0.048,0.708,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
27,1880,4,0.180,1.442,0.023,0.744,NaN,NaN,NaN,NaN,NaN,NaN,32.64,0.51
28,1880,5,0.279,1.520,-0.026,0.762,0.117,0.408,NaN,NaN,NaN,NaN,32.64,0.51
