,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1863,1,0.522,1.819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
1,1863,2,1.048,1.208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
2,1863,3,0.810,2.160,-0.089,0.642,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
3,1863,4,-0.237,1.418,-0.040,0.639,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
4,1863,5,-0.028,1.618,-0.009,0.655,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
5,1863,6,0.337,1.705,-0.028,0.604,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
6,1863,7,-0.192,1.361,-0.048,0.670,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
7,1863,8,-0.251,2.283,-0.005,0.751,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
8,1863,9,-0.607,1.329,-0.168,0.724,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
9,1863,10,-0.387,2.174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
10,1863,11,-0.570,1.257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
11,1863,12,-0.780,1.489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
12,1864,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
13,1864,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
14,1864,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
15,1864,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
16,1864,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
17,1864,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
18,1864,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
19,1864,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
20,1864,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
21,1864,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
22,1864,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
23,1864,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
24,1865,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
25,1865,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
26,1865,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
27,1865,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
28,1865,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
29,1865,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
30,1865,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
31,1865,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
32,1865,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
33,1865,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
34,1865,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
35,1865,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
36,1866,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
37,1866,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
38,1866,3,-0.665,1.446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
39,1866,4,-0.417,1.168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
40,1866,5,-0.077,0.919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
41,1866,6,NaN,NaN,-0.321,0.802,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
42,1866,7,-0.426,2.133,-0.321,0.791,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
43,1866,8,-0.265,1.729,-0.233,0.741,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
44,1866,9,-0.083,1.822,-0.129,0.706,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
45,1866,10,-0.794,2.033,-0.104,0.683,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
46,1866,11,-0.977,2.229,-0.117,0.651,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
47,1866,12,0.076,1.886,-0.101,0.602,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
48,1867,1,0.245,1.136,-0.061,0.559,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
49,1867,2,0.671,1.244,-0.065,0.517,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
50,1867,3,0.582,3.074,-0.079,0.549,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
51,1867,4,-0.115,1.063,-0.048,0.582,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
52,1867,5,-0.239,1.755,-0.136,0.533,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
53,1867,6,0.107,1.927,-0.257,0.581,-0.455,0.754,NaN,NaN,NaN,NaN,22.09,0.43
54,1867,7,0.064,1.606,-0.276,0.603,-0.505,0.748,NaN,NaN,NaN,NaN,22.09,0.43
55,1867,8,-0.321,1.229,-0.403,0.707,-0.541,0.740,NaN,NaN,NaN,NaN,22.09,0.43
56,1867,9,-0.252,2.065,-0.443,0.866,-0.552,0.717,NaN,NaN,NaN,NaN,22.09,0.43
57,1867,10,-0.414,2.334,-0.455,0.942,-0.571,0.704,NaN,NaN,NaN,NaN,22.09,0.43
58,1867,11,-2.032,1.254,-0.455,0.983,-0.583,0.695,NaN,NaN,NaN,NaN,22.09,0.43
59,1867,12,-1.376,2.443,-0.521,0.952,-0.574,0.697,NaN,NaN,NaN,NaN,22.09,0.43
60,1868,1,0.010,1.202,-0.526,0.964,-0.567,0.688,NaN,NaN,NaN,NaN,22.09,0.43
61,1868,2,-0.855,1.929,-0.512,1.026,-0.558,0.683,NaN,NaN,NaN,NaN,22.09,0.43
62,1868,3,0.109,1.480,-0.589,0.903,-0.581,0.662,NaN,NaN,NaN,NaN,22.09,0.43
63,1868,4,-0.266,1.407,-0.635,0.912,-0.587,0.658,NaN,NaN,NaN,NaN,22.09,0.43
64,1868,5,-0.232,1.565,-0.593,1.015,-0.591,0.660,NaN,NaN,NaN,NaN,22.09,0.43
65,1868,6,-0.689,1.357,-0.644,1.100,-0.601,0.670,NaN,NaN,NaN,NaN,22.09,0.43
66,1868,7,0.012,1.409,-0.650,1.259,-0.626,0.663,NaN,NaN,NaN,NaN,22.09,0.43
67,1868,8,-0.153,1.881,-0.532,1.335,-0.650,0.665,NaN,NaN,NaN,NaN,22.09,0.43
68,1868,9,-1.175,0.846,-0.546,1.428,-0.656,0.666,NaN,NaN,NaN,NaN,22.09,0.43
69,1868,10,-0.968,1.560,-0.545,1.506,-0.673,0.669,NaN,NaN,NaN,NaN,22.09,0.43
70,1868,11,-1.530,2.177,-0.550,1.636,-0.700,0.658,NaN,NaN,NaN,NaN,22.09,0.43
71,1868,12,-1.992,2.322,-0.508,1.564,-0.720,0.628,NaN,NaN,NaN,NaN,22.09,0.43
72,1869,1,-0.066,3.202,-0.503,1.502,-0.734,0.616,NaN,NaN,NaN,NaN,22.09,0.43
73,1869,2,0.561,1.791,-0.553,1.420,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
74,1869,3,-0.051,2.191,-0.495,1.480,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
75,1869,4,-0.263,2.122,-0.567,1.389,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
76,1869,5,-0.284,2.945,-0.616,1.322,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
77,1869,6,-0.191,0.982,-0.623,1.430,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
78,1869,7,0.077,1.214,-0.880,1.185,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
79,1869,8,-0.749,1.512,-1.123,1.102,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
80,1869,9,-0.486,0.968,-1.186,0.931,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
81,1869,10,-1.832,1.245,-1.268,0.837,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
82,1869,11,-2.114,1.640,-1.352,0.747,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
83,1869,12,-2.075,3.571,-1.333,0.764,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
84,1870,1,-3.151,2.867,-1.319,0.792,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
85,1870,2,-2.358,1.661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
86,1870,3,-0.811,1.561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
87,1870,4,-1.242,1.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
88,1870,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
89,1870,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
90,1870,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
91,1870,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
92,1870,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
93,1870,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
94,1870,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.43
