,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1883,1,-1.845,1.071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.01,0.55
1,1883,2,-2.092,1.321,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.01,0.55
2,1883,3,-1.415,1.333,-1.217,0.725,NaN,NaN,NaN,NaN,NaN,NaN,22.01,0.55
3,1883,4,-1.238,1.490,-1.252,0.773,NaN,NaN,NaN,NaN,NaN,NaN,22.01,0.55
4,1883,5,-0.810,1.233,-1.261,0.832,NaN,NaN,NaN,NaN,NaN,NaN,22.01,0.55
5,1883,6,-0.832,1.392,-1.271,0.843,NaN,NaN,NaN,NaN,NaN,NaN,22.01,0.55
6,1883,7,-0.602,1.328,-1.244,0.836,NaN,NaN,NaN,NaN,NaN,NaN,22.01,0.55
7,1883,8,-0.824,1.377,-1.170,0.805,NaN,NaN,NaN,NaN,NaN,NaN,22.01,0.55
8,1883,9,-1.404,1.403,-1.180,0.780,NaN,NaN,NaN,NaN,NaN,NaN,22.01,0.55
9,1883,10,-1.380,1.383,-1.211,0.742,NaN,NaN,NaN,NaN,NaN,NaN,22.01,0.55
10,1883,11,-1.397,1.565,-1.249,0.703,NaN,NaN,NaN,NaN,NaN,NaN,22.01,0.55
11,1883,12,-1.417,1.137,-1.272,0.650,NaN,NaN,NaN,NaN,NaN,NaN,22.01,0.55
12,1884,1,-1.515,1.332,-1.309,0.646,NaN,NaN,NaN,NaN,NaN,NaN,22.01,0.55
13,1884,2,-1.212,0.959,-1.316,0.618,NaN,NaN,NaN,NaN,NaN,NaN,22.01,0.55
14,1884,3,-1.526,1.401,-1.326,0.630,NaN,NaN,NaN,NaN,NaN,NaN,22.01,0.55
15,1884,4,-1.619,1.431,-1.332,0.611,-1.091,0.453,NaN,NaN,NaN,NaN,22.01,0.55
16,1884,5,-1.256,1.058,-1.332,0.553,-1.106,0.452,NaN,NaN,NaN,NaN,22.01,0.55
17,1884,6,-1.113,1.161,-1.289,0.550,-1.102,0.450,NaN,NaN,NaN,NaN,22.01,0.55
18,1884,7,-1.041,1.271,-1.296,0.555,-1.133,0.449,NaN,NaN,NaN,NaN,22.01,0.55
19,1884,8,-0.917,1.087,-1.258,0.553,-1.157,0.447,NaN,NaN,NaN,NaN,22.01,0.55
20,1884,9,-1.524,1.552,-1.231,0.565,-1.177,0.452,NaN,NaN,NaN,NaN,22.01,0.55
21,1884,10,-1.444,1.233,-1.179,0.540,-1.184,0.453,NaN,NaN,NaN,NaN,22.01,0.55
22,1884,11,-1.394,1.125,-1.149,0.548,-1.183,0.447,NaN,NaN,NaN,NaN,22.01,0.55
23,1884,12,-0.901,1.093,-1.165,0.547,-1.176,0.432,NaN,NaN,NaN,NaN,22.01,0.55
24,1885,1,-1.609,1.287,-1.132,0.550,-1.170,0.425,NaN,NaN,NaN,NaN,22.01,0.55
25,1885,2,-0.753,1.186,-1.175,0.558,-1.178,0.422,NaN,NaN,NaN,NaN,22.01,0.55
26,1885,3,-1.200,1.221,-1.198,0.556,-1.176,0.417,NaN,NaN,NaN,NaN,22.01,0.55
27,1885,4,-0.992,1.041,-1.222,0.591,-1.176,0.411,NaN,NaN,NaN,NaN,22.01,0.55
28,1885,5,-0.901,1.331,-1.213,0.629,-1.170,0.407,NaN,NaN,NaN,NaN,22.01,0.55
29,1885,6,-1.310,1.030,-1.159,0.614,-1.166,0.403,NaN,NaN,NaN,NaN,22.01,0.55
30,1885,7,-0.637,1.142,-1.117,0.618,-1.163,0.405,NaN,NaN,NaN,NaN,22.01,0.55
31,1885,8,-1.440,1.516,-1.133,0.629,-1.149,0.405,NaN,NaN,NaN,NaN,22.01,0.55
32,1885,9,-1.800,1.606,-1.154,0.616,-1.150,0.411,NaN,NaN,NaN,NaN,22.01,0.55
33,1885,10,-1.729,1.670,-1.176,0.633,-1.144,0.412,NaN,NaN,NaN,NaN,22.01,0.55
34,1885,11,NaN,NaN,-1.172,0.641,-1.152,0.415,NaN,NaN,NaN,NaN,22.01,0.55
35,1885,12,-0.251,1.117,-1.149,0.639,-1.163,0.415,NaN,NaN,NaN,NaN,22.01,0.55
36,1886,1,-1.105,1.115,-1.125,0.632,-1.165,0.411,NaN,NaN,NaN,NaN,22.01,0.55
37,1886,2,-0.942,1.529,-1.035,0.599,-1.167,0.409,NaN,NaN,NaN,NaN,22.01,0.55
38,1886,3,-1.463,1.327,-0.935,0.616,-1.163,0.408,NaN,NaN,NaN,NaN,22.01,0.55
39,1886,4,-1.246,1.293,-0.848,0.685,-1.154,0.409,NaN,NaN,NaN,NaN,22.01,0.55
40,1886,5,-0.855,1.155,-0.892,0.662,-1.142,0.409,NaN,NaN,NaN,NaN,22.01,0.55
41,1886,6,-1.036,1.058,-0.960,0.646,-1.137,0.414,NaN,NaN,NaN,NaN,22.01,0.55
42,1886,7,-0.345,0.969,-1.064,0.621,-1.136,0.419,NaN,NaN,NaN,NaN,22.01,0.55
43,1886,8,-0.362,1.195,-1.167,0.571,-1.124,0.423,NaN,NaN,NaN,NaN,22.01,0.55
44,1886,9,-0.596,1.264,-1.229,0.576,NaN,NaN,NaN,NaN,NaN,NaN,22.01,0.55
45,1886,10,-0.694,1.451,-1.235,0.565,NaN,NaN,NaN,NaN,NaN,NaN,22.01,0.55
46,1886,11,-1.812,1.156,-1.210,0.565,NaN,NaN,NaN,NaN,NaN,NaN,22.01,0.55
47,1886,12,-1.060,1.983,-1.166,0.553,NaN,NaN,NaN,NaN,NaN,NaN,22.01,0.55
48,1887,1,-2.362,1.184,-1.159,0.553,NaN,NaN,NaN,NaN,NaN,NaN,22.01,0.55
49,1887,2,-2.179,1.663,-1.205,0.554,NaN,NaN,NaN,NaN,NaN,NaN,22.01,0.55
50,1887,3,-2.202,1.913,-1.202,0.551,NaN,NaN,NaN,NaN,NaN,NaN,22.01,0.55
51,1887,4,-1.319,1.111,-1.225,0.544,NaN,NaN,NaN,NaN,NaN,NaN,22.01,0.55
52,1887,5,-0.559,1.225,-1.154,0.534,NaN,NaN,NaN,NaN,NaN,NaN,22.01,0.55
53,1887,6,-0.500,2.131,-1.152,0.512,NaN,NaN,NaN,NaN,NaN,NaN,22.01,0.55
54,1887,7,-0.265,1.098,-1.095,0.534,NaN,NaN,-1.104,0.360,NaN,NaN,22.01,0.55
55,1887,8,-0.912,1.031,-1.016,0.567,NaN,NaN,-1.104,0.362,NaN,NaN,22.01,0.55
56,1887,9,-0.559,1.193,-0.954,0.639,NaN,NaN,-1.108,0.358,NaN,NaN,22.01,0.55
