,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1814,1,-3.041,2.087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
1,1814,2,-4.277,2.035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
2,1814,3,-3.119,1.552,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
3,1814,4,2.147,1.922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
4,1814,5,-1.986,1.796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
5,1814,6,-2.429,3.034,-1.339,1.277,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
6,1814,7,0.270,1.509,-1.291,1.253,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
7,1814,8,-1.077,1.782,-0.738,1.198,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
8,1814,9,-1.681,4.081,-0.278,1.200,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
9,1814,10,-2.225,1.396,-0.355,1.178,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
10,1814,11,0.059,1.807,-0.136,1.170,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
11,1814,12,1.293,1.460,-0.007,1.039,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
12,1815,1,-2.460,1.711,-0.210,1.092,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
13,1815,2,2.351,1.526,-0.292,1.036,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
14,1815,3,2.407,1.660,-0.245,1.147,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
15,1815,4,1.215,1.727,-0.079,1.209,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
16,1815,5,0.644,1.824,-0.184,1.182,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
17,1815,6,-0.878,1.562,-0.440,1.176,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
18,1815,7,-2.166,2.026,-0.167,1.179,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
19,1815,8,-2.067,1.345,-0.445,1.216,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
20,1815,9,-1.113,1.461,-0.767,1.183,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
21,1815,10,-0.238,1.938,-0.827,1.213,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
22,1815,11,-1.196,1.592,-1.024,1.273,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
23,1815,12,-1.772,1.523,-1.231,1.394,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
24,1816,1,0.810,1.764,-1.244,1.468,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
25,1816,2,-0.988,1.873,-1.329,1.514,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
26,1816,3,-1.454,1.389,-1.414,1.638,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
27,1816,4,0.499,2.034,-1.500,1.746,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
28,1816,5,-1.729,2.477,-1.552,1.898,NaN,NaN,NaN,NaN,NaN,NaN,12.85,0.43
29,1816,6,-3.356,2.839,-1.425,1.910,-0.653,1.700,NaN,NaN,NaN,NaN,12.85,0.43
30,1816,7,-2.320,2.874,-1.278,1.947,-0.572,1.671,NaN,NaN,NaN,NaN,12.85,0.43
31,1816,8,-3.095,1.722,-0.929,1.954,-0.474,1.621,NaN,NaN,NaN,NaN,12.85,0.43
32,1816,9,-2.126,2.645,-0.843,2.078,-0.433,1.644,NaN,NaN,NaN,NaN,12.85,0.43
33,1816,10,-1.273,3.105,-1.167,2.084,-0.446,1.574,NaN,NaN,NaN,NaN,12.85,0.43
34,1816,11,-1.817,3.132,-1.150,2.133,-0.392,NaN,NaN,NaN,NaN,NaN,12.85,0.43
35,1816,12,-0.248,1.622,-0.850,2.134,-0.347,NaN,NaN,NaN,NaN,NaN,12.85,0.43
36,1817,1,2.568,2.094,-0.817,2.166,-0.332,NaN,NaN,NaN,NaN,NaN,12.85,0.43
37,1817,2,3.206,1.957,-0.722,2.339,-0.309,NaN,NaN,NaN,NaN,NaN,12.85,0.43
38,1817,3,-0.422,2.573,-0.530,2.273,-0.283,NaN,NaN,NaN,NaN,NaN,12.85,0.43
39,1817,4,-3.398,2.104,-0.743,2.152,-0.255,NaN,NaN,NaN,NaN,NaN,12.85,0.43
40,1817,5,-1.515,3.053,-0.433,2.004,-0.287,NaN,NaN,NaN,NaN,NaN,12.85,0.43
41,1817,6,0.239,2.860,-0.419,2.032,-0.323,NaN,NaN,NaN,NaN,NaN,12.85,0.43
42,1817,7,-1.919,3.280,-0.491,1.984,-0.329,NaN,NaN,NaN,NaN,NaN,12.85,0.43
43,1817,8,-1.958,3.545,-0.716,2.136,-0.372,NaN,NaN,NaN,NaN,NaN,12.85,0.43
44,1817,9,0.179,1.989,-0.713,2.154,-0.435,NaN,NaN,NaN,NaN,NaN,12.85,0.43
45,1817,10,-3.836,1.809,-0.316,2.179,-0.432,NaN,NaN,NaN,NaN,NaN,12.85,0.43
46,1817,11,1.913,1.941,-0.171,2.400,-0.440,NaN,NaN,NaN,NaN,NaN,12.85,0.43
47,1817,12,-0.089,1.654,-0.072,2.565,-0.465,NaN,NaN,NaN,NaN,NaN,12.85,0.43
48,1818,1,1.711,11.148,0.142,2.454,-0.439,NaN,NaN,NaN,NaN,NaN,12.85,0.43
49,1818,2,0.506,7.088,0.207,2.275,-0.386,NaN,NaN,NaN,NaN,NaN,12.85,0.43
50,1818,3,-0.390,10.499,0.160,2.305,-0.378,NaN,NaN,NaN,NaN,NaN,12.85,0.43
51,1818,4,1.369,10.239,0.478,2.310,-0.402,NaN,NaN,NaN,NaN,NaN,12.85,0.43
52,1818,5,0.226,8.327,0.468,2.295,-0.400,NaN,NaN,NaN,NaN,NaN,12.85,0.43
53,1818,6,1.420,7.810,0.357,2.445,-0.380,NaN,NaN,NaN,NaN,NaN,12.85,0.43
54,1818,7,0.659,1.948,0.366,2.364,-0.388,NaN,NaN,NaN,NaN,NaN,12.85,0.43
55,1818,8,-1.179,6.200,0.456,2.176,-0.394,NaN,NaN,NaN,NaN,NaN,12.85,0.43
56,1818,9,-0.391,2.197,0.435,2.164,-0.375,NaN,NaN,NaN,NaN,NaN,12.85,0.43
57,1818,10,-0.014,1.835,0.434,2.581,-0.347,NaN,NaN,NaN,NaN,NaN,12.85,0.43
58,1818,11,1.787,7.897,0.521,NaN,-0.330,NaN,NaN,NaN,NaN,NaN,12.85,0.43
59,1818,12,-1.413,3.753,0.426,NaN,-0.327,NaN,-0.334,NaN,NaN,NaN,12.85,0.43
60,1819,1,1.814,8.422,0.466,NaN,-0.336,NaN,-0.305,NaN,NaN,NaN,12.85,0.43
61,1819,2,1.581,9.041,0.589,NaN,-0.300,NaN,-0.256,NaN,NaN,NaN,12.85,0.43
62,1819,3,-0.633,8.177,0.613,NaN,-0.257,NaN,-0.234,NaN,NaN,NaN,12.85,0.43
63,1819,4,1.356,11.553,0.568,6.624,-0.241,NaN,-0.264,NaN,NaN,NaN,12.85,0.43
64,1819,5,1.266,6.896,0.263,6.927,-0.175,NaN,-0.264,NaN,NaN,NaN,12.85,0.43
65,1819,6,0.275,9.767,0.313,7.132,-0.123,NaN,-0.246,NaN,NaN,NaN,12.85,0.43
66,1819,7,1.139,7.148,-0.077,6.872,-0.141,NaN,-0.253,NaN,NaN,NaN,12.85,0.43
67,1819,8,0.303,9.289,-0.224,6.908,-0.152,NaN,-0.247,NaN,NaN,NaN,12.85,0.43
68,1819,9,-0.103,8.744,-0.287,6.745,-0.100,NaN,-0.227,NaN,NaN,NaN,12.85,0.43
69,1819,10,-0.554,6.979,-0.284,6.777,-0.020,NaN,-0.208,NaN,NaN,NaN,12.85,0.43
70,1819,11,-1.872,9.237,-0.375,NaN,0.042,NaN,-0.200,NaN,NaN,NaN,12.85,0.43
71,1819,12,-0.820,3.517,-0.600,NaN,0.093,NaN,-0.193,NaN,NaN,NaN,12.85,0.43
72,1820,1,-2.859,5.390,-0.742,NaN,0.138,NaN,-0.158,NaN,NaN,NaN,12.85,0.43
73,1820,2,-0.191,8.008,-0.677,NaN,0.165,NaN,-0.169,NaN,NaN,NaN,12.85,0.43
74,1820,3,-1.383,6.590,-0.720,NaN,0.154,NaN,-0.201,NaN,NaN,NaN,12.85,0.43
75,1820,4,1.385,6.651,-0.814,NaN,0.224,NaN,-0.203,NaN,NaN,NaN,12.85,0.43
76,1820,5,0.177,2.986,-0.745,NaN,0.223,NaN,-0.213,NaN,NaN,NaN,12.85,0.43
77,1820,6,-2.416,10.501,-0.728,NaN,0.179,NaN,-0.220,NaN,NaN,NaN,12.85,0.43
78,1820,7,-0.570,6.079,-0.461,NaN,0.081,NaN,-0.204,NaN,NaN,NaN,12.85,0.43
79,1820,8,1.084,8.515,-0.555,NaN,0.087,NaN,-0.192,NaN,NaN,NaN,12.85,0.43
80,1820,9,-0.621,8.248,-0.467,NaN,0.097,NaN,-0.179,NaN,NaN,NaN,12.85,0.43
81,1820,10,-1.680,8.019,-0.402,NaN,0.061,NaN,-0.175,NaN,NaN,NaN,12.85,0.43
82,1820,11,-1.045,6.571,-0.475,5.912,0.065,NaN,-0.158,NaN,NaN,NaN,12.85,0.43
83,1820,12,-0.615,5.950,-0.536,5.984,-0.005,NaN,-0.121,NaN,NaN,NaN,12.85,0.43
84,1821,1,0.342,10.393,-0.730,5.697,-0.043,NaN,-0.150,NaN,NaN,NaN,12.85,0.43
85,1821,2,-1.317,8.318,-0.897,5.202,-0.025,NaN,-0.123,NaN,NaN,NaN,12.85,0.43
86,1821,3,-0.330,11.020,-0.809,4.993,-0.011,NaN,-0.111,NaN,NaN,NaN,12.85,0.43
87,1821,4,2.166,6.626,-0.696,4.933,-0.017,NaN,-0.120,NaN,NaN,NaN,12.85,0.43
88,1821,5,-0.700,13.099,-0.430,4.655,-0.056,NaN,-0.108,NaN,NaN,NaN,12.85,0.43
89,1821,6,-3.151,6.423,-0.138,4.234,-0.015,NaN,-0.083,NaN,NaN,NaN,12.85,0.43
90,1821,7,-2.886,5.946,-0.041,4.268,-0.038,NaN,-0.065,NaN,NaN,NaN,12.85,0.43
91,1821,8,-0.921,6.160,0.277,4.532,-0.037,NaN,-0.046,NaN,NaN,NaN,12.85,0.43
92,1821,9,0.433,5.461,0.531,4.703,-0.035,NaN,-0.028,NaN,NaN,NaN,12.85,0.43
93,1821,10,-0.330,6.895,0.470,NaN,-0.082,NaN,-0.021,NaN,NaN,NaN,12.85,0.43
94,1821,11,2.152,8.433,0.710,NaN,-0.136,NaN,-0.009,NaN,NaN,NaN,12.85,0.43
95,1821,12,2.883,7.398,1.247,NaN,-0.145,NaN,-0.002,NaN,NaN,NaN,12.85,0.43
96,1822,1,1.507,7.577,1.553,NaN,-0.173,NaN,-0.032,NaN,NaN,NaN,12.85,0.43
97,1822,2,2.503,10.900,1.601,NaN,-0.185,NaN,-0.096,NaN,NaN,NaN,12.85,0.43
98,1822,3,2.721,5.747,1.524,NaN,-0.172,NaN,-0.089,NaN,NaN,NaN,12.85,0.43
99,1822,4,1.433,1.699,1.586,NaN,-0.161,NaN,-0.048,NaN,NaN,NaN,12.85,0.43
100,1822,5,2.173,2.250,1.558,1.745,-0.112,NaN,-0.027,NaN,NaN,NaN,12.85,0.43
