,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1814,1,-3.667,2.757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.54,0.71
1,1814,2,-4.842,2.601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.54,0.71
2,1814,3,-2.860,2.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.54,0.71
3,1814,4,1.818,1.401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.54,0.71
4,1814,5,-1.349,1.301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.54,0.71
5,1814,6,-1.388,1.420,-1.334,1.206,NaN,NaN,NaN,NaN,NaN,NaN,5.54,0.71
6,1814,7,0.144,1.372,-1.247,1.153,NaN,NaN,NaN,NaN,NaN,NaN,5.54,0.71
7,1814,8,-0.701,1.226,-0.643,1.027,NaN,NaN,NaN,NaN,NaN,NaN,5.54,0.71
8,1814,9,-1.784,1.437,-0.234,0.929,NaN,NaN,NaN,NaN,NaN,NaN,5.54,0.71
9,1814,10,-2.288,1.365,-0.317,0.928,NaN,NaN,NaN,NaN,NaN,NaN,5.54,0.71
10,1814,11,0.018,1.985,-0.104,0.947,NaN,NaN,NaN,NaN,NaN,NaN,5.54,0.71
11,1814,12,0.893,1.725,0.049,0.927,NaN,NaN,NaN,NaN,NaN,NaN,5.54,0.71
12,1815,1,-2.630,1.796,-0.084,0.901,NaN,NaN,NaN,NaN,NaN,NaN,5.54,0.71
13,1815,2,2.408,1.304,-0.101,0.915,NaN,NaN,NaN,NaN,NaN,NaN,5.54,0.71
14,1815,3,2.051,1.135,-0.047,0.940,NaN,NaN,NaN,NaN,NaN,NaN,5.54,0.71
15,1815,4,0.819,1.363,0.097,0.981,NaN,NaN,NaN,NaN,NaN,NaN,5.54,0.71
16,1815,5,1.208,1.520,-0.043,0.900,NaN,NaN,NaN,NaN,NaN,NaN,5.54,0.71
17,1815,6,0.452,1.155,-0.292,0.925,NaN,NaN,NaN,NaN,NaN,NaN,5.54,0.71
18,1815,7,-1.458,1.212,0.003,0.894,NaN,NaN,NaN,NaN,NaN,NaN,5.54,0.71
19,1815,8,-0.897,1.336,-0.276,0.886,NaN,NaN,NaN,NaN,NaN,NaN,5.54,0.71
