,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1818,1,2.020,7.696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.84,0.21
1,1818,2,2.554,5.220,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.84,0.21
2,1818,3,0.720,7.538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.84,0.21
3,1818,4,1.989,7.275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.84,0.21
4,1818,5,2.868,6.302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.84,0.21
5,1818,6,2.535,5.673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.84,0.21
6,1818,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.84,0.21
7,1818,8,-1.267,4.100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.84,0.21
8,1818,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.84,0.21
9,1818,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.84,0.21
10,1818,11,1.078,4.494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.84,0.21
11,1818,12,0.743,3.329,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.84,0.21
12,1819,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.84,0.21
13,1819,2,1.487,6.812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.84,0.21
14,1819,3,-0.302,5.670,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.84,0.21
15,1819,4,1.113,8.284,1.668,4.245,NaN,NaN,NaN,NaN,NaN,NaN,3.84,0.21
16,1819,5,3.265,4.956,1.545,4.499,NaN,NaN,NaN,NaN,NaN,NaN,3.84,0.21
17,1819,6,4.579,7.578,1.517,4.648,NaN,NaN,NaN,NaN,NaN,NaN,3.84,0.21
18,1819,7,2.812,5.208,1.337,4.486,NaN,NaN,NaN,NaN,NaN,NaN,3.84,0.21
19,1819,8,NaN,NaN,1.394,4.513,NaN,NaN,NaN,NaN,NaN,NaN,3.84,0.21
20,1819,9,-0.137,6.112,1.500,4.364,NaN,NaN,NaN,NaN,NaN,NaN,3.84,0.21
21,1819,10,1.528,5.541,1.415,4.413,NaN,NaN,NaN,NaN,NaN,NaN,3.84,0.21
22,1819,11,-0.397,7.298,1.233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.84,0.21
23,1819,12,0.399,3.146,0.753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.84,0.21
24,1820,1,0.047,4.168,0.759,NaN,1.188,NaN,NaN,NaN,NaN,NaN,3.84,0.21
