,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1875,1,-1.904,1.642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.37,1.20
1,1875,2,-1.130,0.752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.37,1.20
2,1875,3,-0.317,1.517,-0.964,0.918,NaN,NaN,NaN,NaN,NaN,NaN,8.37,1.20
3,1875,4,0.184,0.959,-1.071,0.939,NaN,NaN,NaN,NaN,NaN,NaN,8.37,1.20
4,1875,5,-1.729,1.432,-1.112,0.944,NaN,NaN,NaN,NaN,NaN,NaN,8.37,1.20
5,1875,6,-0.677,0.997,-1.104,1.014,NaN,NaN,NaN,NaN,NaN,NaN,8.37,1.20
6,1875,7,-0.543,0.830,-1.040,0.972,NaN,NaN,NaN,NaN,NaN,NaN,8.37,1.20
7,1875,8,-1.128,1.107,-1.119,1.041,NaN,NaN,NaN,NaN,NaN,NaN,8.37,1.20
8,1875,9,-0.726,0.931,-1.194,0.929,NaN,NaN,NaN,NaN,NaN,NaN,8.37,1.20
9,1875,10,-1.912,1.118,-1.355,0.921,NaN,NaN,NaN,NaN,NaN,NaN,8.37,1.20
10,1875,11,-2.417,1.216,-1.297,0.891,NaN,NaN,NaN,NaN,NaN,NaN,8.37,1.20
11,1875,12,-0.955,1.704,-1.231,0.849,NaN,NaN,NaN,NaN,NaN,NaN,8.37,1.20
12,1876,1,-1.131,1.407,-1.211,0.793,NaN,NaN,NaN,NaN,NaN,NaN,8.37,1.20
13,1876,2,-2.079,1.790,-1.155,0.722,NaN,NaN,NaN,NaN,NaN,NaN,8.37,1.20
14,1876,3,-1.219,0.978,-1.158,0.696,-1.094,0.531,NaN,NaN,NaN,NaN,8.37,1.20
15,1876,4,-1.749,1.093,-1.154,0.677,-1.074,0.529,NaN,NaN,NaN,NaN,8.37,1.20
16,1876,5,-1.025,0.979,-1.134,0.579,-1.056,0.521,NaN,NaN,NaN,NaN,8.37,1.20
17,1876,6,0.117,0.709,-1.240,0.443,-1.060,0.514,NaN,NaN,NaN,NaN,8.37,1.20
18,1876,7,-0.311,0.854,-1.124,0.405,-1.063,0.502,NaN,NaN,NaN,NaN,8.37,1.20
19,1876,8,-0.451,0.649,-1.192,0.333,-1.059,0.492,NaN,NaN,NaN,NaN,8.37,1.20
20,1876,9,-0.758,1.126,-1.190,0.365,-1.043,0.492,NaN,NaN,NaN,NaN,8.37,1.20
21,1876,10,-1.867,0.783,-1.253,0.346,-1.016,0.487,NaN,NaN,NaN,NaN,8.37,1.20
22,1876,11,-2.180,0.901,-1.308,0.326,-0.997,0.488,NaN,NaN,NaN,NaN,8.37,1.20
23,1876,12,-2.226,1.169,-1.367,0.335,-0.992,0.494,NaN,NaN,NaN,NaN,8.37,1.20
24,1877,1,0.261,0.787,-1.349,0.341,-0.988,0.485,NaN,NaN,NaN,NaN,8.37,1.20
25,1877,2,-2.892,0.785,-1.307,0.356,-0.990,0.484,NaN,NaN,NaN,NaN,8.37,1.20
26,1877,3,-1.200,0.664,-1.272,0.375,-0.985,0.474,NaN,NaN,NaN,NaN,8.37,1.20
27,1877,4,-2.507,1.068,-1.221,0.392,-0.981,0.459,NaN,NaN,NaN,NaN,8.37,1.20
28,1877,5,-1.686,1.103,-1.051,0.455,-0.991,0.441,NaN,NaN,NaN,NaN,8.37,1.20
29,1877,6,-0.589,0.677,-0.885,0.527,-1.013,0.431,-1.021,0.377,NaN,NaN,8.37,1.20
30,1877,7,-0.088,0.543,-1.075,0.618,-0.991,0.417,-1.022,0.374,NaN,NaN,8.37,1.20
31,1877,8,0.048,0.820,-0.847,0.713,-0.994,0.419,-1.025,0.373,NaN,NaN,8.37,1.20
32,1877,9,-0.333,1.043,-0.877,0.743,-0.984,0.413,-1.025,0.373,NaN,NaN,8.37,1.20
33,1877,10,-1.259,0.994,-0.759,0.774,-0.981,0.417,-1.030,0.380,NaN,NaN,8.37,1.20
