,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1853,1,-1.061,1.529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.59,0.32
1,1853,2,-1.529,1.868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.59,0.32
2,1853,3,-1.957,1.568,-0.853,0.744,NaN,NaN,NaN,NaN,NaN,NaN,10.59,0.32
3,1853,4,-0.882,1.214,-0.821,0.699,NaN,NaN,NaN,NaN,NaN,NaN,10.59,0.32
4,1853,5,-0.412,1.241,-0.765,0.632,NaN,NaN,NaN,NaN,NaN,NaN,10.59,0.32
5,1853,6,-0.814,1.322,-0.779,0.572,NaN,NaN,NaN,NaN,NaN,NaN,10.59,0.32
6,1853,7,0.086,1.223,-0.654,0.523,NaN,NaN,NaN,NaN,NaN,NaN,10.59,0.32
7,1853,8,-0.494,1.439,-0.520,0.688,NaN,NaN,NaN,NaN,NaN,NaN,10.59,0.32
8,1853,9,-0.807,1.523,-0.330,0.846,NaN,NaN,NaN,NaN,NaN,NaN,10.59,0.32
9,1853,10,-0.165,1.250,-0.326,0.869,NaN,NaN,NaN,NaN,NaN,NaN,10.59,0.32
10,1853,11,-1.047,1.362,-0.289,0.908,NaN,NaN,NaN,NaN,NaN,NaN,10.59,0.32
11,1853,12,-0.267,1.421,-0.184,1.028,NaN,NaN,NaN,NaN,NaN,NaN,10.59,0.32
12,1854,1,0.439,4.240,-0.191,1.050,NaN,NaN,NaN,NaN,NaN,NaN,10.59,0.32
13,1854,2,0.080,3.540,-0.154,1.137,NaN,NaN,NaN,NaN,NaN,NaN,10.59,0.32
14,1854,3,0.328,2.569,-0.149,1.182,-0.369,0.637,NaN,NaN,NaN,NaN,10.59,0.32
15,1854,4,-0.836,1.574,-0.134,1.173,-0.358,0.667,NaN,NaN,NaN,NaN,10.59,0.32
16,1854,5,0.031,1.151,-0.059,1.272,-0.347,0.681,NaN,NaN,NaN,NaN,10.59,0.32
17,1854,6,0.439,2.321,-0.031,1.271,-0.309,0.736,NaN,NaN,NaN,NaN,10.59,0.32
18,1854,7,0.011,1.348,-0.017,1.097,-0.294,0.744,NaN,NaN,NaN,NaN,10.59,0.32
19,1854,8,-0.056,1.200,-0.064,0.842,-0.284,0.742,NaN,NaN,NaN,NaN,10.59,0.32
20,1854,9,-0.747,1.070,-0.118,0.798,-0.256,0.753,NaN,NaN,NaN,NaN,10.59,0.32
21,1854,10,0.022,1.326,-0.051,0.775,-0.242,0.771,NaN,NaN,NaN,NaN,10.59,0.32
22,1854,11,-0.158,1.462,-0.047,0.764,-0.255,0.798,NaN,NaN,NaN,NaN,10.59,0.32
23,1854,12,0.070,2.919,-0.056,0.723,-0.252,0.808,NaN,NaN,NaN,NaN,10.59,0.32
24,1855,1,0.617,1.866,-0.045,0.808,-0.254,0.809,NaN,NaN,NaN,NaN,10.59,0.32
25,1855,2,-0.485,1.866,-0.002,0.909,-0.239,0.827,NaN,NaN,NaN,NaN,10.59,0.32
26,1855,3,-0.324,1.839,0.040,0.932,-0.222,0.840,NaN,NaN,NaN,NaN,10.59,0.32
27,1855,4,-0.032,1.544,0.055,1.023,-0.221,0.844,NaN,NaN,NaN,NaN,10.59,0.32
28,1855,5,0.080,1.201,0.053,1.080,-0.200,0.849,NaN,NaN,NaN,NaN,10.59,0.32
29,1855,6,0.330,1.661,0.081,1.095,-0.198,0.871,-0.396,0.567,NaN,NaN,10.59,0.32
30,1855,7,0.137,1.828,-0.010,1.010,-0.194,0.887,-0.403,0.558,NaN,NaN,10.59,0.32
31,1855,8,0.463,2.174,-0.024,1.095,-0.176,0.907,-0.409,0.549,NaN,NaN,10.59,0.32
32,1855,9,-0.238,1.150,-0.011,1.053,-0.141,0.937,-0.411,0.539,NaN,NaN,10.59,0.32
33,1855,10,0.202,2.375,0.036,1.201,-0.145,0.932,-0.406,0.536,NaN,NaN,10.59,0.32
34,1855,11,-0.190,1.891,-0.014,1.252,-0.143,0.961,-0.400,0.539,NaN,NaN,10.59,0.32
35,1855,12,0.406,2.157,-0.066,1.144,-0.133,0.958,-0.398,0.556,NaN,NaN,10.59,0.32
36,1856,1,-0.470,0.905,-0.102,1.137,-0.139,0.988,-0.412,0.557,NaN,NaN,10.59,0.32
37,1856,2,-0.654,1.651,-0.111,1.103,-0.136,1.017,-0.405,0.568,NaN,NaN,10.59,0.32
38,1856,3,-0.167,1.405,-0.083,1.144,-0.125,1.058,-0.400,0.567,NaN,NaN,10.59,0.32
39,1856,4,0.534,1.717,-0.085,1.189,-0.124,1.056,-0.394,0.572,NaN,NaN,10.59,0.32
40,1856,5,-0.523,1.213,-0.133,1.160,-0.117,1.051,-0.389,0.587,NaN,NaN,10.59,0.32
41,1856,6,-0.292,1.569,-0.034,1.413,-0.119,1.058,-0.387,0.592,NaN,NaN,10.59,0.32
42,1856,7,-0.299,1.870,0.047,1.502,-0.138,1.004,-0.390,0.593,NaN,NaN,10.59,0.32
43,1856,8,0.362,1.810,0.060,1.464,-0.157,0.953,-0.397,0.581,NaN,NaN,10.59,0.32
44,1856,9,0.095,1.422,0.042,1.468,-0.180,0.911,-0.394,0.587,NaN,NaN,10.59,0.32
45,1856,10,0.183,2.794,-0.018,1.453,-0.169,0.908,-0.395,0.590,NaN,NaN,10.59,0.32
46,1856,11,-0.772,1.493,-0.055,1.536,-0.168,0.905,-0.392,0.582,NaN,NaN,10.59,0.32
47,1856,12,1.590,4.635,-0.047,1.581,-0.174,0.876,-0.387,0.585,NaN,NaN,10.59,0.32
48,1857,1,0.506,1.577,-0.042,1.464,-0.187,0.871,-0.398,0.583,NaN,NaN,10.59,0.32
49,1857,2,-0.499,1.150,-0.074,1.427,-0.198,0.861,-0.392,0.594,NaN,NaN,10.59,0.32
50,1857,3,-0.378,1.389,-0.063,1.411,-0.204,0.848,-0.382,0.596,NaN,NaN,10.59,0.32
51,1857,4,-0.184,1.633,-0.120,1.230,-0.191,0.870,-0.385,0.594,NaN,NaN,10.59,0.32
52,1857,5,-0.970,2.162,-0.097,1.174,-0.195,0.858,-0.394,0.582,NaN,NaN,10.59,0.32
53,1857,6,-0.198,1.094,-0.226,0.960,-0.196,0.824,-0.394,0.580,NaN,NaN,10.59,0.32
54,1857,7,-0.246,1.072,-0.336,0.973,-0.226,0.794,-0.402,0.570,NaN,NaN,10.59,0.32
55,1857,8,-0.018,1.520,-0.330,1.030,-0.243,0.793,-0.404,0.569,NaN,NaN,10.59,0.32
56,1857,9,0.225,1.457,-0.291,1.079,-0.257,0.793,-0.404,0.569,NaN,NaN,10.59,0.32
57,1857,10,-0.498,1.064,-0.367,0.951,-0.263,0.803,-0.412,0.566,NaN,NaN,10.59,0.32
58,1857,11,-0.499,0.978,-0.313,0.943,-0.262,0.815,-0.399,0.579,NaN,NaN,10.59,0.32
59,1857,12,0.042,1.989,-0.310,0.927,-0.259,0.808,-0.411,0.581,-0.494,0.408,10.59,0.32
60,1858,1,-0.806,1.842,-0.316,1.005,-0.274,0.762,-0.400,0.577,-0.492,0.406,10.59,0.32
61,1858,2,-0.428,1.520,-0.337,0.983,-0.295,0.712,-0.393,0.577,-0.501,0.403,10.59,0.32
62,1858,3,0.085,1.863,-0.369,1.030,-0.308,0.680,-0.385,0.582,-0.501,0.405,10.59,0.32
63,1858,4,-1.088,1.154,-0.336,1.042,-0.327,0.642,-0.388,0.573,-0.500,0.407,10.59,0.32
64,1858,5,-0.326,2.092,-0.346,0.959,-0.339,0.630,-0.388,0.569,-0.498,0.407,10.59,0.32
65,1858,6,-0.167,0.945,-0.382,0.942,-0.357,0.657,-0.386,0.563,-0.500,0.407,10.59,0.32
66,1858,7,-0.311,1.658,-0.372,0.911,-0.380,0.664,-0.384,0.565,-0.499,0.407,10.59,0.32
67,1858,8,-0.277,1.497,-0.430,0.858,-0.372,0.685,-0.386,0.566,-0.501,0.406,10.59,0.32
68,1858,9,-0.155,2.130,-0.524,0.735,-0.386,0.670,-0.386,0.567,-0.499,0.405,10.59,0.32
69,1858,10,-0.105,1.063,-0.448,0.769,-0.404,0.661,-0.389,0.560,-0.501,0.406,10.59,0.32
70,1858,11,-0.623,1.313,-0.412,0.723,-0.391,0.686,-0.392,0.564,-0.498,0.405,10.59,0.32
71,1858,12,-0.379,1.832,-0.391,0.724,-0.385,0.690,-0.400,0.557,-0.497,0.406,10.59,0.32
72,1859,1,-0.697,1.460,-0.430,0.657,-0.386,0.673,-0.408,0.534,-0.496,0.406,10.59,0.32
73,1859,2,-1.117,1.348,-0.465,0.608,-0.411,0.631,-0.414,0.517,-0.494,0.406,10.59,0.32
74,1859,3,-1.047,1.432,-0.543,0.608,-0.420,0.628,-0.431,0.503,-0.497,0.407,10.59,0.32
