,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1880,8,-0.428,1.231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.95,0.51
1,1880,9,-0.286,1.448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.95,0.51
2,1880,10,-0.535,1.002,-0.142,0.561,NaN,NaN,NaN,NaN,NaN,NaN,26.95,0.51
3,1880,11,-0.351,0.805,-0.079,0.564,NaN,NaN,NaN,NaN,NaN,NaN,26.95,0.51
4,1880,12,0.454,0.886,-0.047,0.566,NaN,NaN,NaN,NaN,NaN,NaN,26.95,0.51
5,1881,1,0.333,0.902,0.012,0.560,NaN,NaN,NaN,NaN,NaN,NaN,26.95,0.51
6,1881,2,0.343,0.895,0.055,0.540,NaN,NaN,NaN,NaN,NaN,NaN,26.95,0.51
7,1881,3,0.199,1.238,0.064,0.521,NaN,NaN,NaN,NaN,NaN,NaN,26.95,0.51
8,1881,4,-0.320,0.857,0.119,0.506,NaN,NaN,NaN,NaN,NaN,NaN,26.95,0.51
9,1881,5,0.636,0.990,0.116,0.503,NaN,NaN,NaN,NaN,NaN,NaN,26.95,0.51
10,1881,6,-0.274,1.221,0.067,0.494,NaN,NaN,NaN,NaN,NaN,NaN,26.95,0.51
11,1881,7,0.377,1.031,0.080,0.496,NaN,NaN,NaN,NaN,NaN,NaN,26.95,0.51
12,1881,8,NaN,NaN,0.005,0.477,NaN,NaN,NaN,NaN,NaN,NaN,26.95,0.51
13,1881,9,-0.176,1.182,-0.080,0.458,NaN,NaN,NaN,NaN,NaN,NaN,26.95,0.51
14,1881,10,0.122,1.020,-0.074,0.480,NaN,NaN,NaN,NaN,NaN,NaN,26.95,0.51
15,1881,11,-0.382,0.818,-0.151,0.466,-0.373,0.328,NaN,NaN,NaN,NaN,26.95,0.51
16,1881,12,-0.141,0.895,-0.173,0.456,-0.382,0.335,NaN,NaN,NaN,NaN,26.95,0.51
17,1882,1,0.497,0.923,-0.316,0.437,-0.384,0.340,NaN,NaN,NaN,NaN,26.95,0.51
18,1882,2,-0.561,1.016,-0.384,0.424,-0.381,0.342,NaN,NaN,NaN,NaN,26.95,0.51
19,1882,3,-0.816,0.960,-0.401,0.398,-0.359,0.338,NaN,NaN,NaN,NaN,26.95,0.51
20,1882,4,-0.250,0.824,-0.449,0.405,-0.362,0.334,NaN,NaN,NaN,NaN,26.95,0.51
21,1882,5,-0.292,0.922,-0.541,0.396,-0.359,0.331,NaN,NaN,NaN,NaN,26.95,0.51
22,1882,6,-0.538,0.939,-0.532,0.411,-0.356,0.325,NaN,NaN,NaN,NaN,26.95,0.51
23,1882,7,-1.341,0.960,-0.602,0.439,-0.378,0.331,NaN,NaN,NaN,NaN,26.95,0.51
24,1882,8,-0.727,0.957,-0.606,0.483,-0.364,0.330,NaN,NaN,NaN,NaN,26.95,0.51
25,1882,9,-0.382,0.766,-0.580,0.491,-0.381,0.322,NaN,NaN,NaN,NaN,26.95,0.51
26,1882,10,-0.450,0.927,-0.580,0.513,-0.400,0.332,NaN,NaN,NaN,NaN,26.95,0.51
27,1882,11,-1.489,0.845,-0.571,0.499,-0.402,0.333,NaN,NaN,NaN,NaN,26.95,0.51
28,1882,12,-0.032,1.299,-0.502,0.472,-0.396,0.332,NaN,NaN,NaN,NaN,26.95,0.51
29,1883,1,-0.349,0.914,-0.483,0.427,-0.386,0.332,NaN,NaN,NaN,NaN,26.95,0.51
30,1883,2,-0.606,1.265,-0.497,0.439,-0.376,0.333,NaN,NaN,NaN,NaN,26.95,0.51
31,1883,3,-0.509,0.966,-0.519,0.442,-0.378,0.323,NaN,NaN,NaN,NaN,26.95,0.51
32,1883,4,-0.248,1.019,-0.486,0.411,-0.375,0.319,NaN,NaN,NaN,NaN,26.95,0.51
33,1883,5,-0.182,0.901,-0.487,0.431,-0.365,0.324,NaN,NaN,NaN,NaN,26.95,0.51
34,1883,6,0.286,0.721,-0.540,0.394,-0.376,0.325,NaN,NaN,NaN,NaN,26.95,0.51
35,1883,7,-1.104,1.356,-0.538,0.363,-0.394,0.332,-0.387,0.291,NaN,NaN,26.95,0.51
36,1883,8,-0.899,1.124,-0.555,0.363,-0.421,0.332,-0.395,0.301,NaN,NaN,26.95,0.51
37,1883,9,-0.643,0.960,-0.566,0.365,-0.437,0.335,-0.402,0.309,NaN,NaN,26.95,0.51
38,1883,10,-0.053,0.836,-0.592,0.357,-0.431,0.341,-0.405,0.307,NaN,NaN,26.95,0.51
39,1883,11,-1.498,0.853,-0.641,0.353,-0.432,0.336,-0.402,0.310,NaN,NaN,26.95,0.51
40,1883,12,-0.672,0.825,-0.728,0.363,-0.421,0.332,-0.384,0.309,NaN,NaN,26.95,0.51
41,1884,1,-0.323,0.751,-0.659,0.439,-0.420,0.332,-0.386,0.306,NaN,NaN,26.95,0.51
42,1884,2,-0.815,0.843,-0.593,0.421,-0.430,0.334,-0.379,0.305,NaN,NaN,26.95,0.51
43,1884,3,-0.646,1.189,-0.501,0.439,-0.436,0.330,-0.361,0.306,NaN,NaN,26.95,0.51
44,1884,4,-0.558,0.884,-0.540,0.434,-0.435,0.333,-0.357,0.302,NaN,NaN,26.95,0.51
45,1884,5,-0.768,0.969,-0.507,0.412,-0.440,0.333,-0.351,0.305,NaN,NaN,26.95,0.51
46,1884,6,-0.761,0.765,-0.471,0.422,-0.458,0.335,-0.350,0.309,NaN,NaN,26.95,0.51
47,1884,7,-0.274,1.137,-0.527,0.491,-0.488,0.351,-0.349,0.306,NaN,NaN,26.95,0.51
48,1884,8,-0.104,0.786,-0.545,0.546,-0.487,0.362,-0.350,0.304,NaN,NaN,26.95,0.51
49,1884,9,0.465,1.416,-0.552,0.486,-0.485,0.373,-0.341,0.306,NaN,NaN,26.95,0.51
50,1884,10,-0.524,0.717,-0.612,0.516,-0.484,0.373,-0.345,0.306,NaN,NaN,26.95,0.51
51,1884,11,-1.104,0.856,-0.570,0.500,-0.492,0.377,-0.347,0.314,NaN,NaN,26.95,0.51
52,1884,12,-0.243,1.032,-0.531,0.501,-0.490,0.384,-0.341,0.314,NaN,NaN,26.95,0.51
53,1885,1,-0.992,1.393,-0.486,0.495,-0.479,0.384,-0.337,0.315,NaN,NaN,26.95,0.51
54,1885,2,-1.035,1.065,-0.460,0.517,-0.485,0.380,-0.317,0.312,NaN,NaN,26.95,0.51
55,1885,3,-0.729,0.808,NaN,NaN,-0.491,0.392,-0.325,0.313,NaN,NaN,26.95,0.51
56,1885,4,-1.275,1.249,NaN,NaN,-0.492,0.384,-0.325,0.312,NaN,NaN,26.95,0.51
57,1885,5,-0.259,0.754,NaN,NaN,-0.464,0.384,-0.335,0.314,NaN,NaN,26.95,0.51
58,1885,6,NaN,NaN,NaN,NaN,-0.469,0.383,-0.332,0.311,NaN,NaN,26.95,0.51
59,1885,7,NaN,NaN,NaN,NaN,-0.473,0.372,-0.337,0.302,NaN,NaN,26.95,0.51
60,1885,8,NaN,NaN,NaN,NaN,-0.470,0.369,-0.348,0.296,NaN,NaN,26.95,0.51
61,1885,9,NaN,NaN,NaN,NaN,-0.465,0.366,-0.353,0.295,NaN,NaN,26.95,0.51
62,1885,10,NaN,NaN,NaN,NaN,-0.462,0.370,-0.353,0.296,NaN,NaN,26.95,0.51
63,1885,11,0.245,0.933,NaN,NaN,-0.467,0.374,-0.352,0.298,NaN,NaN,26.95,0.51
64,1885,12,-0.206,0.983,NaN,NaN,-0.483,0.386,-0.361,0.303,NaN,NaN,26.95,0.51
65,1886,1,-0.748,1.090,-0.157,0.537,-0.467,0.400,-0.365,0.306,-0.281,0.185,26.95,0.51
66,1886,2,-1.250,0.903,-0.215,0.530,-0.458,0.406,-0.369,0.307,-0.281,0.185,26.95,0.51
67,1886,3,-0.795,1.338,-0.224,0.539,-0.450,0.414,-0.375,0.300,-0.282,0.185,26.95,0.51
68,1886,4,0.021,1.025,-0.184,0.577,-0.450,0.409,-0.372,0.301,-0.281,0.185,26.95,0.51
69,1886,5,0.605,0.752,-0.258,0.555,-0.428,0.410,-0.382,0.298,-0.283,0.186,26.95,0.51
70,1886,6,0.384,0.962,-0.344,0.538,-0.398,0.411,-0.389,0.298,-0.281,0.185,26.95,0.51
71,1886,7,0.426,0.857,-0.392,0.568,-0.394,0.415,-0.399,0.302,-0.278,0.185,26.95,0.51
72,1886,8,-0.497,0.874,-0.327,0.578,-0.378,0.414,-0.404,0.300,-0.280,0.186,26.95,0.51
73,1886,9,-0.527,0.850,-0.320,0.562,-0.358,0.401,-0.399,0.299,-0.277,0.187,26.95,0.51
74,1886,10,0.135,0.992,-0.339,0.525,-0.348,0.388,-0.397,0.297,-0.277,0.188,26.95,0.51
75,1886,11,-0.638,0.819,-0.451,0.541,-0.330,0.385,-0.391,0.298,-0.278,0.188,26.95,0.51
76,1886,12,-1.246,0.791,-0.518,0.559,-0.317,0.383,-0.384,0.299,-0.279,0.189,26.95,0.51
77,1887,1,-1.318,1.360,-0.610,0.531,-0.315,0.370,-0.389,0.300,-0.283,0.191,26.95,0.51
78,1887,2,-0.478,0.925,-0.660,0.499,-0.319,0.367,-0.387,0.301,-0.286,0.192,26.95,0.51
79,1887,3,-0.701,1.120,-0.677,0.532,-0.323,0.368,-0.379,0.298,-0.291,0.193,26.95,0.51
80,1887,4,-0.208,0.775,-0.730,0.485,-0.329,0.370,-0.369,0.299,-0.294,0.193,26.95,0.51
