,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1878,1,-1.071,1.480,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.53,0.43
1,1878,2,-0.732,1.935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.53,0.43
2,1878,3,1.100,1.245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.53,0.43
3,1878,4,0.551,1.226,0.160,0.810,NaN,NaN,NaN,NaN,NaN,NaN,33.53,0.43
4,1878,5,1.122,1.214,0.177,0.785,NaN,NaN,NaN,NaN,NaN,NaN,33.53,0.43
5,1878,6,-0.152,1.526,0.217,0.777,NaN,NaN,NaN,NaN,NaN,NaN,33.53,0.43
6,1878,7,NaN,NaN,0.371,0.710,NaN,NaN,NaN,NaN,NaN,NaN,33.53,0.43
7,1878,8,0.297,1.592,0.428,0.735,NaN,NaN,NaN,NaN,NaN,NaN,33.53,0.43
8,1878,9,0.985,1.465,0.259,0.776,NaN,NaN,NaN,NaN,NaN,NaN,33.53,0.43
9,1878,10,0.338,1.261,0.205,0.750,NaN,NaN,NaN,NaN,NaN,NaN,33.53,0.43
10,1878,11,-0.029,1.229,0.078,0.700,NaN,NaN,NaN,NaN,NaN,NaN,33.53,0.43
11,1878,12,0.080,1.636,0.020,0.656,NaN,NaN,NaN,NaN,NaN,NaN,33.53,0.43
12,1879,1,0.776,1.080,0.034,0.629,NaN,NaN,NaN,NaN,NaN,NaN,33.53,0.43
13,1879,2,-0.040,1.681,-0.010,0.582,NaN,NaN,NaN,NaN,NaN,NaN,33.53,0.43
14,1879,3,-0.932,1.604,-0.086,0.606,NaN,NaN,NaN,NaN,NaN,NaN,33.53,0.43
15,1879,4,-0.094,1.332,-0.117,0.572,NaN,NaN,NaN,NaN,NaN,NaN,33.53,0.43
16,1879,5,-0.407,1.664,-0.120,0.562,NaN,NaN,NaN,NaN,NaN,NaN,33.53,0.43
17,1879,6,-0.844,1.745,-0.110,0.543,NaN,NaN,NaN,NaN,NaN,NaN,33.53,0.43
18,1879,7,0.282,1.254,-0.081,0.541,0.090,0.268,NaN,NaN,NaN,NaN,33.53,0.43
19,1879,8,NaN,NaN,-0.233,0.515,0.068,0.274,NaN,NaN,NaN,NaN,33.53,0.43
20,1879,9,0.065,1.469,-0.042,0.488,0.045,0.272,NaN,NaN,NaN,NaN,33.53,0.43
21,1879,10,-0.035,1.170,0.019,0.485,0.051,0.276,NaN,NaN,NaN,NaN,33.53,0.43
22,1879,11,-0.063,1.641,0.075,0.477,0.063,0.279,NaN,NaN,NaN,NaN,33.53,0.43
23,1879,12,0.202,1.956,0.126,0.538,0.056,0.278,NaN,NaN,NaN,NaN,33.53,0.43
24,1880,1,1.123,1.313,0.097,0.527,0.029,0.274,NaN,NaN,NaN,NaN,33.53,0.43
25,1880,2,-1.862,1.385,0.112,0.522,-0.008,0.278,NaN,NaN,NaN,NaN,33.53,0.43
26,1880,3,1.363,1.224,0.119,0.513,-0.001,0.275,NaN,NaN,NaN,NaN,33.53,0.43
27,1880,4,0.630,1.257,0.116,0.502,0.008,0.277,NaN,NaN,NaN,NaN,33.53,0.43
28,1880,5,0.268,1.616,0.119,0.502,-0.002,0.281,NaN,NaN,NaN,NaN,33.53,0.43
29,1880,6,NaN,NaN,0.049,0.509,-0.007,0.284,NaN,NaN,NaN,NaN,33.53,0.43
30,1880,7,NaN,NaN,-0.064,0.518,0.001,0.282,NaN,NaN,NaN,NaN,33.53,0.43
31,1880,8,-0.050,1.539,0.168,0.495,-0.002,0.283,NaN,NaN,NaN,NaN,33.53,0.43
32,1880,9,0.152,1.266,0.040,0.498,-0.042,0.286,NaN,NaN,NaN,NaN,33.53,0.43
33,1880,10,-0.074,1.048,0.000,0.515,-0.039,0.289,-0.172,0.283,NaN,NaN,33.53,0.43
34,1880,11,-0.028,1.708,0.100,0.523,-0.061,0.293,-0.157,0.289,NaN,NaN,33.53,0.43
35,1880,12,-0.644,1.452,0.115,0.522,-0.047,0.284,-0.149,0.290,NaN,NaN,33.53,0.43
36,1881,1,-0.233,1.063,0.151,0.541,-0.070,0.276,-0.146,0.291,NaN,NaN,33.53,0.43
37,1881,2,0.929,1.251,0.116,0.609,-0.076,0.277,-0.146,0.290,NaN,NaN,33.53,0.43
38,1881,3,-0.173,1.462,0.077,0.629,-0.095,0.279,-0.141,0.299,NaN,NaN,33.53,0.43
39,1881,4,0.151,1.709,0.087,0.634,-0.101,0.290,-0.133,0.306,NaN,NaN,33.53,0.43
40,1881,5,1.457,1.208,0.084,0.622,-0.116,0.299,-0.121,0.308,NaN,NaN,33.53,0.43
41,1881,6,-0.047,1.236,0.146,0.592,-0.132,0.309,-0.118,0.311,NaN,NaN,33.53,0.43
42,1881,7,0.369,1.282,0.177,0.596,-0.143,0.310,-0.112,0.315,NaN,NaN,33.53,0.43
43,1881,8,-0.465,0.987,0.007,0.609,-0.159,0.305,-0.111,0.320,NaN,NaN,33.53,0.43
44,1881,9,-0.313,1.440,-0.079,0.592,-0.155,0.305,-0.108,0.325,NaN,NaN,33.53,0.43
45,1881,10,0.038,1.436,-0.069,0.554,-0.161,0.305,-0.097,0.333,NaN,NaN,33.53,0.43
46,1881,11,-0.055,1.416,-0.147,0.593,-0.154,0.308,-0.085,0.336,NaN,NaN,33.53,0.43
47,1881,12,0.100,1.773,-0.145,0.611,-0.142,0.309,-0.091,0.339,NaN,NaN,33.53,0.43
48,1882,1,0.132,1.092,-0.253,0.553,-0.153,0.319,-0.097,0.343,NaN,NaN,33.53,0.43
49,1882,2,-1.114,1.138,-0.252,0.535,-0.158,0.324,-0.101,0.351,NaN,NaN,33.53,0.43
50,1882,3,-1.203,0.951,-0.199,0.453,-0.155,0.322,-0.106,0.355,NaN,NaN,33.53,0.43
51,1882,4,0.279,1.336,-0.207,0.455,-0.162,0.324,-0.100,0.357,NaN,NaN,33.53,0.43
52,1882,5,0.521,1.311,-0.271,0.451,-0.169,0.334,-0.104,0.360,NaN,NaN,33.53,0.43
53,1882,6,-0.034,0.971,-0.338,0.523,-0.175,0.345,-0.114,0.365,NaN,NaN,33.53,0.43
54,1882,7,-0.921,1.516,-0.398,0.559,-0.217,0.355,-0.123,0.364,NaN,NaN,33.53,0.43
55,1882,8,-0.455,1.053,-0.382,0.551,-0.210,0.372,-0.142,0.366,NaN,NaN,33.53,0.43
56,1882,9,0.329,1.350,-0.389,0.593,-0.249,0.382,-0.140,0.369,NaN,NaN,33.53,0.43
57,1882,10,-0.057,1.545,-0.350,0.580,-0.286,0.401,-0.136,0.374,NaN,NaN,33.53,0.43
58,1882,11,-0.827,1.552,-0.409,0.612,-0.303,0.407,-0.130,0.377,NaN,NaN,33.53,0.43
59,1882,12,-0.703,1.706,-0.348,0.607,-0.304,0.424,-0.133,0.377,NaN,NaN,33.53,0.43
60,1883,1,-0.592,1.260,-0.378,0.538,-0.293,0.428,-0.135,0.378,NaN,NaN,33.53,0.43
61,1883,2,-0.924,1.431,-0.346,0.552,-0.267,0.440,-0.142,0.381,NaN,NaN,33.53,0.43
62,1883,3,-1.289,1.422,-0.385,0.520,-0.268,0.432,-0.153,0.388,NaN,NaN,33.53,0.43
63,1883,4,0.757,1.251,-0.385,0.600,-0.270,0.431,-0.156,0.395,-0.141,0.279,33.53,0.43
64,1883,5,-0.197,1.390,-0.391,0.598,-0.256,0.447,-0.169,0.401,-0.141,0.276,33.53,0.43
65,1883,6,0.701,1.317,-0.407,0.594,-0.244,0.448,-0.173,0.401,-0.142,0.275,33.53,0.43
66,1883,7,-1.282,1.602,-0.351,0.554,-0.252,0.457,-0.175,0.397,-0.145,0.273,33.53,0.43
67,1883,8,-0.063,1.186,-0.354,0.588,-0.282,0.460,-0.181,0.392,-0.144,0.273,33.53,0.43
68,1883,9,-0.148,1.334,-0.303,0.625,-0.291,0.473,-0.185,0.402,-0.139,0.273,33.53,0.43
69,1883,10,-0.049,1.609,-0.405,0.612,-0.270,0.472,-0.185,0.406,-0.136,0.271,33.53,0.43
70,1883,11,-0.897,1.474,-0.389,0.592,-0.272,0.486,-0.187,0.410,-0.133,0.272,33.53,0.43
71,1883,12,-0.902,1.600,-0.456,0.606,-0.270,0.497,-0.186,0.416,-0.131,0.274,33.53,0.43
72,1884,1,0.088,0.906,-0.383,0.697,-0.275,0.504,-0.198,0.420,-0.131,0.272,33.53,0.43
73,1884,2,-0.971,1.387,-0.419,0.711,-0.270,0.508,-0.197,0.422,-0.130,0.273,33.53,0.43
74,1884,3,-0.673,1.544,-0.388,0.731,-0.263,0.504,-0.183,0.421,-0.126,0.272,33.53,0.43
75,1884,4,-0.469,1.234,-0.420,0.681,-0.257,0.513,-0.181,0.420,-0.120,0.271,33.53,0.43
76,1884,5,0.001,1.089,-0.387,0.661,-0.252,0.518,-0.176,0.419,-0.122,0.271,33.53,0.43
77,1884,6,-0.103,1.013,-0.325,0.642,-0.266,0.532,-0.165,0.413,-0.119,0.269,33.53,0.43
78,1884,7,-0.407,1.095,-0.447,0.696,-0.284,0.536,-0.168,0.409,-0.118,0.273,33.53,0.43
79,1884,8,-0.496,1.286,-0.489,0.765,-0.270,0.545,-0.171,0.404,-0.118,0.277,33.53,0.43
80,1884,9,0.222,1.470,-0.513,0.743,-0.256,0.554,-0.170,0.404,-0.115,0.278,33.53,0.43
81,1884,10,-0.436,0.942,-0.606,0.784,-0.252,0.552,-0.172,0.408,-0.118,0.278,33.53,0.43
82,1884,11,-0.499,1.329,-0.669,0.732,-0.271,0.564,-0.177,0.415,-0.113,0.275,33.53,0.43
83,1884,12,-0.154,1.076,-0.685,0.771,-0.283,0.574,-0.175,0.417,-0.115,0.275,33.53,0.43
84,1885,1,-1.381,1.392,-0.601,0.757,-0.274,0.572,-0.182,0.421,-0.116,0.277,33.53,0.43
85,1885,2,-1.474,1.717,-0.436,0.709,-0.275,0.570,-0.169,0.426,-0.116,0.278,33.53,0.43
86,1885,3,-0.966,1.178,-0.448,0.726,-0.280,0.574,-0.188,0.433,-0.125,0.278,33.53,0.43
87,1885,4,-1.578,1.717,-0.423,0.750,-0.279,0.587,-0.193,0.438,-0.126,0.279,33.53,0.43
88,1885,5,-0.756,1.459,-0.315,0.765,-0.258,0.586,-0.194,0.444,-0.135,0.279,33.53,0.43
89,1885,6,-0.295,1.453,-0.296,0.747,-0.259,0.576,-0.192,0.449,-0.135,0.279,33.53,0.43
90,1885,7,0.605,1.482,-0.239,0.701,-0.270,0.571,-0.194,0.444,-0.139,0.283,33.53,0.43
91,1885,8,1.479,1.052,-0.190,0.612,-0.282,0.576,-0.201,0.444,-0.143,0.284,33.53,0.43
92,1885,9,0.085,1.482,-0.168,0.641,-0.263,0.584,-0.202,0.447,-0.146,0.285,33.53,0.43
93,1885,10,-0.139,1.432,0.081,0.628,-0.273,0.595,-0.200,0.446,-0.143,0.286,33.53,0.43
94,1885,11,0.793,1.454,0.253,0.699,-0.277,0.603,-0.205,0.449,-0.140,0.284,33.53,0.43
95,1885,12,0.072,1.198,0.285,0.671,-0.299,0.617,-0.215,0.454,-0.134,0.283,33.53,0.43
96,1886,1,-0.699,1.162,0.241,0.672,-0.280,0.620,-0.217,0.459,-0.128,0.283,33.53,0.43
97,1886,2,-0.883,1.725,0.101,0.701,-0.287,0.604,-0.237,0.464,-0.128,0.283,33.53,0.43
98,1886,3,-0.705,1.564,0.107,0.726,-0.276,0.612,-0.242,0.458,-0.126,0.283,33.53,0.43
99,1886,4,1.411,1.696,0.150,0.772,-0.268,0.601,-0.242,0.450,-0.122,0.282,33.53,0.43
100,1886,5,1.317,1.590,0.104,0.716,-0.259,0.598,-0.257,0.452,-0.120,0.282,33.53,0.43
101,1886,6,0.085,1.334,0.036,0.718,-0.239,0.602,-0.258,0.458,-0.118,0.279,33.53,0.43
102,1886,7,0.069,1.340,0.014,0.717,-0.253,0.606,-0.266,0.461,-0.114,0.281,33.53,0.43
103,1886,8,-0.189,1.361,0.064,0.774,-0.235,0.611,-0.263,0.459,-0.115,0.283,33.53,0.43
104,1886,9,0.150,1.138,0.097,0.734,-0.211,0.601,-0.252,0.459,-0.112,0.283,33.53,0.43
105,1886,10,0.380,1.509,0.021,0.704,-0.201,0.598,-0.243,0.455,-0.108,0.285,33.53,0.43
106,1886,11,0.241,0.850,-0.140,0.799,-0.198,0.598,-0.238,0.453,-0.106,0.284,33.53,0.43
107,1886,12,-0.745,1.297,-0.212,0.792,-0.189,0.592,-0.230,0.453,-0.107,0.284,33.53,0.43
108,1887,1,-0.960,1.567,-0.248,0.762,-0.183,0.572,-0.234,0.448,-0.111,0.284,33.53,0.43
