,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1876,4,-0.587,1.537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.76
1,1876,5,0.159,1.259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.76
2,1876,6,-0.741,1.024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.76
3,1876,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.76
4,1876,8,-1.222,1.382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.76
5,1876,9,-1.151,1.305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.76
6,1876,10,-0.904,1.150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.76
7,1876,11,-1.364,1.419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.76
8,1876,12,-0.907,1.415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.76
9,1877,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.76
10,1877,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.76
11,1877,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.76
12,1877,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.76
13,1877,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.76
14,1877,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.76
15,1877,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.76
16,1877,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.76
17,1877,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.76
18,1877,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.76
19,1877,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.76
20,1877,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.76
21,1878,1,-1.469,1.371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.76
22,1878,2,-0.641,2.050,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.76
23,1878,3,0.347,1.387,0.248,0.888,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.76
24,1878,4,-0.484,1.615,0.327,0.936,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.76
25,1878,5,0.744,1.588,0.116,0.928,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.76
26,1878,6,0.439,1.669,-0.110,0.888,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.76
27,1878,7,0.611,1.531,-0.038,0.788,-0.683,0.435,NaN,NaN,NaN,NaN,20.37,0.76
28,1878,8,1.105,1.326,-0.048,0.722,-0.656,0.437,NaN,NaN,NaN,NaN,20.37,0.76
29,1878,9,1.009,1.523,-0.241,0.673,-0.637,0.445,NaN,NaN,NaN,NaN,20.37,0.76
30,1878,10,0.527,1.395,-0.276,0.664,-0.633,0.455,NaN,NaN,NaN,NaN,20.37,0.76
31,1878,11,-1.434,1.322,-0.420,0.626,-0.626,0.461,NaN,NaN,NaN,NaN,20.37,0.76
32,1878,12,-2.068,1.243,-0.510,0.562,-0.619,0.467,NaN,NaN,NaN,NaN,20.37,0.76
33,1879,1,-0.606,1.309,-0.612,0.529,-0.597,0.474,NaN,NaN,NaN,NaN,20.37,0.76
34,1879,2,-0.768,1.130,-0.732,0.498,-0.573,0.478,NaN,NaN,NaN,NaN,20.37,0.76
35,1879,3,-1.970,1.197,-0.885,0.488,-0.555,0.480,NaN,NaN,NaN,NaN,20.37,0.76
36,1879,4,-0.901,1.396,-1.025,0.517,-0.539,0.482,NaN,NaN,NaN,NaN,20.37,0.76
37,1879,5,-0.986,1.277,-1.069,0.526,-0.530,0.473,NaN,NaN,NaN,NaN,20.37,0.76
38,1879,6,-0.641,1.079,-1.066,0.541,-0.519,0.462,NaN,NaN,NaN,NaN,20.37,0.76
39,1879,7,-0.612,0.992,-1.086,0.520,-0.503,0.448,NaN,NaN,NaN,NaN,20.37,0.76
40,1879,8,-0.333,1.170,-1.279,0.530,-0.515,0.451,NaN,NaN,NaN,NaN,20.37,0.76
41,1879,9,-0.835,1.254,-1.162,0.549,-0.518,0.448,NaN,NaN,NaN,NaN,20.37,0.76
42,1879,10,-1.144,1.159,-1.194,0.540,-0.531,0.448,-0.701,0.381,NaN,NaN,20.37,0.76
43,1879,11,-1.964,1.747,-1.145,0.523,-0.533,0.446,-0.708,0.376,NaN,NaN,20.37,0.76
44,1879,12,-2.033,1.342,-1.210,0.527,-0.534,0.440,-0.711,0.377,NaN,NaN,20.37,0.76
45,1880,1,-0.847,1.932,-1.263,0.555,-0.536,0.431,-0.698,0.379,NaN,NaN,20.37,0.76
46,1880,2,-3.078,1.288,-1.315,0.547,-0.539,0.424,-0.690,0.377,NaN,NaN,20.37,0.76
47,1880,3,-0.564,1.201,-1.304,0.622,-0.534,0.425,-0.682,0.380,NaN,NaN,20.37,0.76
48,1880,4,-1.294,1.066,-1.321,0.653,-0.535,0.420,-0.682,0.381,NaN,NaN,20.37,0.76
49,1880,5,-0.391,1.140,-1.296,0.773,-0.588,0.416,-0.681,0.380,NaN,NaN,20.37,0.76
