,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1875,1,0.956,2.387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.82,0.18
1,1875,2,-1.167,1.430,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.82,0.18
2,1875,3,4.068,3.563,1.122,1.324,NaN,NaN,NaN,NaN,NaN,NaN,27.82,0.18
3,1875,4,2.877,3.128,0.902,1.245,NaN,NaN,NaN,NaN,NaN,NaN,27.82,0.18
4,1875,5,2.678,3.042,0.959,1.197,NaN,NaN,NaN,NaN,NaN,NaN,27.82,0.18
5,1875,6,0.843,2.512,0.938,1.133,NaN,NaN,NaN,NaN,NaN,NaN,27.82,0.18
6,1875,7,1.631,2.556,0.879,1.006,NaN,NaN,NaN,NaN,NaN,NaN,27.82,0.18
7,1875,8,1.235,1.769,0.973,0.954,NaN,NaN,NaN,NaN,NaN,NaN,27.82,0.18
8,1875,9,0.235,1.405,0.534,0.732,NaN,NaN,NaN,NaN,NaN,NaN,27.82,0.18
9,1875,10,-1.634,1.702,0.318,0.628,NaN,NaN,NaN,NaN,NaN,NaN,27.82,0.18
10,1875,11,-0.109,1.796,0.166,0.657,NaN,NaN,NaN,NaN,NaN,NaN,27.82,0.18
11,1875,12,-0.353,1.607,0.082,0.688,NaN,NaN,NaN,NaN,NaN,NaN,27.82,0.18
12,1876,1,0.243,1.594,-0.108,0.745,NaN,NaN,NaN,NaN,NaN,NaN,27.82,0.18
13,1876,2,-0.038,1.700,-0.289,0.811,NaN,NaN,NaN,NaN,NaN,NaN,27.82,0.18
14,1876,3,-1.206,1.769,-0.386,0.867,-0.156,0.361,NaN,NaN,NaN,NaN,27.82,0.18
15,1876,4,0.292,1.447,-0.438,0.885,-0.142,0.358,NaN,NaN,NaN,NaN,27.82,0.18
16,1876,5,0.857,1.431,-0.527,0.844,-0.137,0.358,NaN,NaN,NaN,NaN,27.82,0.18
17,1876,6,-0.170,1.442,-0.449,0.759,-0.135,0.354,NaN,NaN,NaN,NaN,27.82,0.18
18,1876,7,-0.653,1.656,-0.526,0.713,-0.085,0.345,NaN,NaN,NaN,NaN,27.82,0.18
19,1876,8,-0.938,1.364,-0.707,0.655,-0.046,0.333,NaN,NaN,NaN,NaN,27.82,0.18
20,1876,9,-0.928,1.481,-0.593,0.586,-0.047,0.329,NaN,NaN,NaN,NaN,27.82,0.18
21,1876,10,-2.261,1.614,-0.850,0.611,-0.017,0.331,NaN,NaN,NaN,NaN,27.82,0.18
