,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1857,4,-0.343,1.620,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
1,1857,5,-0.955,1.099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
2,1857,6,-0.362,1.338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
3,1857,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
4,1857,8,-0.914,0.940,-0.726,0.741,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
5,1857,9,-1.132,1.014,-0.774,0.717,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
6,1857,10,-0.390,1.103,-0.833,0.671,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
7,1857,11,-1.118,1.078,-0.794,0.675,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
8,1857,12,-1.543,1.763,-0.755,0.668,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
9,1858,1,NaN,NaN,-0.802,0.657,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
10,1858,2,-0.966,1.073,-0.798,0.614,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
11,1858,3,-1.622,1.147,-0.699,0.616,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
12,1858,4,-1.054,1.081,-0.748,0.600,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
13,1858,5,-0.483,1.179,-0.668,0.611,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
14,1858,6,NaN,NaN,-0.682,0.579,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
15,1858,7,NaN,NaN,-0.775,0.555,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
16,1858,8,-0.865,0.848,-0.807,0.517,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
17,1858,9,0.049,1.577,-0.763,0.533,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
18,1858,10,-0.968,0.858,-0.704,0.521,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
19,1858,11,-0.165,1.375,-0.673,0.504,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
20,1858,12,-1.710,1.071,-0.735,0.500,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
21,1859,1,-1.011,0.877,-0.719,0.499,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
22,1859,2,-1.354,1.059,-0.680,0.503,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
23,1859,3,-1.090,0.840,-0.766,0.505,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
24,1859,4,-0.352,0.994,-0.703,0.504,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
25,1859,5,-0.108,0.852,-0.787,0.477,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
26,1859,6,-0.638,1.006,-0.714,0.462,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
27,1859,7,-0.418,0.990,-0.715,0.441,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
28,1859,8,-0.395,0.722,-0.717,0.438,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
29,1859,9,-0.984,0.713,-0.782,0.404,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
30,1859,10,-0.206,0.905,-0.821,0.408,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
31,1859,11,-1.179,1.036,-0.890,0.419,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
32,1859,12,-0.835,1.060,-0.866,0.436,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
33,1860,1,-1.019,0.926,-0.877,0.485,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
34,1860,2,-1.374,0.714,-0.866,0.526,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
35,1860,3,-1.872,2.178,-0.819,0.542,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
36,1860,4,-0.826,0.985,-0.860,0.624,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
37,1860,5,-0.938,0.988,-0.812,0.614,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
38,1860,6,-0.345,0.975,-0.838,0.681,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
39,1860,7,-0.547,1.243,-0.905,0.682,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
40,1860,8,-0.261,1.008,-0.867,0.778,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
41,1860,9,-0.420,0.895,-0.786,0.765,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
42,1860,10,-0.696,1.284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
43,1860,11,-0.608,0.972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
44,1860,12,-1.147,1.567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
45,1861,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
46,1861,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
47,1861,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
48,1861,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
49,1861,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
50,1861,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
51,1861,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
52,1861,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
53,1861,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
54,1861,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
55,1861,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
56,1861,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
57,1862,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
58,1862,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
59,1862,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
60,1862,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
61,1862,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
62,1862,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
63,1862,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
64,1862,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
65,1862,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
66,1862,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
67,1862,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
68,1862,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
69,1863,1,-1.004,1.120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
70,1863,2,-0.152,2.324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
71,1863,3,-0.535,1.172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
72,1863,4,-0.871,1.040,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
73,1863,5,-0.324,1.165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
74,1863,6,-0.082,0.733,-0.709,0.451,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
75,1863,7,-0.515,0.700,-0.638,0.485,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
76,1863,8,-0.646,0.951,-0.640,0.652,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
77,1863,9,-1.045,1.231,-0.747,0.598,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
78,1863,10,-0.593,0.931,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
79,1863,11,-1.039,0.902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
80,1863,12,-1.704,1.943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
81,1864,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
82,1864,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
83,1864,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
84,1864,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
85,1864,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
86,1864,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
87,1864,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
88,1864,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
89,1864,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
90,1864,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
91,1864,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
92,1864,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
93,1865,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
94,1865,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
95,1865,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
96,1865,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.33,0.61
