,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1863,1,-0.452,1.757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
1,1863,2,-0.236,1.392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
2,1863,3,-0.754,1.096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
3,1863,4,-1.014,1.939,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
4,1863,5,-0.732,1.916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
5,1863,6,-0.549,1.933,-0.774,0.631,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
6,1863,7,-1.325,2.881,-0.775,0.699,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
7,1863,8,-0.824,3.094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
8,1863,9,-1.120,1.429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
9,1863,10,-0.646,1.158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
10,1863,11,-0.504,2.078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
11,1863,12,-1.127,3.277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
12,1864,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
13,1864,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
14,1864,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
15,1864,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
16,1864,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
17,1864,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
18,1864,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
19,1864,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
20,1864,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
21,1864,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
22,1864,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
23,1864,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
24,1865,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
25,1865,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
26,1865,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
27,1865,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
28,1865,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
29,1865,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
30,1865,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
31,1865,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
32,1865,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
33,1865,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
34,1865,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
35,1865,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
36,1866,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
37,1866,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
38,1866,3,-2.218,2.635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.96,0.33
