,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1892,1,-1.385,2.110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
1,1892,2,-0.569,1.531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
2,1892,3,-0.392,1.119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
3,1892,4,-0.418,1.109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
4,1892,5,0.026,1.913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
5,1892,6,0.327,1.621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
6,1892,7,0.244,1.727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
7,1892,8,-0.296,1.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
8,1892,9,-0.126,0.902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
9,1892,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
10,1892,11,NaN,NaN,-0.597,0.625,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
11,1892,12,NaN,NaN,-0.796,0.590,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
12,1893,1,-1.935,1.822,-0.912,0.619,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
13,1893,2,-1.122,1.186,-0.963,0.650,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
14,1893,3,-0.460,0.996,-0.962,0.645,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
15,1893,4,-0.406,1.759,-0.929,0.629,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
16,1893,5,-0.799,1.068,-0.889,0.606,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
17,1893,6,-2.064,2.776,-0.812,0.613,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
18,1893,7,-1.148,2.131,-0.750,0.606,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
19,1893,8,-0.908,0.910,-0.702,0.632,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
20,1893,9,-0.115,0.792,-0.751,0.694,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
21,1893,10,0.207,1.116,-0.803,0.681,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
22,1893,11,-0.909,1.155,-0.782,0.655,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
23,1893,12,-0.081,2.981,-0.603,0.636,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
24,1894,1,-1.195,1.336,-0.496,0.664,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
25,1894,2,-0.545,1.158,-0.446,0.663,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
26,1894,3,-1.054,1.394,-0.460,0.648,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
27,1894,4,-1.021,1.105,-0.549,0.638,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
28,1894,5,-0.550,0.847,-0.569,0.626,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
29,1894,6,0.082,1.431,-0.663,0.575,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
30,1894,7,0.141,1.508,-0.677,0.562,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
31,1894,8,-0.315,1.062,-0.753,0.596,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
32,1894,9,-0.281,1.122,-0.740,0.588,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
33,1894,10,-0.853,1.245,-0.684,0.605,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
34,1894,11,-1.156,1.140,-0.660,0.588,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
35,1894,12,-1.205,1.297,-0.622,0.573,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
36,1895,1,-1.368,0.927,-0.610,0.557,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
37,1895,2,-1.454,1.787,-0.587,0.559,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
38,1895,3,-0.893,1.064,-0.568,0.557,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
39,1895,4,-0.357,1.497,-0.547,0.549,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
40,1895,5,-0.254,1.052,-0.519,0.553,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
41,1895,6,0.538,1.919,-0.448,0.562,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
42,1895,7,0.278,1.806,-0.380,0.593,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
43,1895,8,-0.033,1.143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
44,1895,9,-0.053,1.285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
45,1895,10,-0.606,1.416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
46,1895,11,-0.820,1.048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
47,1895,12,-0.354,0.998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
48,1896,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
49,1896,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
50,1896,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
51,1896,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
52,1896,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
53,1896,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
54,1896,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
55,1896,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
56,1896,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
57,1896,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
58,1896,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
59,1896,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
60,1897,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
61,1897,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
62,1897,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
63,1897,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
64,1897,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
65,1897,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
66,1897,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
67,1897,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
68,1897,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
69,1897,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
70,1897,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.66,0.30
