,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1886,1,-1.356,1.128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.21
1,1886,2,-2.138,1.107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.21
2,1886,3,-0.738,1.179,-0.603,0.513,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.21
3,1886,4,-0.383,0.834,-0.556,0.556,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.21
4,1886,5,-0.036,1.075,-0.521,0.564,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.21
5,1886,6,-0.571,1.382,-0.616,0.582,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.21
6,1886,7,-0.188,1.459,-0.609,0.604,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.21
7,1886,8,-0.281,1.069,-0.566,0.580,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.21
8,1886,9,-0.209,0.910,-0.594,0.584,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.21
9,1886,10,-0.019,1.102,-0.659,0.637,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.21
10,1886,11,-0.220,1.075,-0.722,0.668,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.21
11,1886,12,-1.258,1.563,-0.762,0.647,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.21
12,1887,1,-1.261,1.304,-0.806,0.628,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.21
13,1887,2,-1.630,1.317,-0.875,0.623,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.21
14,1887,3,-1.076,1.284,-0.888,0.644,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.21
15,1887,4,-1.155,1.222,-0.935,0.601,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.21
16,1887,5,-0.793,1.109,-0.953,0.589,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.21
