,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1886,1,-1.923,1.009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.41,0.18
1,1886,2,-2.419,1.020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.41,0.18
2,1886,3,-1.573,0.800,-1.341,0.406,NaN,NaN,NaN,NaN,NaN,NaN,22.41,0.18
3,1886,4,-1.336,0.749,-1.267,0.426,NaN,NaN,NaN,NaN,NaN,NaN,22.41,0.18
4,1886,5,-1.681,1.256,-1.253,0.409,NaN,NaN,NaN,NaN,NaN,NaN,22.41,0.18
5,1886,6,-1.344,0.801,-1.389,0.435,NaN,NaN,NaN,NaN,NaN,NaN,22.41,0.18
6,1886,7,-0.773,1.272,-1.313,0.420,NaN,NaN,NaN,NaN,NaN,NaN,22.41,0.18
7,1886,8,-0.975,0.899,-1.237,0.391,NaN,NaN,NaN,NaN,NaN,NaN,22.41,0.18
8,1886,9,-0.852,0.958,-1.250,0.396,NaN,NaN,NaN,NaN,NaN,NaN,22.41,0.18
9,1886,10,-0.195,0.908,-1.244,0.410,NaN,NaN,NaN,NaN,NaN,NaN,22.41,0.18
10,1886,11,-1.624,0.768,-1.209,0.433,NaN,NaN,NaN,NaN,NaN,NaN,22.41,0.18
11,1886,12,-1.974,2.156,-1.183,0.454,NaN,NaN,NaN,NaN,NaN,NaN,22.41,0.18
12,1887,1,-1.010,1.120,-1.143,0.480,NaN,NaN,NaN,NaN,NaN,NaN,22.41,0.18
13,1887,2,-1.509,1.291,-1.146,0.495,NaN,NaN,NaN,NaN,NaN,NaN,22.41,0.18
14,1887,3,-1.722,0.813,-1.121,0.491,NaN,NaN,NaN,NaN,NaN,NaN,22.41,0.18
15,1887,4,-1.271,1.050,-1.181,0.499,NaN,NaN,NaN,NaN,NaN,NaN,22.41,0.18
16,1887,5,-1.262,0.767,-1.128,0.507,NaN,NaN,NaN,NaN,NaN,NaN,22.41,0.18
17,1887,6,-1.035,1.036,-1.057,0.510,NaN,NaN,NaN,NaN,NaN,NaN,22.41,0.18
18,1887,7,-0.292,0.837,-1.054,0.505,NaN,NaN,NaN,NaN,NaN,NaN,22.41,0.18
19,1887,8,-1.010,1.014,-1.086,0.448,NaN,NaN,NaN,NaN,NaN,NaN,22.41,0.18
20,1887,9,-0.548,0.689,-1.018,0.485,NaN,NaN,NaN,NaN,NaN,NaN,22.41,0.18
21,1887,10,-0.919,0.794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.41,0.18
22,1887,11,-0.985,1.236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.41,0.18
23,1887,12,-1.123,1.348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.41,0.18
24,1888,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.41,0.18
25,1888,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.41,0.18
26,1888,3,NaN,NaN,NaN,NaN,-1.118,0.319,NaN,NaN,NaN,NaN,22.41,0.18
27,1888,4,NaN,NaN,NaN,NaN,-1.128,0.330,NaN,NaN,NaN,NaN,22.41,0.18
28,1888,5,NaN,NaN,NaN,NaN,-1.132,0.334,NaN,NaN,NaN,NaN,22.41,0.18
29,1888,6,NaN,NaN,NaN,NaN,-1.142,0.326,NaN,NaN,NaN,NaN,22.41,0.18
30,1888,7,NaN,NaN,NaN,NaN,-1.126,0.318,NaN,NaN,NaN,NaN,22.41,0.18
31,1888,8,NaN,NaN,NaN,NaN,-1.112,0.323,NaN,NaN,NaN,NaN,22.41,0.18
32,1888,9,NaN,NaN,NaN,NaN,-1.108,0.333,NaN,NaN,NaN,NaN,22.41,0.18
33,1888,10,NaN,NaN,NaN,NaN,-1.107,0.331,NaN,NaN,NaN,NaN,22.41,0.18
34,1888,11,NaN,NaN,NaN,NaN,-1.098,0.337,NaN,NaN,NaN,NaN,22.41,0.18
35,1888,12,NaN,NaN,NaN,NaN,-1.097,0.339,NaN,NaN,NaN,NaN,22.41,0.18
36,1889,1,-1.117,1.294,NaN,NaN,-1.098,0.333,NaN,NaN,NaN,NaN,22.41,0.18
37,1889,2,-1.278,1.384,NaN,NaN,-1.100,0.334,NaN,NaN,NaN,NaN,22.41,0.18
38,1889,3,-0.768,1.451,-0.732,0.718,-1.098,0.324,NaN,NaN,NaN,NaN,22.41,0.18
39,1889,4,-0.276,0.585,-0.767,0.785,-1.104,0.320,NaN,NaN,NaN,NaN,22.41,0.18
40,1889,5,-0.463,0.733,-0.849,0.770,-1.101,0.323,NaN,NaN,NaN,NaN,22.41,0.18
41,1889,6,-0.320,0.669,-0.923,0.736,-1.083,0.305,-1.195,0.217,NaN,NaN,22.41,0.18
42,1889,7,-0.702,1.651,-0.962,0.712,-1.084,0.297,-1.195,0.216,NaN,NaN,22.41,0.18
43,1889,8,-0.929,0.814,-0.995,0.705,-1.066,0.286,-1.196,0.215,NaN,NaN,22.41,0.18
44,1889,9,-1.011,0.825,-1.057,0.631,-1.061,0.283,-1.190,0.212,NaN,NaN,22.41,0.18
45,1889,10,-1.262,1.592,-1.108,0.623,-1.062,0.282,-1.185,0.212,NaN,NaN,22.41,0.18
46,1889,11,-1.468,0.821,-1.217,0.679,-1.065,0.282,-1.174,0.210,NaN,NaN,22.41,0.18
47,1889,12,-1.487,0.703,-1.319,0.708,-1.063,0.270,-1.164,0.211,NaN,NaN,22.41,0.18
48,1890,1,-1.579,0.884,-1.346,0.578,-1.078,0.266,-1.161,0.206,NaN,NaN,22.41,0.18
49,1890,2,-1.669,1.185,-1.412,0.591,-1.084,0.267,-1.152,0.204,NaN,NaN,22.41,0.18
50,1890,3,-1.523,0.776,-1.466,0.615,-1.091,0.264,-1.149,0.207,NaN,NaN,22.41,0.18
51,1890,4,-0.882,0.765,-1.500,0.582,-1.088,0.267,-1.150,0.207,NaN,NaN,22.41,0.18
52,1890,5,-1.772,1.224,-1.548,0.545,-1.094,0.268,-1.154,0.208,NaN,NaN,22.41,0.18
53,1890,6,-1.544,0.931,-1.502,0.553,-1.108,0.274,-1.152,0.207,NaN,NaN,22.41,0.18
54,1890,7,-1.025,0.966,-1.450,0.518,-1.126,0.269,-1.153,0.209,NaN,NaN,22.41,0.18
