,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1891,1,-1.269,0.617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.68,0.33
1,1891,2,-1.356,0.708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.68,0.33
2,1891,3,-0.413,0.749,-0.692,0.380,NaN,NaN,NaN,NaN,NaN,NaN,24.68,0.33
3,1891,4,-0.469,0.512,-0.767,0.372,NaN,NaN,NaN,NaN,NaN,NaN,24.68,0.33
4,1891,5,-0.176,0.689,-0.722,0.355,NaN,NaN,NaN,NaN,NaN,NaN,24.68,0.33
5,1891,6,-0.470,0.760,-0.696,0.353,NaN,NaN,NaN,NaN,NaN,NaN,24.68,0.33
6,1891,7,-0.575,0.539,-0.711,0.353,NaN,NaN,NaN,NaN,NaN,NaN,24.68,0.33
7,1891,8,-0.877,0.567,-0.747,0.336,NaN,NaN,NaN,NaN,NaN,NaN,24.68,0.33
8,1891,9,-1.224,0.562,-0.846,0.321,NaN,NaN,NaN,NaN,NaN,NaN,24.68,0.33
9,1891,10,-0.811,0.503,-0.839,0.340,NaN,NaN,NaN,NaN,NaN,NaN,24.68,0.33
10,1891,11,-0.488,0.663,-0.841,0.357,NaN,NaN,NaN,NaN,NaN,NaN,24.68,0.33
11,1891,12,-0.221,0.533,-0.756,0.396,NaN,NaN,NaN,NaN,NaN,NaN,24.68,0.33
12,1892,1,-1.453,0.870,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.68,0.33
13,1892,2,-1.786,0.742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.68,0.33
14,1892,3,-1.606,0.687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.68,0.33
15,1892,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.68,0.33
