,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1891,1,-1.152,1.103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
1,1891,2,-1.537,0.578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
2,1891,3,-0.154,0.652,-0.543,0.656,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
3,1891,4,-0.226,1.596,-0.553,0.682,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
4,1891,5,-0.195,3.128,-0.570,0.797,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
5,1891,6,-0.527,1.902,-0.556,0.767,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
6,1891,7,-0.617,0.997,-0.587,0.658,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
7,1891,8,-0.596,0.756,-0.617,0.538,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
8,1891,9,-0.719,0.709,-0.720,0.515,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
9,1891,10,-0.431,0.767,-0.677,0.481,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
10,1891,11,-0.512,1.882,-0.681,0.475,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
11,1891,12,-0.011,0.904,-0.644,0.534,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
12,1892,1,-1.520,2.368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
13,1892,2,-1.900,2.210,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
14,1892,3,-1.381,2.509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
15,1892,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
16,1892,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
17,1892,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
18,1892,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
19,1892,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
20,1892,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
21,1892,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
22,1892,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
23,1892,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
24,1893,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
25,1893,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
26,1893,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
27,1893,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
28,1893,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
29,1893,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
30,1893,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
31,1893,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
32,1893,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
33,1893,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
34,1893,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
35,1893,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
36,1894,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
37,1894,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
38,1894,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
39,1894,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
40,1894,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
41,1894,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
42,1894,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
43,1894,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
44,1894,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
45,1894,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
46,1894,11,-1.912,0.835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
47,1894,12,-0.965,0.849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
48,1895,1,-0.721,1.418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
49,1895,2,-0.866,0.950,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
50,1895,3,-1.069,1.349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
51,1895,4,-0.438,1.134,-0.797,0.518,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
52,1895,5,-0.324,1.018,-0.717,0.560,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
53,1895,6,-0.506,1.208,-0.631,0.606,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
54,1895,7,NaN,NaN,-0.678,0.681,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
55,1895,8,NaN,NaN,-0.662,0.702,NaN,NaN,NaN,NaN,NaN,NaN,28.78,0.43
