,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1891,1,-0.883,1.337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
1,1891,2,-1.294,0.725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
2,1891,3,-0.581,0.656,-0.862,0.395,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
3,1891,4,-0.816,0.938,-0.893,0.422,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
4,1891,5,-0.722,0.840,-0.852,0.435,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
5,1891,6,-0.938,2.053,-0.828,0.452,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
6,1891,7,-0.624,1.378,-0.846,0.496,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
7,1891,8,-1.022,1.171,-0.839,0.498,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
8,1891,9,-1.384,0.680,-0.889,0.462,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
9,1891,10,-0.824,0.763,-0.873,0.488,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
10,1891,11,-0.547,1.299,-0.822,0.482,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
11,1891,12,-0.297,0.763,-0.662,0.415,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
12,1892,1,-1.104,0.861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
13,1892,2,-1.213,0.631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
14,1892,3,-1.177,1.192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
15,1892,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
16,1892,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
17,1892,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
18,1892,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
19,1892,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
20,1892,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
21,1892,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
22,1892,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
23,1892,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
24,1893,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
25,1893,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
26,1893,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
27,1893,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
28,1893,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
29,1893,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
30,1893,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
31,1893,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
32,1893,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
33,1893,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
34,1893,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
35,1893,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
36,1894,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
37,1894,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
38,1894,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
39,1894,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
40,1894,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
41,1894,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
42,1894,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
43,1894,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
44,1894,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
45,1894,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
46,1894,11,-1.059,0.768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
47,1894,12,-0.854,0.618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
48,1895,1,-0.939,0.845,-0.531,0.320,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
49,1895,2,-0.823,0.842,-0.530,0.313,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
50,1895,3,-0.869,0.792,-0.529,0.320,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
51,1895,4,-0.136,0.801,-0.542,0.318,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
52,1895,5,-0.080,0.862,-0.558,0.346,NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.54
