,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1824,1,-0.047,1.406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.59,0.13
1,1824,2,-0.795,2.513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.59,0.13
2,1824,3,-0.016,1.044,-0.611,0.525,NaN,NaN,NaN,NaN,NaN,NaN,25.59,0.13
3,1824,4,0.350,1.041,-0.568,0.486,NaN,NaN,NaN,NaN,NaN,NaN,25.59,0.13
4,1824,5,-0.068,1.157,-0.469,0.463,NaN,NaN,NaN,NaN,NaN,NaN,25.59,0.13
5,1824,6,-0.146,2.128,-0.372,0.466,NaN,NaN,NaN,NaN,NaN,NaN,25.59,0.13
6,1824,7,-0.000,1.611,-0.371,0.442,NaN,NaN,NaN,NaN,NaN,NaN,25.59,0.13
7,1824,8,-1.005,1.176,-0.308,0.478,NaN,NaN,NaN,NaN,NaN,NaN,25.59,0.13
8,1824,9,-0.987,2.395,-0.310,0.429,NaN,NaN,NaN,NaN,NaN,NaN,25.59,0.13
9,1824,10,-1.244,0.766,-0.313,0.474,NaN,NaN,NaN,NaN,NaN,NaN,25.59,0.13
10,1824,11,-0.316,0.800,-0.309,0.438,NaN,NaN,NaN,NaN,NaN,NaN,25.59,0.13
11,1824,12,-0.190,2.285,-0.304,0.430,NaN,NaN,NaN,NaN,NaN,NaN,25.59,0.13
12,1825,1,-0.032,1.909,-0.330,0.426,NaN,NaN,NaN,NaN,NaN,NaN,25.59,0.13
13,1825,2,-0.042,1.115,-0.318,0.495,NaN,NaN,NaN,NaN,NaN,NaN,25.59,0.13
14,1825,3,-0.037,1.306,-0.326,0.432,NaN,NaN,NaN,NaN,NaN,NaN,25.59,0.13
15,1825,4,0.309,0.920,-0.321,0.418,-0.506,0.438,NaN,NaN,NaN,NaN,25.59,0.13
16,1825,5,-0.019,1.135,-0.329,0.428,-0.490,0.443,NaN,NaN,NaN,NaN,25.59,0.13
17,1825,6,-0.089,1.288,-0.372,0.428,-0.457,0.440,NaN,NaN,NaN,NaN,25.59,0.13
18,1825,7,-0.312,1.931,-0.422,0.506,-0.457,0.426,NaN,NaN,NaN,NaN,25.59,0.13
19,1825,8,-0.858,2.092,-0.463,0.519,-0.443,0.420,NaN,NaN,NaN,NaN,25.59,0.13
20,1825,9,-1.085,1.964,-0.510,0.490,-0.438,0.423,NaN,NaN,NaN,NaN,25.59,0.13
21,1825,10,-1.179,0.932,-0.531,0.492,-0.425,0.440,NaN,NaN,NaN,NaN,25.59,0.13
22,1825,11,-0.414,2.035,-0.528,0.539,-0.414,0.449,NaN,NaN,NaN,NaN,25.59,0.13
23,1825,12,-0.709,1.091,-0.563,0.493,-0.409,0.462,NaN,NaN,NaN,NaN,25.59,0.13
24,1826,1,-0.629,1.204,-0.547,0.518,-0.407,0.463,NaN,NaN,NaN,NaN,25.59,0.13
25,1826,2,-0.532,1.626,-0.549,0.518,-0.391,0.464,NaN,NaN,NaN,NaN,25.59,0.13
26,1826,3,-0.601,2.377,-0.518,0.524,-0.384,0.449,NaN,NaN,NaN,NaN,25.59,0.13
27,1826,4,0.060,1.578,-0.495,0.554,-0.366,0.448,NaN,NaN,NaN,NaN,25.59,0.13
28,1826,5,0.014,1.057,-0.498,0.685,-0.345,0.447,NaN,NaN,NaN,NaN,25.59,0.13
