,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1852,5,-0.496,1.408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.48,0.51
1,1852,6,-0.644,1.141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.48,0.51
2,1852,7,-0.811,1.479,-0.643,1.242,NaN,NaN,NaN,NaN,NaN,NaN,21.48,0.51
3,1852,8,-0.884,1.300,-0.739,1.202,NaN,NaN,NaN,NaN,NaN,NaN,21.48,0.51
4,1852,9,-0.718,1.447,-0.735,1.123,NaN,NaN,NaN,NaN,NaN,NaN,21.48,0.51
5,1852,10,-0.793,2.806,-0.595,1.097,NaN,NaN,NaN,NaN,NaN,NaN,21.48,0.51
6,1852,11,-0.860,2.658,-0.602,1.034,NaN,NaN,NaN,NaN,NaN,NaN,21.48,0.51
7,1852,12,-0.363,3.110,-0.593,0.934,NaN,NaN,NaN,NaN,NaN,NaN,21.48,0.51
8,1853,1,0.170,1.901,-0.580,0.866,NaN,NaN,NaN,NaN,NaN,NaN,21.48,0.51
9,1853,2,-0.912,1.352,-0.593,0.827,NaN,NaN,NaN,NaN,NaN,NaN,21.48,0.51
10,1853,3,-0.350,1.092,-0.589,0.841,NaN,NaN,NaN,NaN,NaN,NaN,21.48,0.51
11,1853,4,-0.481,1.427,-0.568,0.975,NaN,NaN,NaN,NaN,NaN,NaN,21.48,0.51
12,1853,5,-0.574,1.329,-0.526,0.940,NaN,NaN,NaN,NaN,NaN,NaN,21.48,0.51
13,1853,6,-0.539,1.453,-0.523,1.065,NaN,NaN,NaN,NaN,NaN,NaN,21.48,0.51
14,1853,7,-0.651,1.127,-0.506,1.084,-0.381,0.935,NaN,NaN,NaN,NaN,21.48,0.51
15,1853,8,-1.049,0.915,-0.461,1.363,-0.388,0.983,NaN,NaN,NaN,NaN,21.48,0.51
16,1853,9,-0.659,1.302,-0.443,1.488,-0.388,1.008,NaN,NaN,NaN,NaN,21.48,0.51
17,1853,10,-0.541,3.112,-0.473,1.407,-0.398,1.007,NaN,NaN,NaN,NaN,21.48,0.51
18,1853,11,-0.359,2.019,-0.442,1.473,-0.395,1.015,NaN,NaN,NaN,NaN,21.48,0.51
19,1853,12,-0.328,1.759,-0.395,1.545,-0.400,1.021,NaN,NaN,NaN,NaN,21.48,0.51
20,1854,1,0.373,2.010,-0.345,1.462,-0.405,1.013,NaN,NaN,NaN,NaN,21.48,0.51
21,1854,2,-0.368,3.104,-0.259,1.524,-0.405,1.039,NaN,NaN,NaN,NaN,21.48,0.51
22,1854,3,-0.143,2.458,-0.204,1.525,-0.417,1.055,NaN,NaN,NaN,NaN,21.48,0.51
23,1854,4,-0.842,0.785,-0.178,1.313,-0.419,1.073,NaN,NaN,NaN,NaN,21.48,0.51
24,1854,5,-0.197,2.222,-0.235,1.161,-0.423,1.057,NaN,NaN,NaN,NaN,21.48,0.51
25,1854,6,0.027,1.495,-0.256,1.125,-0.437,1.023,NaN,NaN,NaN,NaN,21.48,0.51
26,1854,7,-0.060,0.917,-0.261,0.953,-0.446,1.058,NaN,NaN,NaN,NaN,21.48,0.51
27,1854,8,-0.006,1.645,-0.246,0.906,-0.445,1.023,NaN,NaN,NaN,NaN,21.48,0.51
28,1854,9,-0.009,1.273,-0.255,0.799,-0.446,1.035,NaN,NaN,NaN,NaN,21.48,0.51
29,1854,10,-0.227,0.915,-0.248,0.883,-0.431,1.052,-0.508,0.861,NaN,NaN,21.48,0.51
30,1854,11,-1.046,1.127,-0.254,0.805,-0.437,1.056,-0.523,0.873,NaN,NaN,21.48,0.51
31,1854,12,-0.569,2.076,-0.274,0.699,-0.436,1.072,-0.527,0.881,NaN,NaN,21.48,0.51
32,1855,1,0.312,1.354,-0.301,0.631,-0.439,1.062,-0.526,0.877,NaN,NaN,21.48,0.51
33,1855,2,-0.187,3.004,-0.299,0.651,-0.445,1.075,-0.526,0.877,NaN,NaN,21.48,0.51
34,1855,3,-0.251,2.024,-0.340,0.613,-0.447,1.084,-0.527,0.865,NaN,NaN,21.48,0.51
35,1855,4,-0.766,1.168,-0.358,0.728,-0.450,1.061,-0.527,0.862,NaN,NaN,21.48,0.51
36,1855,5,-0.267,1.097,-0.281,0.863,-0.452,1.061,-0.531,0.841,NaN,NaN,21.48,0.51
37,1855,6,-0.210,0.959,-0.224,0.821,-0.457,1.081,-0.535,0.830,NaN,NaN,21.48,0.51
38,1855,7,-0.383,1.178,-0.183,1.007,-0.470,1.061,-0.538,0.835,NaN,NaN,21.48,0.51
39,1855,8,0.020,2.127,-0.157,1.116,-0.458,1.059,-0.541,0.828,NaN,NaN,21.48,0.51
40,1855,9,-0.505,0.876,-0.161,1.287,-0.473,1.051,-0.543,0.814,NaN,NaN,21.48,0.51
41,1855,10,-0.447,1.958,-0.153,1.280,-0.486,1.034,-0.545,0.796,NaN,NaN,21.48,0.51
42,1855,11,-0.116,2.124,-0.168,1.287,-0.485,1.035,-0.551,0.779,NaN,NaN,21.48,0.51
43,1855,12,0.108,1.445,-0.210,1.420,-0.488,1.039,-0.561,0.750,NaN,NaN,21.48,0.51
44,1856,1,0.807,2.105,-0.243,1.550,-0.488,1.031,-0.571,0.747,NaN,NaN,21.48,0.51
45,1856,2,0.126,3.361,-0.323,1.621,-0.485,1.024,-0.579,0.746,NaN,NaN,21.48,0.51
46,1856,3,-0.307,2.937,-0.349,1.780,-0.486,1.006,-0.586,0.746,NaN,NaN,21.48,0.51
47,1856,4,-0.661,0.985,-0.342,1.767,-0.489,0.972,-0.594,0.743,NaN,NaN,21.48,0.51
48,1856,5,-0.451,1.021,-0.412,1.651,-0.503,0.947,-0.597,0.744,NaN,NaN,21.48,0.51
49,1856,6,-0.718,2.173,-0.482,1.594,-0.517,0.929,-0.598,0.733,NaN,NaN,21.48,0.51
50,1856,7,-0.777,1.284,-0.637,1.674,-0.533,0.901,-0.597,0.725,NaN,NaN,21.48,0.51
51,1856,8,-0.936,2.950,-0.622,1.380,-0.538,0.869,-0.597,0.718,NaN,NaN,21.48,0.51
52,1856,9,-0.817,2.696,-0.636,1.360,-0.559,0.827,-0.603,0.712,NaN,NaN,21.48,0.51
53,1856,10,-0.365,1.874,-0.684,1.437,-0.565,0.815,-0.603,0.707,NaN,NaN,21.48,0.51
54,1856,11,-0.950,1.504,-0.718,1.453,-0.570,0.777,-0.606,0.703,NaN,NaN,21.48,0.51
55,1856,12,-0.741,1.979,-0.708,1.445,-0.580,0.774,-0.613,0.688,NaN,NaN,21.48,0.51
56,1857,1,-1.046,3.369,-0.728,1.441,-0.598,0.779,-0.623,0.695,NaN,NaN,21.48,0.51
57,1857,2,0.307,1.877,-0.750,1.339,-0.617,0.759,-0.630,0.699,NaN,NaN,21.48,0.51
58,1857,3,-0.481,2.994,-0.755,1.244,-0.629,0.761,-0.636,0.696,NaN,NaN,21.48,0.51
59,1857,4,-1.233,1.729,-0.806,1.150,-0.633,0.773,-0.627,0.688,NaN,NaN,21.48,0.51
60,1857,5,-0.857,1.253,-0.807,1.109,-0.636,0.771,-0.624,0.685,NaN,NaN,21.48,0.51
61,1857,6,-0.595,2.395,-0.799,1.146,-0.639,0.787,-0.625,0.682,NaN,NaN,21.48,0.51
62,1857,7,-1.025,2.400,-0.764,0.968,-0.639,0.787,-0.619,0.678,NaN,NaN,21.48,0.51
63,1857,8,-1.194,1.639,-0.807,0.936,-0.644,0.769,-0.617,0.679,-0.447,0.672,21.48,0.51
64,1857,9,-0.885,2.134,-0.870,0.868,-0.656,0.766,-0.616,0.676,-0.446,0.669,21.48,0.51
65,1857,10,-0.969,1.087,-0.870,0.862,-0.656,0.779,-0.614,0.666,-0.446,0.661,21.48,0.51
66,1857,11,-0.968,2.776,-0.844,0.972,-0.671,0.762,-0.612,0.660,-0.451,0.660,21.48,0.51
67,1857,12,-0.640,2.605,-0.852,0.957,-0.681,0.754,-0.617,0.658,-0.459,0.670,21.48,0.51
68,1858,1,-0.623,2.223,-0.822,1.126,-0.681,0.771,-0.619,0.632,-0.459,0.681,21.48,0.51
69,1858,2,-0.209,2.464,-0.796,1.173,-0.696,0.751,-0.608,0.630,-0.465,0.687,21.48,0.51
70,1858,3,-1.239,1.562,-0.780,1.268,-0.701,0.747,-0.610,0.627,-0.471,0.681,21.48,0.51
71,1858,4,-1.239,2.311,-0.759,1.284,-0.708,0.708,-0.612,0.622,-0.472,0.682,21.48,0.51
72,1858,5,-0.537,2.359,-0.780,1.072,-0.725,0.672,-0.608,0.621,-0.474,0.682,21.48,0.51
73,1858,6,-0.701,1.246,-0.822,1.038,-0.737,0.665,-0.603,0.633,-0.473,0.680,21.48,0.51
74,1858,7,-0.666,0.956,-0.823,1.068,-0.762,0.651,-0.599,0.634,-0.472,0.676,21.48,0.51
75,1858,8,-0.880,1.521,-0.859,1.068,-0.771,0.631,-0.592,0.639,-0.472,0.679,21.48,0.51
76,1858,9,-0.685,1.874,-0.875,1.051,-0.784,0.622,-0.590,0.634,-0.472,0.670,21.48,0.51
77,1858,10,-0.717,1.492,-0.867,0.848,-0.791,0.623,-0.587,0.615,-0.473,0.667,21.48,0.51
78,1858,11,-1.228,1.454,-0.864,0.770,-0.799,0.631,-0.588,0.614,-0.473,0.678,21.48,0.51
79,1858,12,-1.139,0.898,-0.858,0.749,-0.795,0.627,-0.591,0.607,-0.483,0.668,21.48,0.51
80,1859,1,-0.639,1.944,-0.894,0.722,-0.790,0.632,-0.589,0.599,-0.482,0.672,21.48,0.51
81,1859,2,-0.639,2.722,-0.917,0.718,-0.789,0.630,-0.583,0.587,-0.483,0.671,21.48,0.51
82,1859,3,-1.425,2.183,-0.920,0.608,-0.788,0.627,-0.591,0.582,-0.486,0.678,21.48,0.51
83,1859,4,-1.153,1.957,-0.900,0.541,-0.787,0.621,-0.590,0.588,-0.482,0.681,21.48,0.51
84,1859,5,-0.497,2.420,-0.900,0.614,-0.789,0.627,-0.592,0.589,-0.483,0.689,21.48,0.51
85,1859,6,-0.627,1.328,-0.867,0.488,-0.788,0.613,-0.592,0.590,-0.482,0.689,21.48,0.51
86,1859,7,-1.103,1.296,-0.791,0.479,-0.799,0.622,-0.593,0.598,-0.479,0.694,21.48,0.51
87,1859,8,-1.149,1.523,-0.777,0.460,-0.816,0.608,-0.595,0.597,-0.479,0.693,21.48,0.51
88,1859,9,-0.726,1.718,-0.740,0.508,-0.826,0.620,-0.592,0.601,-0.479,0.698,21.48,0.51
89,1859,10,-0.469,1.501,-0.704,0.615,-0.824,0.606,-0.595,0.600,-0.480,0.698,21.48,0.51
90,1859,11,-1.233,1.171,-0.763,0.721,-0.812,0.607,-0.587,0.597,-0.487,0.704,21.48,0.51
91,1859,12,-0.748,3.235,-0.776,0.802,-0.814,0.609,-0.580,0.598,-0.494,0.704,21.48,0.51
92,1860,1,0.279,1.600,-0.719,0.819,-0.798,0.637,-0.584,0.601,-0.496,0.699,21.48,0.51
93,1860,2,-0.468,1.082,-0.695,0.789,-0.790,0.640,-0.586,0.606,-0.499,0.697,21.48,0.51
94,1860,3,-0.986,1.225,-0.699,0.774,-0.785,0.654,-0.582,0.617,-0.505,0.695,21.48,0.51
95,1860,4,-0.724,1.895,-0.734,0.764,-0.777,0.644,-0.574,0.621,-0.510,0.689,21.48,0.51
96,1860,5,-1.199,1.943,-0.727,0.763,-0.773,0.618,-0.571,0.624,-0.509,0.685,21.48,0.51
97,1860,6,-0.781,1.881,-0.716,0.816,-0.777,0.617,-0.572,0.626,-0.510,0.680,21.48,0.51
98,1860,7,-0.419,1.209,-0.794,0.802,-0.768,0.598,-0.572,0.634,-0.510,0.678,21.48,0.51
99,1860,8,-0.868,1.214,-0.789,0.792,-0.759,0.587,-0.577,0.635,-0.510,0.675,21.48,0.51
