,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1875,1,-1.016,2.173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.39,0.34
1,1875,2,-1.065,1.645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.39,0.34
2,1875,3,1.335,2.321,-0.306,1.047,NaN,NaN,NaN,NaN,NaN,NaN,12.39,0.34
3,1875,4,-0.581,2.227,-0.357,1.121,NaN,NaN,NaN,NaN,NaN,NaN,12.39,0.34
4,1875,5,-0.278,2.324,-0.308,1.162,NaN,NaN,NaN,NaN,NaN,NaN,12.39,0.34
5,1875,6,-0.665,2.485,-0.361,1.139,NaN,NaN,NaN,NaN,NaN,NaN,12.39,0.34
6,1875,7,0.439,2.146,-0.440,1.049,NaN,NaN,NaN,NaN,NaN,NaN,12.39,0.34
7,1875,8,-0.299,2.014,-0.321,1.023,NaN,NaN,NaN,NaN,NaN,NaN,12.39,0.34
8,1875,9,0.105,1.940,-0.364,1.007,NaN,NaN,NaN,NaN,NaN,NaN,12.39,0.34
9,1875,10,-0.763,2.126,-0.308,0.934,NaN,NaN,NaN,NaN,NaN,NaN,12.39,0.34
10,1875,11,-1.066,2.073,-0.271,0.912,NaN,NaN,NaN,NaN,NaN,NaN,12.39,0.34
11,1875,12,-0.481,2.037,-0.313,0.903,NaN,NaN,NaN,NaN,NaN,NaN,12.39,0.34
12,1876,1,-1.965,2.060,-0.266,0.926,NaN,NaN,NaN,NaN,NaN,NaN,12.39,0.34
13,1876,2,0.365,1.725,-0.145,0.947,NaN,NaN,NaN,NaN,NaN,NaN,12.39,0.34
14,1876,3,0.819,2.334,-0.064,0.944,-0.344,0.483,NaN,NaN,NaN,NaN,12.39,0.34
15,1876,4,0.095,1.685,0.009,1.003,-0.339,0.490,NaN,NaN,NaN,NaN,12.39,0.34
16,1876,5,0.169,1.966,-0.029,0.934,-0.355,0.475,NaN,NaN,NaN,NaN,12.39,0.34
17,1876,6,-1.175,1.920,0.001,0.870,-0.389,0.464,NaN,NaN,NaN,NaN,12.39,0.34
18,1876,7,1.006,3.018,0.199,0.926,-0.369,0.466,NaN,NaN,NaN,NaN,12.39,0.34
19,1876,8,1.154,2.129,0.186,0.897,-0.336,0.465,NaN,NaN,NaN,NaN,12.39,0.34
20,1876,9,1.078,2.074,0.145,0.921,-0.314,0.474,NaN,NaN,NaN,NaN,12.39,0.34
21,1876,10,0.113,2.191,0.203,0.973,-0.340,0.462,NaN,NaN,NaN,NaN,12.39,0.34
22,1876,11,-1.520,1.858,0.128,0.936,-0.351,0.456,NaN,NaN,NaN,NaN,12.39,0.34
23,1876,12,-0.125,1.762,0.290,1.013,-0.367,0.451,NaN,NaN,NaN,NaN,12.39,0.34
24,1877,1,0.407,2.006,0.264,0.930,-0.352,0.454,NaN,NaN,NaN,NaN,12.39,0.34
25,1877,2,0.205,2.332,0.168,0.837,-0.338,0.450,NaN,NaN,NaN,NaN,12.39,0.34
26,1877,3,0.338,1.762,0.097,0.831,-0.342,0.446,NaN,NaN,NaN,NaN,12.39,0.34
27,1877,4,0.790,2.323,0.027,0.786,-0.376,0.441,NaN,NaN,NaN,NaN,12.39,0.34
28,1877,5,-0.736,2.518,-0.028,0.744,-0.369,0.443,NaN,NaN,NaN,NaN,12.39,0.34
29,1877,6,0.775,2.336,-0.114,0.776,-0.358,0.439,-0.471,0.369,NaN,NaN,12.39,0.34
30,1877,7,0.693,2.157,-0.330,0.720,-0.367,0.409,-0.483,0.366,NaN,NaN,12.39,0.34
31,1877,8,-0.006,2.625,-0.401,0.683,-0.345,0.412,-0.488,0.364,NaN,NaN,12.39,0.34
32,1877,9,0.228,1.545,-0.394,0.597,-0.355,0.391,-0.493,0.364,NaN,NaN,12.39,0.34
33,1877,10,-0.724,1.995,-0.490,0.791,-0.362,0.380,-0.495,0.362,NaN,NaN,12.39,0.34
34,1877,11,-2.175,1.830,-0.507,0.878,-0.362,0.380,-0.506,0.360,NaN,NaN,12.39,0.34
35,1877,12,-1.157,2.040,-0.589,0.826,-0.369,0.383,-0.526,0.353,NaN,NaN,12.39,0.34
36,1878,1,-2.193,2.010,-0.691,0.733,-0.390,0.377,-0.530,0.351,NaN,NaN,12.39,0.34
37,1878,2,-0.640,2.199,-0.793,0.653,-0.403,0.373,-0.542,0.351,NaN,NaN,12.39,0.34
38,1878,3,0.414,1.942,-0.811,0.635,-0.406,0.372,-0.552,0.352,NaN,NaN,12.39,0.34
39,1878,4,-0.361,2.625,-0.819,0.670,-0.398,0.376,-0.568,0.349,NaN,NaN,12.39,0.34
40,1878,5,-0.940,1.768,-0.780,0.637,-0.402,0.376,-0.582,0.351,NaN,NaN,12.39,0.34
41,1878,6,-0.204,1.456,-0.815,0.634,-0.434,0.372,-0.580,0.352,NaN,NaN,12.39,0.34
42,1878,7,-0.530,1.635,-0.662,0.650,-0.416,0.380,-0.580,0.355,NaN,NaN,12.39,0.34
43,1878,8,-1.236,1.658,-0.518,0.722,-0.429,0.383,-0.574,0.356,NaN,NaN,12.39,0.34
44,1878,9,0.017,1.664,-0.592,0.730,-0.479,0.386,-0.568,0.360,NaN,NaN,12.39,0.34
45,1878,10,-0.824,1.798,-0.699,0.817,-0.502,0.389,-0.557,0.361,NaN,NaN,12.39,0.34
46,1878,11,-1.705,1.794,-0.739,0.804,-0.527,0.399,-0.566,0.357,NaN,NaN,12.39,0.34
47,1878,12,-1.572,1.578,-0.781,0.807,-0.513,0.393,-0.585,0.354,NaN,NaN,12.39,0.34
48,1879,1,-0.360,1.492,-0.728,0.796,-0.543,0.382,-0.578,0.353,NaN,NaN,12.39,0.34
49,1879,2,1.084,1.521,-0.600,0.772,-0.562,0.381,-0.581,0.349,NaN,NaN,12.39,0.34
50,1879,3,-0.471,1.779,-0.627,0.709,-0.578,0.385,-0.575,0.348,NaN,NaN,12.39,0.34
51,1879,4,-1.648,1.592,-0.740,0.679,-0.601,0.393,-0.585,0.349,NaN,NaN,12.39,0.34
52,1879,5,-1.423,1.305,-0.700,0.629,-0.588,0.396,-0.590,0.347,NaN,NaN,12.39,0.34
53,1879,6,-0.702,1.637,-0.500,0.544,-0.616,0.403,-0.602,0.348,NaN,NaN,12.39,0.34
54,1879,7,0.099,1.435,-0.602,0.546,-0.605,0.408,-0.604,0.351,NaN,NaN,12.39,0.34
55,1879,8,0.302,1.564,-0.671,0.512,-0.610,0.408,-0.615,0.350,NaN,NaN,12.39,0.34
56,1879,9,-0.305,1.402,-0.569,0.478,-0.625,0.415,-0.616,0.346,NaN,NaN,12.39,0.34
57,1879,10,-2.182,1.582,-0.518,0.506,-0.649,0.419,-0.633,0.347,NaN,NaN,12.39,0.34
58,1879,11,-1.221,1.336,-0.420,0.544,-0.662,0.431,-0.648,0.346,NaN,NaN,12.39,0.34
59,1879,12,0.831,1.722,-0.451,0.585,-0.701,0.429,-0.675,0.347,-0.563,0.280,12.39,0.34
60,1880,1,-1.589,1.746,-0.528,0.608,-0.741,0.432,-0.683,0.340,-0.565,0.278,12.39,0.34
61,1880,2,0.251,1.733,-0.643,0.672,-0.760,0.431,-0.688,0.338,-0.555,0.277,12.39,0.34
62,1880,3,0.760,1.499,-0.624,0.745,-0.771,0.432,-0.712,0.332,-0.548,0.277,12.39,0.34
63,1880,4,-1.035,1.571,-0.469,0.812,-0.766,0.432,-0.721,0.327,-0.549,0.276,12.39,0.34
64,1880,5,-0.248,1.672,-0.474,0.869,-0.765,0.422,-0.731,0.330,-0.548,0.276,12.39,0.34
65,1880,6,-1.073,1.499,-0.742,0.914,-0.779,0.421,-0.735,0.329,-0.551,0.275,12.39,0.34
66,1880,7,-0.827,1.604,-0.685,0.948,-0.757,0.423,-0.756,0.320,-0.551,0.274,12.39,0.34
67,1880,8,-1.082,1.702,-0.742,0.882,-0.767,0.431,-0.753,0.313,-0.545,0.273,12.39,0.34
68,1880,9,-0.075,1.424,-0.987,0.893,-0.791,0.430,-0.751,0.310,-0.542,0.273,12.39,0.34
69,1880,10,-0.317,1.684,-1.007,0.859,-0.807,0.441,-0.744,0.308,-0.541,0.272,12.39,0.34
