,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1850,1,-1.612,1.960,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.66,0.50
1,1850,2,0.041,1.805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.66,0.50
2,1850,3,-0.364,2.410,-0.393,1.846,NaN,NaN,NaN,NaN,NaN,NaN,9.66,0.50
3,1850,4,0.817,2.953,-0.513,1.920,NaN,NaN,NaN,NaN,NaN,NaN,9.66,0.50
4,1850,5,-1.008,2.800,-0.644,2.037,NaN,NaN,NaN,NaN,NaN,NaN,9.66,0.50
5,1850,6,-0.008,2.432,-0.674,2.303,NaN,NaN,NaN,NaN,NaN,NaN,9.66,0.50
6,1850,7,-0.723,2.198,-0.601,2.258,NaN,NaN,NaN,NaN,NaN,NaN,9.66,0.50
7,1850,8,-0.726,2.679,-0.698,2.272,NaN,NaN,NaN,NaN,NaN,NaN,9.66,0.50
8,1850,9,-1.372,3.356,-0.738,2.233,NaN,NaN,NaN,NaN,NaN,NaN,9.66,0.50
9,1850,10,-1.434,3.009,-0.788,2.178,NaN,NaN,NaN,NaN,NaN,NaN,9.66,0.50
10,1850,11,-0.569,2.511,-0.788,2.096,NaN,NaN,NaN,NaN,NaN,NaN,9.66,0.50
11,1850,12,-1.124,5.619,-0.810,2.108,NaN,NaN,NaN,NaN,NaN,NaN,9.66,0.50
12,1851,1,-0.744,1.942,-0.831,2.185,NaN,NaN,NaN,NaN,NaN,NaN,9.66,0.50
13,1851,2,-1.126,2.709,-0.752,2.165,NaN,NaN,NaN,NaN,NaN,NaN,9.66,0.50
14,1851,3,-0.833,1.544,-0.649,2.092,-0.476,1.697,NaN,NaN,NaN,NaN,9.66,0.50
15,1851,4,0.211,2.087,-0.528,1.996,-0.491,1.720,NaN,NaN,NaN,NaN,9.66,0.50
16,1851,5,-1.006,1.752,-0.678,1.970,-0.490,1.738,NaN,NaN,NaN,NaN,9.66,0.50
