,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1876,8,-0.190,0.746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.20,0.28
1,1876,9,-0.826,0.909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.20,0.28
2,1876,10,-0.501,0.674,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.20,0.28
3,1876,11,-1.253,0.749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.20,0.28
4,1876,12,-0.959,1.554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.20,0.28
5,1877,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.20,0.28
6,1877,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.20,0.28
7,1877,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.20,0.28
8,1877,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.20,0.28
9,1877,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.20,0.28
10,1877,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.20,0.28
11,1877,7,0.267,0.697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.20,0.28
12,1877,8,0.560,0.845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.20,0.28
13,1877,9,0.450,1.155,0.336,0.915,NaN,NaN,NaN,NaN,NaN,NaN,26.20,0.28
14,1877,10,-0.003,0.632,0.430,0.948,NaN,NaN,NaN,NaN,NaN,NaN,26.20,0.28
15,1877,11,0.270,0.747,0.490,1.056,NaN,NaN,NaN,NaN,NaN,NaN,26.20,0.28
16,1877,12,0.099,2.077,0.527,1.050,NaN,NaN,NaN,NaN,NaN,NaN,26.20,0.28
17,1878,1,0.846,3.394,0.530,1.041,NaN,NaN,NaN,NaN,NaN,NaN,26.20,0.28
18,1878,2,1.223,2.200,0.511,1.019,NaN,NaN,NaN,NaN,NaN,NaN,26.20,0.28
19,1878,3,1.303,0.889,0.480,0.958,NaN,NaN,NaN,NaN,NaN,NaN,26.20,0.28
20,1878,4,0.649,0.986,0.467,0.940,-0.330,0.362,NaN,NaN,NaN,NaN,26.20,0.28
21,1878,5,0.364,1.677,0.444,0.890,-0.302,0.368,NaN,NaN,NaN,NaN,26.20,0.28
22,1878,6,0.302,0.822,0.378,0.733,-0.285,0.381,NaN,NaN,NaN,NaN,26.20,0.28
23,1878,7,0.304,0.858,0.255,0.540,-0.268,0.389,NaN,NaN,NaN,NaN,26.20,0.28
24,1878,8,0.323,0.756,0.073,0.486,-0.258,0.399,NaN,NaN,NaN,NaN,26.20,0.28
25,1878,9,0.077,0.693,-0.138,0.447,-0.246,0.409,NaN,NaN,NaN,NaN,26.20,0.28
26,1878,10,-0.149,0.695,-0.270,0.423,-0.234,0.420,NaN,NaN,NaN,NaN,26.20,0.28
27,1878,11,-0.015,0.701,-0.356,0.450,-0.222,0.426,NaN,NaN,NaN,NaN,26.20,0.28
28,1878,12,-0.691,0.718,-0.403,0.436,-0.218,0.437,NaN,NaN,NaN,NaN,26.20,0.28
29,1879,1,-0.626,0.668,-0.460,0.426,-0.214,0.443,NaN,NaN,NaN,NaN,26.20,0.28
30,1879,2,-0.967,0.896,-0.520,0.410,-0.215,0.434,NaN,NaN,NaN,NaN,26.20,0.28
31,1879,3,-1.231,1.406,-0.584,0.416,-0.213,0.436,NaN,NaN,NaN,NaN,26.20,0.28
