,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1892,1,NaN,1.168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
1,1892,2,NaN,2.208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
2,1892,3,NaN,1.894,-0.532,0.723,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
3,1892,4,NaN,1.497,-0.541,0.730,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
4,1892,5,NaN,0.716,-0.577,0.731,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
5,1892,6,NaN,0.885,-0.720,0.742,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
6,1892,7,NaN,0.892,-0.770,0.660,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
7,1892,8,NaN,1.168,-0.830,0.580,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
8,1892,9,NaN,0.998,-0.799,0.518,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
9,1892,10,NaN,0.875,-0.791,0.487,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
10,1892,11,NaN,1.241,-0.790,0.483,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
11,1892,12,NaN,1.165,-0.787,0.460,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
12,1893,1,NaN,2.090,-0.763,0.450,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
13,1893,2,NaN,0.902,-0.721,0.419,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
14,1893,3,NaN,1.823,-0.693,0.410,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
15,1893,4,NaN,1.558,-0.722,0.414,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
16,1893,5,NaN,0.909,-0.669,0.417,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
17,1893,6,NaN,0.761,-0.590,0.418,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
18,1893,7,NaN,0.842,-0.556,0.492,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
19,1893,8,NaN,1.453,-0.475,0.537,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
20,1893,9,NaN,1.419,-0.421,0.470,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
21,1893,10,NaN,1.496,-0.334,0.406,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
22,1893,11,NaN,1.227,-0.256,0.409,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
23,1893,12,NaN,0.774,-0.249,0.408,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
24,1894,1,NaN,1.124,-0.208,0.459,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
25,1894,2,NaN,1.366,-0.180,0.492,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
26,1894,3,NaN,0.815,-0.183,0.516,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
27,1894,4,NaN,1.438,-0.139,0.598,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
28,1894,5,NaN,1.177,-0.142,0.663,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
29,1894,6,NaN,1.077,-0.168,0.662,-0.449,0.337,NaN,NaN,NaN,NaN,29.29,0.30
30,1894,7,NaN,1.679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
31,1894,8,NaN,2.070,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
32,1894,9,NaN,1.773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
33,1894,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
34,1894,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
35,1894,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
36,1895,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.29,0.30
