,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1878,1,-1.190,1.578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.58,0.74
1,1878,2,-1.706,3.115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.58,0.74
2,1878,3,0.635,1.676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.58,0.74
3,1878,4,0.677,1.507,0.151,0.891,NaN,NaN,NaN,NaN,NaN,NaN,31.58,0.74
4,1878,5,1.419,1.581,0.203,0.863,NaN,NaN,NaN,NaN,NaN,NaN,31.58,0.74
5,1878,6,-0.309,1.390,0.292,0.851,NaN,NaN,NaN,NaN,NaN,NaN,31.58,0.74
6,1878,7,NaN,NaN,0.467,0.802,NaN,NaN,NaN,NaN,NaN,NaN,31.58,0.74
7,1878,8,0.622,2.316,0.634,0.904,NaN,NaN,NaN,NaN,NaN,NaN,31.58,0.74
8,1878,9,1.468,1.826,0.552,1.073,NaN,NaN,NaN,NaN,NaN,NaN,31.58,0.74
9,1878,10,0.713,1.547,0.491,1.043,NaN,NaN,NaN,NaN,NaN,NaN,31.58,0.74
10,1878,11,0.143,1.522,0.325,0.957,NaN,NaN,NaN,NaN,NaN,NaN,31.58,0.74
11,1878,12,0.710,2.161,0.288,0.895,NaN,NaN,NaN,NaN,NaN,NaN,31.58,0.74
12,1879,1,0.908,1.222,0.288,0.891,NaN,NaN,NaN,NaN,NaN,NaN,31.58,0.74
13,1879,2,0.293,1.669,0.226,0.797,NaN,NaN,NaN,NaN,NaN,NaN,31.58,0.74
14,1879,3,-0.350,2.595,0.151,0.834,NaN,NaN,NaN,NaN,NaN,NaN,31.58,0.74
15,1879,4,-0.047,1.722,0.082,0.787,NaN,NaN,NaN,NaN,NaN,NaN,31.58,0.74
16,1879,5,-0.579,1.446,0.116,0.827,NaN,NaN,NaN,NaN,NaN,NaN,31.58,0.74
17,1879,6,-0.753,1.827,0.122,0.827,NaN,NaN,NaN,NaN,NaN,NaN,31.58,0.74
18,1879,7,0.326,1.368,0.100,0.804,0.125,0.398,NaN,NaN,NaN,NaN,31.58,0.74
19,1879,8,NaN,NaN,-0.089,0.733,0.093,0.400,NaN,NaN,NaN,NaN,31.58,0.74
20,1879,9,0.564,2.007,0.009,0.647,0.062,0.395,NaN,NaN,NaN,NaN,31.58,0.74
21,1879,10,-0.115,1.378,0.064,0.636,0.067,0.397,NaN,NaN,NaN,NaN,31.58,0.74
22,1879,11,0.555,2.399,0.147,0.622,0.078,0.392,NaN,NaN,NaN,NaN,31.58,0.74
23,1879,12,0.777,2.490,0.204,0.686,0.084,0.390,NaN,NaN,NaN,NaN,31.58,0.74
24,1880,1,0.650,1.658,0.187,0.690,0.065,0.385,NaN,NaN,NaN,NaN,31.58,0.74
25,1880,2,-1.980,1.478,0.161,0.636,0.042,0.383,NaN,NaN,NaN,NaN,31.58,0.74
26,1880,3,0.820,1.460,0.112,0.617,0.048,0.381,NaN,NaN,NaN,NaN,31.58,0.74
27,1880,4,0.621,1.476,0.126,0.612,0.050,0.385,NaN,NaN,NaN,NaN,31.58,0.74
28,1880,5,0.417,1.498,0.146,0.609,0.044,0.389,NaN,NaN,NaN,NaN,31.58,0.74
29,1880,6,NaN,NaN,-0.014,0.652,0.032,0.385,NaN,NaN,NaN,NaN,31.58,0.74
30,1880,7,NaN,NaN,-0.060,0.631,0.041,0.388,NaN,NaN,NaN,NaN,31.58,0.74
31,1880,8,-0.432,1.424,0.212,0.582,0.051,0.400,NaN,NaN,NaN,NaN,31.58,0.74
32,1880,9,-0.021,1.237,0.103,0.574,0.024,0.402,NaN,NaN,NaN,NaN,31.58,0.74
33,1880,10,0.051,1.142,0.114,0.569,0.030,0.414,-0.193,0.379,NaN,NaN,31.58,0.74
34,1880,11,0.793,2.664,0.200,0.562,0.011,0.418,-0.172,0.387,NaN,NaN,31.58,0.74
35,1880,12,-1.140,1.596,0.198,0.531,0.027,0.413,-0.159,0.387,NaN,NaN,31.58,0.74
36,1881,1,0.103,1.041,0.236,0.533,0.005,0.406,-0.152,0.387,NaN,NaN,31.58,0.74
37,1881,2,1.277,1.868,0.238,0.578,-0.009,0.401,-0.147,0.389,NaN,NaN,31.58,0.74
38,1881,3,-0.484,1.854,0.222,0.587,-0.032,0.395,-0.145,0.396,NaN,NaN,31.58,0.74
39,1881,4,0.754,1.706,0.226,0.588,-0.040,0.404,-0.138,0.402,NaN,NaN,31.58,0.74
40,1881,5,1.445,1.128,0.178,0.601,-0.055,0.411,-0.124,0.408,NaN,NaN,31.58,0.74
41,1881,6,-0.104,1.507,0.278,0.583,-0.079,0.412,-0.117,0.408,NaN,NaN,31.58,0.74
42,1881,7,0.595,1.467,0.241,0.599,-0.092,0.414,-0.109,0.409,NaN,NaN,31.58,0.74
43,1881,8,-0.415,1.106,-0.015,0.624,-0.116,0.410,-0.105,0.410,NaN,NaN,31.58,0.74
44,1881,9,-0.209,1.274,-0.112,0.611,-0.127,0.407,-0.103,0.413,NaN,NaN,31.58,0.74
45,1881,10,0.093,1.376,-0.168,0.605,-0.133,0.404,-0.096,0.418,NaN,NaN,31.58,0.74
46,1881,11,0.223,1.635,-0.264,0.647,-0.133,0.406,-0.086,0.420,NaN,NaN,31.58,0.74
47,1881,12,0.056,1.881,-0.233,0.664,-0.126,0.404,-0.091,0.421,NaN,NaN,31.58,0.74
48,1882,1,-0.344,1.153,-0.329,0.613,-0.140,0.412,-0.098,0.423,NaN,NaN,31.58,0.74
49,1882,2,-1.787,1.287,-0.313,0.609,-0.149,0.418,-0.103,0.429,NaN,NaN,31.58,0.74
50,1882,3,-1.647,1.151,-0.291,0.570,-0.162,0.413,-0.112,0.432,NaN,NaN,31.58,0.74
