,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1884,1,-0.131,2.495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-10.90,0.13
1,1884,2,0.461,2.011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-10.90,0.13
2,1884,3,-2.765,2.067,-1.044,0.879,NaN,NaN,NaN,NaN,NaN,NaN,-10.90,0.13
3,1884,4,-3.471,2.002,-1.029,0.861,NaN,NaN,NaN,NaN,NaN,NaN,-10.90,0.13
4,1884,5,-1.000,1.913,-1.112,0.849,NaN,NaN,NaN,NaN,NaN,NaN,-10.90,0.13
5,1884,6,-1.190,1.793,-1.086,0.864,NaN,NaN,NaN,NaN,NaN,NaN,-10.90,0.13
6,1884,7,-1.319,1.793,-1.324,0.853,NaN,NaN,NaN,NaN,NaN,NaN,-10.90,0.13
7,1884,8,-1.211,1.778,-1.302,0.860,NaN,NaN,NaN,NaN,NaN,NaN,-10.90,0.13
8,1884,9,-1.767,1.861,-1.147,0.871,NaN,NaN,NaN,NaN,NaN,NaN,-10.90,0.13
9,1884,10,-0.169,1.835,-0.962,0.896,NaN,NaN,NaN,NaN,NaN,NaN,-10.90,0.13
10,1884,11,NaN,NaN,-1.009,0.879,NaN,NaN,NaN,NaN,NaN,NaN,-10.90,0.13
11,1884,12,-0.301,2.226,-0.987,0.898,NaN,NaN,NaN,NaN,NaN,NaN,-10.90,0.13
12,1885,1,-2.986,2.014,-0.966,0.887,NaN,NaN,NaN,NaN,NaN,NaN,-10.90,0.13
13,1885,2,0.718,2.120,-0.993,0.882,NaN,NaN,NaN,NaN,NaN,NaN,-10.90,0.13
14,1885,3,-0.904,1.903,-0.960,0.874,NaN,NaN,NaN,NaN,NaN,NaN,-10.90,0.13
15,1885,4,-1.250,1.964,-1.040,0.882,-0.785,0.453,NaN,NaN,NaN,NaN,-10.90,0.13
16,1885,5,-1.568,1.869,-1.227,0.888,-0.773,0.444,NaN,NaN,NaN,NaN,-10.90,0.13
17,1885,6,-0.915,1.812,-1.181,0.856,-0.744,0.440,NaN,NaN,NaN,NaN,-10.90,0.13
18,1885,7,-1.071,1.831,-0.877,0.846,-0.732,0.440,NaN,NaN,NaN,NaN,-10.90,0.13
19,1885,8,-1.541,1.920,-0.925,0.851,-0.732,0.436,NaN,NaN,NaN,NaN,-10.90,0.13
20,1885,9,-1.367,1.788,-0.999,0.847,-0.741,0.432,NaN,NaN,NaN,NaN,-10.90,0.13
21,1885,10,-1.123,1.908,-0.989,0.850,-0.747,0.430,NaN,NaN,NaN,NaN,-10.90,0.13
22,1885,11,-2.417,2.137,-0.944,0.845,-0.759,0.430,NaN,NaN,NaN,NaN,-10.90,0.13
23,1885,12,0.251,2.269,-0.990,0.860,-0.782,0.428,NaN,NaN,NaN,NaN,-10.90,0.13
24,1886,1,0.661,2.141,-0.936,0.859,-0.779,0.428,NaN,NaN,NaN,NaN,-10.90,0.13
25,1886,2,0.140,2.062,-0.858,0.848,-0.783,0.426,NaN,NaN,NaN,NaN,-10.90,0.13
26,1886,3,-1.790,1.883,-0.792,0.828,-0.789,0.424,NaN,NaN,NaN,NaN,-10.90,0.13
27,1886,4,-1.129,1.855,-0.833,0.833,-0.791,0.426,NaN,NaN,NaN,NaN,-10.90,0.13
28,1886,5,-1.020,1.848,-0.690,0.833,-0.798,0.429,NaN,NaN,NaN,NaN,-10.90,0.13
29,1886,6,-1.478,1.898,-0.469,0.851,-0.851,0.433,NaN,NaN,NaN,NaN,-10.90,0.13
30,1886,7,-0.412,1.909,-0.717,0.840,-0.893,0.437,-0.775,0.352,NaN,NaN,-10.90,0.13
31,1886,8,-0.611,1.805,-0.635,0.853,-0.877,0.437,-0.787,0.352,NaN,NaN,-10.90,0.13
32,1886,9,-0.572,1.915,-0.506,0.874,-0.854,0.434,-0.792,0.352,NaN,NaN,-10.90,0.13
33,1886,10,-1.624,1.858,-0.440,0.882,-0.791,0.431,-0.805,0.350,NaN,NaN,-10.90,0.13
