,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1880,2,-0.837,1.190,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.34,0.26
1,1880,3,-0.763,1.197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.34,0.26
2,1880,4,-0.330,0.995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.34,0.26
3,1880,5,-0.589,1.235,-0.447,0.575,NaN,NaN,NaN,NaN,NaN,NaN,25.34,0.26
4,1880,6,0.190,1.100,-0.438,0.572,NaN,NaN,NaN,NaN,NaN,NaN,25.34,0.26
5,1880,7,0.061,1.050,-0.488,0.555,NaN,NaN,NaN,NaN,NaN,NaN,25.34,0.26
6,1880,8,0.012,1.141,-0.499,0.531,NaN,NaN,NaN,NaN,NaN,NaN,25.34,0.26
7,1880,9,-0.018,1.002,-0.457,0.537,NaN,NaN,NaN,NaN,NaN,NaN,25.34,0.26
8,1880,10,-0.700,1.113,-0.426,0.560,NaN,NaN,NaN,NaN,NaN,NaN,25.34,0.26
9,1880,11,-0.776,1.090,-0.411,0.573,NaN,NaN,NaN,NaN,NaN,NaN,25.34,0.26
10,1880,12,-0.864,1.303,-0.496,0.598,NaN,NaN,NaN,NaN,NaN,NaN,25.34,0.26
11,1881,1,-1.243,1.171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.34,0.26
12,1881,2,-0.969,1.522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.34,0.26
13,1881,3,-0.254,1.058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.34,0.26
14,1881,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.34,0.26
15,1881,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.34,0.26
16,1881,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.34,0.26
17,1881,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.34,0.26
18,1881,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.34,0.26
19,1881,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.34,0.26
