,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1880,8,-0.221,1.574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.28,0.23
1,1880,9,0.275,1.389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.28,0.23
2,1880,10,0.441,1.544,0.062,0.636,NaN,NaN,NaN,NaN,NaN,NaN,32.28,0.23
3,1880,11,0.538,1.647,0.120,0.610,NaN,NaN,NaN,NaN,NaN,NaN,32.28,0.23
4,1880,12,-1.476,1.784,0.095,0.573,NaN,NaN,NaN,NaN,NaN,NaN,32.28,0.23
5,1881,1,-0.176,0.986,0.134,0.580,NaN,NaN,NaN,NaN,NaN,NaN,32.28,0.23
6,1881,2,0.383,1.545,0.168,0.604,NaN,NaN,NaN,NaN,NaN,NaN,32.28,0.23
7,1881,3,-0.369,1.640,0.168,0.585,NaN,NaN,NaN,NaN,NaN,NaN,32.28,0.23
8,1881,4,1.086,1.271,0.169,0.588,NaN,NaN,NaN,NaN,NaN,NaN,32.28,0.23
9,1881,5,0.750,1.071,0.147,0.640,NaN,NaN,NaN,NaN,NaN,NaN,32.28,0.23
10,1881,6,-0.299,1.266,0.231,0.564,NaN,NaN,NaN,NaN,NaN,NaN,32.28,0.23
11,1881,7,0.675,1.246,0.195,0.622,NaN,NaN,NaN,NaN,NaN,NaN,32.28,0.23
12,1881,8,0.191,1.049,0.003,0.692,NaN,NaN,NaN,NaN,NaN,NaN,32.28,0.23
13,1881,9,0.270,1.061,-0.064,0.668,NaN,NaN,NaN,NaN,NaN,NaN,32.28,0.23
14,1881,10,0.452,1.875,-0.156,0.708,-0.192,0.431,NaN,NaN,NaN,NaN,32.28,0.23
15,1881,11,0.277,1.702,-0.242,0.754,-0.194,0.431,NaN,NaN,NaN,NaN,32.28,0.23
16,1881,12,-0.463,1.709,-0.256,0.764,-0.185,0.421,NaN,NaN,NaN,NaN,32.28,0.23
17,1882,1,-0.613,1.289,-0.335,0.701,-0.192,0.427,NaN,NaN,NaN,NaN,32.28,0.23
18,1882,2,-1.918,1.240,-0.328,0.723,-0.192,0.425,NaN,NaN,NaN,NaN,32.28,0.23
19,1882,3,-1.174,1.211,-0.309,0.695,-0.209,0.434,NaN,NaN,NaN,NaN,32.28,0.23
