,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1880,7,-0.225,1.903,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.79,0.45
1,1880,8,-0.341,1.475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.79,0.45
2,1880,9,-0.110,2.021,-0.421,1.045,NaN,NaN,NaN,NaN,NaN,NaN,17.79,0.45
3,1880,10,-0.252,1.739,-0.281,1.072,NaN,NaN,NaN,NaN,NaN,NaN,17.79,0.45
4,1880,11,-0.622,1.057,-0.181,0.978,NaN,NaN,NaN,NaN,NaN,NaN,17.79,0.45
5,1880,12,-0.272,1.654,-0.070,0.929,NaN,NaN,NaN,NaN,NaN,NaN,17.79,0.45
6,1881,1,0.006,1.220,0.018,0.845,NaN,NaN,NaN,NaN,NaN,NaN,17.79,0.45
7,1881,2,0.255,1.147,0.077,0.789,NaN,NaN,NaN,NaN,NaN,NaN,17.79,0.45
8,1881,3,0.099,1.299,0.166,0.669,NaN,NaN,NaN,NaN,NaN,NaN,17.79,0.45
9,1881,4,0.152,1.048,0.229,0.607,NaN,NaN,NaN,NaN,NaN,NaN,17.79,0.45
10,1881,5,0.601,1.002,0.291,0.542,NaN,NaN,NaN,NaN,NaN,NaN,17.79,0.45
11,1881,6,-0.132,1.301,0.305,0.484,NaN,NaN,NaN,NaN,NaN,NaN,17.79,0.45
12,1881,7,0.836,0.967,0.236,0.581,NaN,NaN,NaN,NaN,NaN,NaN,17.79,0.45
13,1881,8,0.359,1.214,0.060,0.666,NaN,NaN,NaN,NaN,NaN,NaN,17.79,0.45
14,1881,9,0.963,1.262,-0.033,0.806,-0.532,0.460,NaN,NaN,NaN,NaN,17.79,0.45
15,1881,10,0.502,1.277,-0.098,0.898,-0.545,0.459,NaN,NaN,NaN,NaN,17.79,0.45
16,1881,11,0.126,2.127,-0.198,0.878,-0.556,0.466,NaN,NaN,NaN,NaN,17.79,0.45
17,1881,12,-0.105,1.732,-0.234,0.943,-0.553,0.486,NaN,NaN,NaN,NaN,17.79,0.45
18,1882,1,-0.822,2.488,-0.335,1.048,-0.559,0.491,NaN,NaN,NaN,NaN,17.79,0.45
19,1882,2,-1.859,1.639,-0.388,1.088,-0.556,0.507,NaN,NaN,NaN,NaN,17.79,0.45
20,1882,3,-1.019,1.711,-0.438,1.156,-0.558,0.489,NaN,NaN,NaN,NaN,17.79,0.45
21,1882,4,-0.626,1.497,-0.560,1.208,-0.564,0.503,NaN,NaN,NaN,NaN,17.79,0.45
22,1882,5,-0.594,0.906,-0.723,1.120,-0.595,0.478,NaN,NaN,NaN,NaN,17.79,0.45
23,1882,6,-0.564,0.887,-0.781,1.073,-0.576,0.485,NaN,NaN,NaN,NaN,17.79,0.45
24,1882,7,-0.386,1.761,-0.765,1.137,-0.564,0.516,NaN,NaN,NaN,NaN,17.79,0.45
25,1882,8,-0.266,0.900,-0.691,1.257,-0.537,0.522,NaN,NaN,NaN,NaN,17.79,0.45
26,1882,9,0.355,1.710,-0.671,1.215,-0.527,0.535,NaN,NaN,NaN,NaN,17.79,0.45
27,1882,10,-0.956,1.756,-0.684,1.162,-0.521,0.526,NaN,NaN,NaN,NaN,17.79,0.45
28,1882,11,-1.832,1.199,-0.629,1.259,-0.510,0.541,NaN,NaN,NaN,NaN,17.79,0.45
29,1882,12,-0.801,1.068,-0.558,1.233,-0.483,0.574,-0.609,0.340,NaN,NaN,17.79,0.45
30,1883,1,-0.633,3.215,-0.571,1.128,-0.476,0.598,-0.606,0.339,NaN,NaN,17.79,0.45
31,1883,2,-0.974,2.693,-0.548,1.175,-0.477,0.615,-0.596,0.353,NaN,NaN,17.79,0.45
32,1883,3,-0.778,1.205,-0.569,1.097,-0.474,0.645,-0.596,0.361,NaN,NaN,17.79,0.45
33,1883,4,-0.783,1.105,-0.494,1.085,-0.468,0.664,-0.595,0.372,NaN,NaN,17.79,0.45
34,1883,5,0.075,1.404,-0.387,1.221,-0.468,0.670,-0.599,0.376,NaN,NaN,17.79,0.45
35,1883,6,0.278,1.077,-0.389,1.246,-0.464,0.686,-0.605,0.379,NaN,NaN,17.79,0.45
36,1883,7,-0.535,1.054,-0.454,1.143,-0.490,0.699,-0.605,0.384,NaN,NaN,17.79,0.45
37,1883,8,0.007,1.278,-0.509,1.008,-0.510,0.714,-0.613,0.386,NaN,NaN,17.79,0.45
