,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1849,1,0.050,2.401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
1,1849,2,0.374,1.459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
2,1849,3,0.292,1.361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
3,1849,4,-0.939,2.106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
4,1849,5,-0.757,1.878,-0.379,0.836,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
5,1849,6,-0.938,1.599,-0.440,0.690,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
6,1849,7,-1.591,1.037,-0.437,0.646,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
7,1849,8,-1.375,1.457,-0.419,0.638,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
8,1849,9,-0.993,0.992,-0.441,0.715,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
9,1849,10,-0.404,1.118,-0.387,0.717,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
10,1849,11,0.536,2.262,-0.380,0.746,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
11,1849,12,0.465,1.887,-0.337,0.782,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
12,1850,1,0.088,1.974,-0.290,0.777,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
13,1850,2,0.593,1.791,-0.284,0.775,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
14,1850,3,0.024,2.042,-0.291,0.913,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
15,1850,4,-0.292,2.077,-0.319,1.001,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
16,1850,5,-0.669,1.981,-0.382,1.213,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
17,1850,6,-0.421,1.234,-0.373,1.372,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
18,1850,7,-1.031,1.431,-0.356,1.379,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
19,1850,8,-1.303,1.803,-0.364,1.357,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
20,1850,9,-1.083,2.703,-0.357,1.290,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
21,1850,10,-0.740,2.139,-0.306,1.209,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
22,1850,11,-0.212,1.762,-0.289,1.133,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
23,1850,12,0.573,3.890,-0.333,1.198,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
24,1851,1,0.292,1.061,-0.340,1.307,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
25,1851,2,0.489,1.540,-0.350,1.333,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
26,1851,3,0.117,1.179,-0.294,1.220,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
27,1851,4,0.314,1.379,-0.267,1.148,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
28,1851,5,-0.462,1.169,-0.281,1.141,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
29,1851,6,-0.947,2.017,-0.268,1.065,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
30,1851,7,-1.123,1.955,-0.311,1.105,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
31,1851,8,-1.421,1.823,-0.337,1.246,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
32,1851,9,-0.410,3.594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
33,1851,10,-0.417,1.593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
34,1851,11,-0.377,1.531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
35,1851,12,0.731,3.098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
36,1852,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
37,1852,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
38,1852,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
39,1852,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
40,1852,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
41,1852,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
42,1852,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
43,1852,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
44,1852,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
45,1852,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
46,1852,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
47,1852,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
48,1853,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
49,1853,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
50,1853,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
51,1853,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.36,0.36
