,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1866,1,0.406,1.712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.27,0.57
1,1866,2,-0.502,1.619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.27,0.57
2,1866,3,0.098,2.125,-0.068,0.522,NaN,NaN,NaN,NaN,NaN,NaN,30.27,0.57
3,1866,4,-0.283,1.552,-0.178,0.504,NaN,NaN,NaN,NaN,NaN,NaN,30.27,0.57
4,1866,5,-0.795,1.339,-0.290,0.462,NaN,NaN,NaN,NaN,NaN,NaN,30.27,0.57
5,1866,6,0.059,0.991,-0.267,0.453,NaN,NaN,NaN,NaN,NaN,NaN,30.27,0.57
6,1866,7,-0.155,1.366,-0.379,0.466,NaN,NaN,NaN,NaN,NaN,NaN,30.27,0.57
7,1866,8,-0.057,1.755,-0.401,0.519,NaN,NaN,NaN,NaN,NaN,NaN,30.27,0.57
8,1866,9,-0.034,0.917,-0.441,0.674,NaN,NaN,NaN,NaN,NaN,NaN,30.27,0.57
9,1866,10,-0.730,1.557,-0.494,0.666,NaN,NaN,NaN,NaN,NaN,NaN,30.27,0.57
10,1866,11,-0.784,0.749,-0.399,0.610,NaN,NaN,NaN,NaN,NaN,NaN,30.27,0.57
11,1866,12,-0.432,0.865,-0.423,0.656,NaN,NaN,NaN,NaN,NaN,NaN,30.27,0.57
12,1867,1,-0.941,1.532,-0.404,0.661,NaN,NaN,NaN,NaN,NaN,NaN,30.27,0.57
13,1867,2,-0.761,2.762,-0.438,0.761,NaN,NaN,NaN,NaN,NaN,NaN,30.27,0.57
14,1867,3,-0.382,1.912,-0.490,0.750,-0.221,0.546,NaN,NaN,NaN,NaN,30.27,0.57
15,1867,4,-0.921,1.594,-0.469,0.743,-0.220,0.554,NaN,NaN,NaN,NaN,30.27,0.57
