,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1866,1,-0.311,1.684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.38,0.39
1,1866,2,-0.659,1.409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.38,0.39
2,1866,3,-1.098,1.271,-0.566,0.414,NaN,NaN,NaN,NaN,NaN,NaN,23.38,0.39
3,1866,4,-0.512,1.186,-0.630,0.447,NaN,NaN,NaN,NaN,NaN,NaN,23.38,0.39
4,1866,5,-0.796,0.968,-0.722,0.442,NaN,NaN,NaN,NaN,NaN,NaN,23.38,0.39
5,1866,6,-0.429,1.302,-0.817,0.499,NaN,NaN,NaN,NaN,NaN,NaN,23.38,0.39
6,1866,7,-0.438,0.928,-0.896,0.423,NaN,NaN,NaN,NaN,NaN,NaN,23.38,0.39
7,1866,8,-0.997,0.959,-0.874,0.428,NaN,NaN,NaN,NaN,NaN,NaN,23.38,0.39
8,1866,9,-0.401,1.129,-0.891,0.351,NaN,NaN,NaN,NaN,NaN,NaN,23.38,0.39
9,1866,10,-1.127,1.139,-0.925,0.409,NaN,NaN,NaN,NaN,NaN,NaN,23.38,0.39
10,1866,11,-1.053,1.064,-0.965,0.487,NaN,NaN,NaN,NaN,NaN,NaN,23.38,0.39
11,1866,12,-1.979,1.747,-0.971,0.505,NaN,NaN,NaN,NaN,NaN,NaN,23.38,0.39
12,1867,1,-1.263,0.728,-0.943,0.543,NaN,NaN,NaN,NaN,NaN,NaN,23.38,0.39
13,1867,2,-0.394,1.142,-0.899,0.522,NaN,NaN,NaN,NaN,NaN,NaN,23.38,0.39
14,1867,3,-1.301,3.476,-0.914,0.530,-0.686,0.613,NaN,NaN,NaN,NaN,23.38,0.39
15,1867,4,-0.922,1.119,-0.867,0.567,-0.677,0.587,NaN,NaN,NaN,NaN,23.38,0.39
16,1867,5,-1.280,1.674,-0.913,0.559,-0.672,0.583,NaN,NaN,NaN,NaN,23.38,0.39
17,1867,6,-0.500,1.357,-0.923,0.748,-0.679,0.611,NaN,NaN,NaN,NaN,23.38,0.39
18,1867,7,-0.101,1.172,-0.889,0.886,-0.687,0.625,NaN,NaN,NaN,NaN,23.38,0.39
19,1867,8,-0.464,1.120,-0.952,0.992,-0.702,0.625,NaN,NaN,NaN,NaN,23.38,0.39
