,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1874,12,-0.330,1.667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.42,0.31
1,1875,1,-1.135,1.677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.42,0.31
2,1875,2,-1.087,1.771,-0.532,0.753,NaN,NaN,NaN,NaN,NaN,NaN,1.42,0.31
3,1875,3,-0.716,1.908,-0.564,0.757,NaN,NaN,NaN,NaN,NaN,NaN,1.42,0.31
4,1875,4,-0.892,1.662,-0.611,0.739,NaN,NaN,NaN,NaN,NaN,NaN,1.42,0.31
5,1875,5,-0.301,1.723,-0.667,0.759,NaN,NaN,NaN,NaN,NaN,NaN,1.42,0.31
6,1875,6,-0.054,1.800,-0.741,0.753,NaN,NaN,NaN,NaN,NaN,NaN,1.42,0.31
7,1875,7,-0.064,1.673,-0.738,0.737,NaN,NaN,NaN,NaN,NaN,NaN,1.42,0.31
8,1875,8,-0.240,1.713,-0.727,0.727,NaN,NaN,NaN,NaN,NaN,NaN,1.42,0.31
9,1875,9,-0.677,1.721,-0.754,0.691,NaN,NaN,NaN,NaN,NaN,NaN,1.42,0.31
10,1875,10,-1.176,1.626,-0.700,0.700,NaN,NaN,NaN,NaN,NaN,NaN,1.42,0.31
11,1875,11,-1.330,1.862,-0.724,0.678,NaN,NaN,NaN,NaN,NaN,NaN,1.42,0.31
12,1875,12,-1.217,1.645,-0.765,0.672,NaN,NaN,NaN,NaN,NaN,NaN,1.42,0.31
13,1876,1,-1.099,1.838,-0.763,0.672,NaN,NaN,NaN,NaN,NaN,NaN,1.42,0.31
14,1876,2,-0.962,1.767,-0.777,0.671,NaN,NaN,NaN,NaN,NaN,NaN,1.42,0.31
15,1876,3,-1.042,1.671,-0.768,0.671,NaN,NaN,NaN,NaN,NaN,NaN,1.42,0.31
16,1876,4,-0.244,1.763,-0.772,0.677,NaN,NaN,NaN,NaN,NaN,NaN,1.42,0.31
17,1876,5,-0.589,1.766,-0.771,0.693,NaN,NaN,NaN,NaN,NaN,NaN,1.42,0.31
18,1876,6,-0.544,1.671,-0.775,0.679,NaN,NaN,NaN,NaN,NaN,NaN,1.42,0.31
19,1876,7,-0.038,1.643,-0.688,0.670,NaN,NaN,NaN,NaN,NaN,NaN,1.42,0.31
20,1876,8,-0.401,1.648,-0.657,0.678,NaN,NaN,NaN,NaN,NaN,NaN,1.42,0.31
21,1876,9,-0.578,1.672,-0.562,0.691,NaN,NaN,NaN,NaN,NaN,NaN,1.42,0.31
22,1876,10,-1.217,1.709,-0.596,0.685,NaN,NaN,NaN,NaN,NaN,NaN,1.42,0.31
23,1876,11,-1.324,1.649,-0.553,0.699,NaN,NaN,NaN,NaN,NaN,NaN,1.42,0.31
24,1876,12,-1.258,1.963,-0.521,0.706,NaN,NaN,NaN,NaN,NaN,NaN,1.42,0.31
25,1877,1,-0.053,1.787,-0.526,0.698,NaN,NaN,NaN,NaN,NaN,NaN,1.42,0.31
26,1877,2,-0.594,1.704,-0.484,0.694,NaN,NaN,NaN,NaN,NaN,NaN,1.42,0.31
